CmasM_1	CmasM_2	pEhEx_1	pEhEx_2
EHI_000130A	42.0325260811406	98.9303644401857	171.105347300188	411.621590345581
EHI_000140A	61.2473951468048	291.528839892888	345.110785232583	324.375709783202
EHI_000240A	649.702760282773	1176.63986642689	1148.43589035381	1838.87471339167
EHI_000250A	655.707406865793	394.669007075209	317.559924226621	310.953266619759
EHI_000260A	87.6678401120932	99.9828151257196	106.578330733592	63.7566050263535
EHI_000280A	54.0418192471807	46.3078301634912	53.6516766958218	79.4161220503701
EHI_000290A	25.2195156486843	13.6818589119406	18.1255664512911	13.4224431634428
EHI_000300A	56.4436778803888	131.556335691736	130.504078449296	109.616619168117
EHI_000410A	14.4111517992482	19.9965630251439	27.5508610059625	23.489275536025
EHI_000430A	25.2195156486843	25.2588164528134	25.3757930318076	13.4224431634428
EHI_000440A	339.862996598937	272.584727553278	395.137348638147	262.856178617422
EHI_000480A	20.4157983822683	26.3112671383473	24.6507703737559	21.2522016754512
EHI_000510A	10295.5670312462	10834.9798075714	9112.08476639308	11525.4045296763
EHI_000520A	15.6120811158522	10.5245068553389	16.6755211351878	19.0151278148774
EHI_000540A	24.0185863320803	19.9965630251439	31.9009969542724	12.3039062331559
EHI_000550A	243.788651270615	299.948445377159	281.308791324038	251.670809314553
EHI_000560A	38.4297381313285	77.8813507295079	45.6764274572537	45.860014141763
EHI_000570A	76.859476262657	37.88822467922	48.5765180894602	45.860014141763
EHI_000580A	182.54125612381	142.080842547075	135.579237055658	111.85369302869
EHI_000590A	14474.8010530282	11972.6789986335	10142.3419634845	11004.1663201626
EHI_000610A	1497.55885780521	1274.51778018154	1415.24422851681	2549.14566412385
EHI_000620A	4.80371726641607	6.31470411320334	18.1255664512911	31.3190340480333
EHI_000650A	81.6631935290731	76.828900043974	74.6773337793195	59.2824573052059
EHI_000660A	18.0139397490602	18.94411233961	23.9257477157043	10.0668323725821
EHI_000670A	19.2148690656643	5.26225342766945	7.9752492385681	11.185369302869
EHI_000690A	0	103.140167182321	133.404169081503	333.324005225497
EHI_000700A	72.055758996241	66.3043931886351	57.27678998608	58.163920374919
EHI_000710A	36.0278794981205	26.3112671383473	33.3510422703757	29.0819601874595
EHI_000720A	133.303154143046	141.028391861541	158.054939455259	119.683451540699
EHI_000730A	491.180090491043	474.655259175784	664.120754775307	933.978336789564
EHI_000740A	147.714305942294	90.5107589559145	89.902809598404	88.3644174926654
EHI_000780A	22.8176570154763	38.9406753647539	20.3006344254461	32.4375709783202
EHI_000790A	79.2613348958651	43.1504781068895	51.4766087216668	44.7414772114761
EHI_000800A	386.699239946493	231.539150817456	249.407794369766	236.011292290537
EHI_000900A	13.2102224826442	10.5245068553389	19.5756117673944	39.1487925600416
EHI_001040A	10.8083638494361	8.41960548427112	4.35013594830987	2.23707386057381
EHI_001050A	493.581949124251	519.910638653742	561.167537331974	552.55724356173
EHI_001060A	6.00464658302008	0	15.9504984771362	17.8965908845905
EHI_001070A	408.315967645366	715.666466163045	646.720210982068	728.167541616774
EHI_001100A	26.4204449652884	13.6818589119406	18.1255664512911	21.2522016754512
EHI_001120A	48.0371726641607	73.6715479873723	76.1273790954228	100.668323725821
EHI_001130A	1665.68896212977	2333.28316982863	1114.35982542538	2031.26306540102
EHI_001140A	20.4157983822683	24.2063657672795	41.3262915089438	33.5561079086071
EHI_001150A	94.8734160117173	105.245068553389	83.3776056759392	52.5712357234845
EHI_001400A	2120.84117312269	1811.26762980382	1733.52917540148	2136.40553684799
EHI_001410A	25.2195156486843	21.0490137106778	25.3757930318076	15.6595170240166
EHI_001420A	6583.49451362322	9112.11803535242	8781.47443432153	11964.989543279
EHI_001430A	8.40650521622811	16.8392109685422	8.70027189661975	17.8965908845905
EHI_001635A	175.335680224186	585.162581156843	397.312416612302	234.89275536025
EHI_001780A	6968.99282425311	3349.95053205437	4589.39342546692	2789.63110413554
EHI_001810A	593.259082402384	596.739538697716	614.094191369744	499.986007838246
EHI_001820A	22.8176570154763	13.6818589119406	24.6507703737559	23.489275536025
EHI_001830A	40.8315967645365	30.5210698804828	50.7515860636152	43.6229402811892
EHI_001840A	187.344973390227	124.189180892999	121.078783894625	138.698579355576
EHI_001850A	184.943114757018	186.283771339499	170.380324642137	146.528337867584
