pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1.1	CmasM_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_006680A	62.3425919755877	0.0565053346868306	5.20039699773378	0.999999999999996	10.1076153435629	0	0	80	60	0.600464658302008	0.526225342766945	58.0018126441316	67.1122158172142	100	UP_pEhEx_DOWN_CmasM
EHI_006770A	0.0458818664172254	63.5833649565915	-4.63052070112867	0.999999999999999	-10.436509573828	53	60	0	0	63.6492537800129	63.1470411320334	0.362511329025823	0.559268465143452	100	DOWN_pEhEx_UP_CmasM
EHI_010020A	921.695263637663	185.447894506228	1.18211590973793	0.968222709378995	2.31327594887778	131	202	610	1264	157.321740475126	212.595038477846	442.263821411504	1413.83067988265	96.82	UP_pEhEx_DOWN_CmasM
EHI_036630A	69.7404369541826	0.0565053346868306	4.50411352976864	1	10.2693926086563	0	0	76	76	0.600464658302008	0.526225342766945	55.1017220119251	85.0088067018047	100	UP_pEhEx_DOWN_CmasM
EHI_062500A	133.000666258115	32.6881081692356	0.974913097333706	0.961236563399771	2.0245956844594	21	38	157	137	25.2195156486843	39.9931260502878	113.828557314108	153.239559449306	96.12	UP_pEhEx_DOWN_CmasM
EHI_075040A	0.917637328344508	188.06495173667	-3.17362449587791	1	-7.67909121466519	117	223	1	1	140.50873004267	234.696502874057	0.725022658051645	1.1185369302869	100	DOWN_pEhEx_UP_CmasM
EHI_089770A	37.9447883119916	0.0565053346868306	4.96480737328861	0.999999999999997	9.39129895157484	0	0	51	35	0.600464658302008	0.526225342766945	36.9761555606339	39.1487925600416	100	UP_pEhEx_DOWN_CmasM
EHI_116040A	23.4801663352516	0.0565053346868306	4.10766098604307	1	8.69883983404477	0	0	28	24	0.600464658302008	0.526225342766945	20.3006344254461	26.8448863268857	100	UP_pEhEx_DOWN_CmasM
EHI_123020A	0.0458818664172254	28.4820929772957	-3.7385474909799	0.999999615534307	-9.27791537023616	28	22	0	0	33.6260208649125	23.1539150817456	0.362511329025823	0.559268465143452	100	DOWN_pEhEx_UP_CmasM
EHI_140640A	39.8793690843985	0.0565053346868306	3.2969874720746	0.999999999999985	9.46303979101471	0	0	32	51	0.600464658302008	0.526225342766945	23.2007250576527	57.0453834446321	100	UP_pEhEx_DOWN_CmasM
EHI_155900A	114.539060660753	0.0565053346868306	3.69858245565567	1	10.9851649773152	0	0	82	153	0.600464658302008	0.526225342766945	59.4518579602349	171.136150333896	100	UP_pEhEx_DOWN_CmasM
EHI_172280A	174.795653069584	20.4778494341805	0.985360787923416	0.960835467774597	3.09353318958337	6	32	135	227	7.2055758996241	33.6784219370845	97.8780588369721	253.907883175127	96.08	UP_pEhEx_DOWN_CmasM
EHI_178340A	3375.10573519505	459.732266596352	1.4363519717986	0.967521347715826	2.87606686829782	287	544	1876	4864	344.666713865353	572.533172930436	1360.14250650489	5440.5636289155	96.75	UP_pEhEx_DOWN_CmasM
EHI_188880A	85.6429663405696	9.9415346097491	1.0964042038029	0.950211944936624	3.10679429245742	6	12	68	110	7.2055758996241	12.6294082264067	49.3015407475119	123.039062331559	95.02	UP_pEhEx_DOWN_CmasM
