pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_027570A	4845.86197507438	9240.73049244231	-2.95728085004484	1	-0.931253590154153	8012	9000	6686	4080	8712.22004496553	9451.71899604882	5018.63119819903	4830.1892801715	100	DOWN_pEhEx_UP_EhMyb10
EHI_033240A	14.8075303908759	0.054323721961994	2.84843935623403	1	8.09053300329467	0	0	12	18	0.543698205502093	0.52509549978049	9.0074146542609	21.3096585889919	100	UP_pEhEx_DOWN_EhMyb10
EHI_083270A	4109.39038975088	1016.31345344199	2.10836363610685	1	2.01557896257319	1538	331	5365	3660	1672.41568012444	347.613220854685	4027.06496834248	4332.96391309502	100	UP_pEhEx_DOWN_EhMyb10
EHI_083410A	4109.39038975088	1016.31345344199	2.10836363610685	1	2.01557896257319	1538	331	5365	3660	1672.41568012444	347.613220854685	4027.06496834248	4332.96391309502	100	UP_pEhEx_DOWN_EhMyb10
EHI_085680A	10.0505514229729	0.054323721961994	3.07387103463456	1	7.53147661314398	0	0	10	11	0.543698205502093	0.52509549978049	7.50617887855075	13.0225691377173	100	UP_pEhEx_DOWN_EhMyb10
EHI_140540A	9580.71536419909	4048.04530227854	2.1252218315717	1	1.24290794629533	4936	2512	12921	8262	5367.38868471666	2638.07979089718	9698.73372897542	9781.13329234728	100	UP_pEhEx_DOWN_EhMyb10
EHI_153540A	4845.86197507438	9240.73049244231	-2.95728085004484	1	-0.931253590154153	8012	9000	6686	4080	8712.22004496553	9451.71899604882	5018.63119819903	4830.1892801715	100	DOWN_pEhEx_UP_EhMyb10
EHI_155900A	118.352720274996	0.054323721961994	3.70826273063504	1	11.0892229171084	0	0	82	153	0.543698205502093	0.52509549978049	61.5506668041161	181.132098006431	100	UP_pEhEx_DOWN_EhMyb10
EHI_183200A	30.3661895864967	0.054323721961994	3.34716292484549	1	9.12666784362772	0	0	26	36	0.543698205502093	0.52509549978049	19.5160650842319	42.6193171779838	100	UP_pEhEx_DOWN_EhMyb10
EHI_188960A	6807.9366796454	1633.2287109194	2.5812818377487	1	2.05949078425483	1658	1348	7493	6979	1802.90324944494	1415.6574674082	5624.37983369808	8262.22818292081	100	UP_pEhEx_DOWN_EhMyb10
EHI_191750A	13151.4434715738	17082.9439931578	-3.22545897680225	1	-0.377335468542246	15581	15866	17126	11742	16942.7234798562	16662.3303990345	12855.081947406	13901.0006195524	100	DOWN_pEhEx_UP_EhMyb10
EHI_194540A	42862.6611864101	21214.5830024406	2.24148155536263	1	1.01466510343109	21534	17512	50011	42079	23415.9943145641	18390.9447843119	37539.1511895201	49816.062431455	100	UP_pEhEx_DOWN_EhMyb10
EHI_127330A	17413.5000112522	24731.0026849294	-3.24551475128937	1	-0.50611452765922	22187	23340	22288	15802	24126.0641709499	24511.4579297533	16729.7714845139	18707.5125012917	100	DOWN_pEhEx_UP_EhMyb10
EHI_182590A	25003.4651039389	47031.261203292	-2.61663191183466	0.999999999999999	-0.911491975861863	42935	43642	27129	25888	46687.3649064647	45832.4356028403	20363.5126796203	30648.0245306568	100	DOWN_pEhEx_UP_EhMyb10
EHI_018630A	0.0473914355697518	23.8841543332101	-2.76122807206048	0.999999999999999	-8.97721171744275	11	33	0	0	11.961360521046	34.6563029855124	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
EHI_156660A	9151.79739514256	4096.30394081795	3.3050988374118	0.999999999999999	1.15973234817032	3295	4247	12553	7754	3582.97117425879	4460.16117513548	9422.50634624475	9179.72737216907	100	UP_pEhEx_DOWN_EhMyb10
EHI_178640A	0.0473914355697518	17.930983549746	-3.48371515451972	0.999999999999999	-8.5636125463048	19	14	0	0	20.6605318090795	14.7026739938537	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
EHI_123020A	0.0473914355697518	27.1502261345906	-3.38893461745475	0.999999999999999	-9.1621221355707	18	32	0	0	19.5731353980753	33.6061119859514	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
EHI_089770A	39.1830353367857	0.054323721961994	5.33975297779858	0.999999999999999	9.49443111733205	0	0	51	35	0.543698205502093	0.52509549978049	38.2815122806088	41.4354472563732	100	UP_pEhEx_DOWN_EhMyb10
EHI_193330A	12681.6373850271	19771.9743261209	-3.1328591531492	0.999999999999999	-0.640715907701815	17407	18992	16320	11450	18928.3093263499	19945.2274636621	12250.0839297948	13555.3106024421	100	DOWN_pEhEx_UP_EhMyb10
EHI_160980A	19429.9061959042	9757.15600175205	2.30444742931205	0.999999999999998	0.993746335844031	10003	7955	23229	18708	10877.2262992749	8354.2694015076	17436.1029169855	22147.8384934923	100	UP_pEhEx_DOWN_EhMyb10
EHI_006770A	0.0473914355697518	28.8123491512969	-2.9103555907971	0.999999999999998	-9.24784521351433	39	14	0	0	42.4084600291632	14.7026739938537	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
EHI_035060A	149.72228635145	0.054323721961994	5.52938665344314	0.999999999999998	11.4284190354283	0	0	228	112	0.543698205502093	0.52509549978049	171.140878430957	132.593431220394	100	UP_pEhEx_DOWN_EhMyb10
EHI_009870A	7967.33710865882	11048.3458304038	-2.41909271510565	0.999999999999998	-0.47166086033946	9835	10504	10414	7088	10694.5437022262	11031.2062593885	7816.93468412275	8391.27000437637	100	DOWN_pEhEx_UP_EhMyb10
EHI_044830A	28766.9786269742	41690.7279496224	-2.36189386309531	0.999999999999998	-0.535312858928722	40323	36416	36062	26602	43847.0854809218	38243.7554400127	27068.7822718297	31493.3076546868	100	DOWN_pEhEx_UP_EhMyb10
EHI_083380A	0.0473914355697518	10.8680686342292	-3.06999347959945	0.999999999999997	-7.8412535029009	12	8	0	0	13.0487569320502	8.40152799648784	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
EHI_042720A	68346.4699256539	89123.743685799	-3.49151773173447	0.999999999999997	-0.382943010054806	84462	79591	91671	59270	91843.6756662355	83585.751846058	68809.8923975626	70167.9702538639	100	DOWN_pEhEx_UP_EhMyb10
EHI_092120A	14130.2192853193	22926.6661609958	-3.62363781381704	0.999999999999996	-0.698242728452163	20705	21500	17573	13159	22514.5426898417	22579.1064905611	13190.6081432772	15578.5442984747	100	DOWN_pEhEx_UP_EhMyb10
EHI_049690A	3387.78800723415	1255.8442243146	2.3293338336919	0.999999999999996	1.43168607747755	1410	901	4559	2928	1533.2289395159	946.222090604443	3422.06695073129	3466.37113047602	100	UP_pEhEx_DOWN_EhMyb10
EHI_187150A	21242.2984523811	25796.7836914555	-2.36376781082225	0.999999999999996	-0.28025132695431	23464	24024	27427	19120	25514.6693878022	25229.788573453	20587.1968102011	22635.5929011958	100	DOWN_pEhEx_UP_EhMyb10
EHI_179850A	15.5764946065486	0.054323721961994	2.66635487447493	0.999999999999995	8.16357255654133	0	0	11	20	0.543698205502093	0.52509549978049	8.25679676640582	23.6773984322132	100	UP_pEhEx_DOWN_EhMyb10
EHI_195110A	0.0473914355697518	1266.02750123327	-3.59705109098615	0.999999999999995	-14.7053228550335	31	2303	0	0	33.7092887411297	2418.58987198894	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
EHI_053190A	4240.02819167927	6321.70886788882	-2.29194601372077	0.999999999999995	-0.576240739482195	5853	5784	5402	3864	6364.5311936075	6074.30474146071	4054.83783019311	4574.4733771036	100	DOWN_pEhEx_UP_EhMyb10
EHI_020280A	37240.4715509967	59904.9051528559	-2.46980061895182	0.999999999999992	-0.685802798186093	50873	59414	46847	34331	55319.1176170159	62396.0480479161	35164.1961923467	40643.4382788156	100	DOWN_pEhEx_UP_EhMyb10
EHI_004430A	64.5777106378015	0.054323721961994	5.28749440251564	0.999999999999989	10.2152382526605	0	0	79	61	0.543698205502093	0.52509549978049	59.2988131405509	72.2160652182503	100	UP_pEhEx_DOWN_EhMyb10
EHI_098470A	4620.43401602307	0.054323721961994	4.23306933782529	0.999999999999986	16.3760865221328	0	0	486	7755	0.543698205502093	0.52509549978049	364.800293497566	9180.91124209068	100	UP_pEhEx_DOWN_EhMyb10
EHI_104660A	23439.9376697038	30290.7333980526	-2.46161400472549	0.999999999999986	-0.369907775608464	27449	28312	29745	21439	29847.9440856539	29733.0075795705	22327.1290742492	25380.987249411	100	DOWN_pEhEx_UP_EhMyb10
EHI_005890A	14325.2116422277	19101.2140375051	-4.3380654947873	0.999999999999986	-0.415107882506275	17525	17637	19395	12304	19056.6221028483	18522.218659257	14558.2339349492	14566.3355154976	100	DOWN_pEhEx_UP_EhMyb10
EHI_049990A	67.4390321829144	0.054323721961994	5.04005142526352	0.999999999999985	10.2777857885031	0	0	79	66	0.543698205502093	0.52509549978049	59.2988131405509	78.1354148263037	100	UP_pEhEx_DOWN_EhMyb10
EHI_040800A	38467.6177587693	57766.9184772182	-2.47377455279627	0.999999999999985	-0.586599049014529	49675	56674	48897	35130	54016.4167166329	59518.524709119	36702.9628624496	41589.3503461825	100	DOWN_pEhEx_UP_EhMyb10
EHI_158270A	3111.14380906463	6413.05250258889	-4.19648569418264	0.999999999999983	-1.04356613498522	5985	5820	4054	2776	6508.06751986005	6112.11161744491	3043.00491736447	3286.4229023912	100	DOWN_pEhEx_UP_EhMyb10
EHI_181180A	11621.1347594423	18043.7469724059	-2.14244970837258	0.999999999999193	-0.634748011105151	15376	17843	14732	10639	16719.8072156004	18738.5580051666	11058.102723881	12595.1920960158	100	DOWN_pEhEx_UP_EhMyb10
EHI_111760A	10749.3213890688	4025.26867521566	2.01040695248578	0.999999999997917	1.41708859717247	5265	2140	13331	10035	5725.14210393704	2247.4087390605	10006.487062996	11880.134663363	100	UP_pEhEx_DOWN_EhMyb10
