EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2
EHI_000010A	6.52437846602511	10.5019099956098	8.25679676640582	2.36773984322132
EHI_000130A	84.8169200583264	71.4129879701467	177.145821533798	435.664131152723
EHI_000140A	262.062535052009	33.6061119859514	357.294114619016	343.322277267092
EHI_000240A	1031.93919404297	570.253712761612	1188.97873436244	1946.28215112793
EHI_000250A	501.289745472929	719.380834699272	328.770634880523	329.115838207764
EHI_000260A	98.9530734013809	90.3164259622443	110.340829514696	67.4805855318077
EHI_000280A	43.4958564401674	56.7103139762929	55.5457237012755	84.054764434357
EHI_000290A	15.2235497540586	27.3049659885855	18.7654471963769	14.2064390593279
EHI_000300A	126.137983676485	79.8145159666345	135.111219813913	116.019252317845
EHI_000410A	20.6605318090795	12.6022919947318	28.5234797384928	24.8612683538239
EHI_000430A	22.8353246310879	23.1042019903416	26.2716260749276	14.2064390593279
EHI_000440A	246.83898529795	348.663411854246	409.086748881016	278.209431578505
EHI_000480A	26.0975138641004	18.9034379920976	25.5210081870725	22.4935285106026
EHI_000510A	13144.4478162186	9486.37529903434	9433.76561456258	12198.5956722763
EHI_000520A	17.398342576067	25.2045839894635	17.2642114206667	20.1257886673812
EHI_000540A	22.8353246310879	40.9574489828782	33.0271870656233	13.0225691377173
EHI_000550A	274.023895573055	212.138581911318	291.239740487769	266.370732362399
EHI_000560A	71.7681631262762	48.3087859798051	47.2889269348697	48.5386667860371
EHI_000570A	42.4084600291632	75.6137519683906	50.29139848629	48.5386667860371
EHI_000580A	194.643957569749	201.636671915708	140.365545028899	118.386992161066
EHI_000590A	13731.6418781609	14308.8523690184	10500.3936332046	11646.9122888057
EHI_000610A	1957.31353980753	1414.60727640864	1465.20611709311	2698.0395513507
EHI_000620A	9.78656769903767	2.10038199912196	18.7654471963769	33.1483578050985
EHI_000650A	57.6320097832218	67.2122239719027	77.3136424490727	62.7451058453651
EHI_000660A	25.0101174530963	22.0540109907806	24.7703902992175	10.654829294496
EHI_000670A	10.8739641100419	34.6563029855124	8.25679676640582	11.8386992161066
EHI_000690A	18.4857389870711	0	138.113691365334	352.793236639977
EHI_000700A	85.9043164693306	69.3126059710247	59.2988131405509	61.5612359237544
EHI_000710A	25.0101174530963	30.4555389872684	34.5284228413334	30.7806179618772
EHI_000720A	162.022065239624	129.173492946001	163.634699552406	126.674081612341
EHI_000730A	1027.58960839896	470.485567803319	687.565985275249	988.531384544902
EHI_000740A	118.526208799456	183.783424923172	93.0766180940293	93.5257238072422
EHI_000780A	30.4470995081172	35.7064939850733	21.0173008599421	34.3322277267092
EHI_000790A	65.2437846602511	84.0152799648784	53.2938700377103	47.3547968644265
EHI_000800A	254.450760174979	308.756153870928	258.212553422146	249.79655345985
EHI_000900A	17.398342576067	18.9034379920976	20.266682972087	41.4354472563732
EHI_001050A	638.301693259457	468.385185804197	580.978245199828	584.831741275667
EHI_001060A	3.26218923301256	3.15057299868294	16.5135935328116	18.9419187457706
EHI_001070A	698.108495864687	471.53575880288	669.551155966727	770.699318968541
EHI_001100A	25.0101174530963	37.8068759841953	18.7654471963769	22.4935285106026
EHI_001120A	133.749758553515	29.4053479877075	78.8148782247829	106.54829294496
EHI_001130A	1724.61070785264	2605.52386991079	1153.69969363325	2149.90777764496
EHI_001140A	20.6605318090795	19.9536289916586	42.7852196077393	35.5160976483198
EHI_001150A	84.8169200583264	90.3164259622443	86.3210571033336	55.6418863157011
EHI_001180A	7.6117748770293	11.5521009951708	8.25679676640582	4.73547968644265
EHI_001400A	2294.40642721883	2130.83753810923	1794.72736986148	2261.19155027636
EHI_001410A	21.7479282200837	17.8532469925367	26.2716260749276	16.5741789025493
EHI_001420A	11228.4553400292	7676.89620679077	9091.48385770067	12663.8565514692
EHI_001430A	9.78656769903767	11.5521009951708	9.0074146542609	18.9419187457706
EHI_001635A	581.757079887239	70.3627969705857	411.338602544581	248.612683538239
EHI_001760A	10.8739641100419	11.5521009951708	6.75556099069567	4.73547968644265
EHI_001780A	3438.34745159523	7814.47122773326	4751.41123012262	2952.57158449699
EHI_001800A	7.6117748770293	16.8030559929757	9.0074146542609	1.18386992161066
EHI_001810A	544.785601913097	563.952566764247	635.773351013248	529.189854959966
EHI_001820A	27.1849102751046	15.7528649934147	25.5210081870725	24.8612683538239
EHI_001830A	35.8840815631381	44.1080219815612	52.5432521498552	46.1709269428158
EHI_001840A	182.682597048703	148.076930938098	125.353187271797	146.799870279722
EHI_001850A	234.877624776904	150.17731293722	176.395203645943	155.086959730997
EHI_001870A	11.961360521046	5.2509549978049	9.75803254211597	3.55160976483198
EHI_001910A	18.4857389870711	23.1042019903416	16.5135935328116	10.654829294496
EHI_001940A	549.135187557114	269.899086887172	987.813140417278	1481.02127193494
EHI_001950A	256.625552996988	157.528649934147	253.708846095015	316.093269070047
EHI_001990A	43.4958564401674	19.9536289916586	40.533365944174	9.47095937288529
EHI_002110A	143.536326252552	145.976548938976	170.390260543102	105.364423023349
EHI_002130A	209.867507323808	151.227503936781	170.390260543102	139.696650750058
EHI_002140A	332.743301767281	415.875635826148	269.471821739972	274.657821813673
EHI_002150A	21.7479282200837	21.0038199912196	27.0222439627827	23.6773984322132
EHI_002160A	2004.07158548071	1961.75678717991	1448.69252356029	1813.68871990753
EHI_002180A	666.573999945566	532.446836777417	588.484424078379	355.160976483198
EHI_002190A	166.37165088364	229.991828903855	138.864309253189	417.906082328563
EHI_002200A	268.586913518034	286.702142880148	189.906325627334	146.799870279722
EHI_002210A	18.4857389870711	16.8030559929757	20.266682972087	23.6773984322132
EHI_002670A	183.769993459707	199.536289916586	264.217496524986	333.851317894206
EHI_002780A	22.8353246310879	37.8068759841953	35.2790407291885	23.6773984322132
EHI_002790A	31.5344959191214	38.8570669837563	36.0296586170436	55.6418863157011
EHI_002990A	48.9328384951883	57.7605049758539	62.3012846919712	43.8031870995945
EHI_003000A	73.9429559482846	96.6175719596102	75.0617887855075	71.0321952966397
EHI_003010A	911.238192421507	553.450656768637	920.257530510322	1273.84403565307
EHI_003040A	7.6117748770293	12.6022919947318	14.2617398692464	14.2064390593279
EHI_003240.mRNA	33.7092887411297	94.5171899604882	55.5457237012755	5.91934960805331
EHI_003260A	1792.0292853349	1631.99681331776	1077.88728695989	1320.01496259589
EHI_003890A	19.5731353980753	40.9574489828782	26.2716260749276	11.8386992161066
EHI_003900A	14.1361533430544	19.9536289916586	28.5234797384928	29.5967480402665
EHI_003930A	159.847272417615	164.879986931074	102.834650636145	191.786927300927
EHI_003940A	10235.6624167824	7623.33646581316	9625.92379385348	11322.5319302844
EHI_003950A	5.43698205502093	13.6524829942927	18.0148293085218	10.654829294496
