pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1.1	EhMyb10_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_004430A	64.5777106378015	0.054323721961994	5.28749440251564	0.999999999999989	10.2152382526605	0	0	79	61	0.543698205502093	0.52509549978049	59.2988131405509	72.2160652182503	100	UP_pEhEx_DOWN_EhMyb10
EHI_006770A	0.0473914355697518	28.8123491512969	-2.9103555907971	0.999999999999998	-9.24784521351433	39	14	0	0	42.4084600291632	14.7026739938537	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
EHI_010030A	705.040857217595	149.46752401804	1.29278641377687	0.977985434819019	2.23787481151678	184	91	704	770	200.08093962477	95.5673809600492	528.434993049973	911.579839640209	97.8	UP_pEhEx_DOWN_EhMyb10
EHI_017750A	860.378774193704	232.478936062691	1.48008650827696	0.962957607130552	1.8878719278537	198	230	950	880	215.304489378829	241.543929899025	713.086993462321	1041.80553101738	96.3	UP_pEhEx_DOWN_EhMyb10
EHI_018630A	0.0473914355697518	23.8841543332101	-2.76122807206048	0.999999999999999	-8.97721171744275	11	33	0	0	11.961360521046	34.6563029855124	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
EHI_035060A	149.72228635145	0.054323721961994	5.52938665344314	0.999999999999998	11.4284190354283	0	0	228	112	0.543698205502093	0.52509549978049	171.140878430957	132.593431220394	100	UP_pEhEx_DOWN_EhMyb10
EHI_035670A	274.905997126416	52.6981656054222	1.27299687321982	0.977721251561288	2.38311373144298	51	46	284	294	55.4572169612134	48.3087859798051	213.175480150841	348.057756953534	97.77	UP_pEhEx_DOWN_EhMyb10
EHI_038300A	94.7477107040928	20.113905153717	0.830442550361215	0.954450109293509	2.23589787440133	27	10	138	75	29.359703097113	10.5019099956098	103.585268524	88.7902441207996	95.45	UP_pEhEx_DOWN_EhMyb10
EHI_040310A	1370.04666246543	460.59202891744	1.88946547162815	0.994230287777082	1.57266368188343	380	468	1757	1241	413.21063618159	491.489387794539	1318.83562896137	1469.18257271883	99.42	UP_pEhEx_DOWN_EhMyb10
EHI_048140A	1757.0155482174	259.748834903176	1.56081096353383	0.973019900645863	2.75793777504426	288	190	1320	2204	313.170166369205	199.536289916586	990.815611968699	2609.2493072299	97.3	UP_pEhEx_DOWN_EhMyb10
EHI_049990A	67.4390321829144	0.054323721961994	5.04005142526352	0.999999999999985	10.2777857885031	0	0	79	66	0.543698205502093	0.52509549978049	59.2988131405509	78.1354148263037	100	UP_pEhEx_DOWN_EhMyb10
EHI_057550A	217.340693416531	697.836271948528	-1.16032719765059	0.980854350277502	-1.68293026712911	508	777	341	156	552.397376790126	815.998406658882	255.960699758581	184.683707771263	98.09	DOWN_pEhEx_UP_EhMyb10
EHI_058320A	86.341589791587	17.3869152696685	0.926889575839981	0.952800231498816	2.31205366006407	18	14	76	101	19.5731353980753	14.7026739938537	57.0469594769857	119.570862082677	95.28	UP_pEhEx_DOWN_EhMyb10
EHI_083140A	82.8178061099233	1.1152568681132	1.28882743402942	0.978013764521676	6.21449304757913	2	0	27	127	2.17479282200837	0.52509549978049	20.266682972087	150.351480044554	97.8	UP_pEhEx_DOWN_EhMyb10
EHI_089770A	39.1830353367857	0.054323721961994	5.33975297779858	0.999999999999999	9.49443111733205	0	0	51	35	0.543698205502093	0.52509549978049	38.2815122806088	41.4354472563732	100	UP_pEhEx_DOWN_EhMyb10
EHI_092930A	666.235938215406	145.551008198009	1.62814838288156	0.993437281726226	2.19450834551073	112	156	814	630	121.788398032469	163.829795931513	611.002960714031	745.838050614717	99.34	UP_pEhEx_DOWN_EhMyb10
EHI_095830A	318.185080453888	66.3297907838344	1.00979307707127	0.958419227068588	2.26213730950119	94	28	384	304	102.215262634393	29.4053479877075	288.237268936349	359.896456169641	95.84	UP_pEhEx_DOWN_EhMyb10
EHI_098470A	4620.43401602307	0.054323721961994	4.23306933782529	0.999999999999986	16.3760865221328	0	0	486	7755	0.543698205502093	0.52509549978049	364.800293497566	9180.91124209068	100	UP_pEhEx_DOWN_EhMyb10
EHI_099860A	136.647853139235	19.0124716262403	1.18143836477858	0.963277036062407	2.84544479398125	17	18	117	162	18.4857389870711	18.9034379920976	87.8222928790438	191.786927300927	96.33	UP_pEhEx_DOWN_EhMyb10
EHI_103400A	4.91800805269753	51.0293941050551	-1.17658752582077	0.976646240654148	-3.37518250975403	26	68	7	4	28.2723066861088	71.4129879701467	5.25432521498552	4.73547968644265	97.66	DOWN_pEhEx_UP_EhMyb10
EHI_112800A	222.650570123195	65.7275482717247	1.01148322717553	0.958066314051889	1.76021122932814	58	63	250	225	63.0689918382427	66.1620329723418	187.654471963769	266.370732362399	95.81	UP_pEhEx_DOWN_EhMyb10
EHI_118230A	163.15138623644	39.0964586034836	0.865842745229814	0.957421946409402	2.06110140772656	26	46	151	186	28.2723066861088	48.3087859798051	113.343301066116	220.199805419583	95.74	UP_pEhEx_DOWN_EhMyb10
EHI_118270A	42714.8706305541	6803.66803692703	1.43951270796872	0.95023725193134	2.65035375676694	8972	3544	25137	58145	9756.12059952955	3721.87690244411	18868.281847013	68836.1165920519	95.02	UP_pEhEx_DOWN_EhMyb10
EHI_118670A	155.979991769508	39.6571480927132	0.880730651506314	0.954306180059364	1.97570814387724	37	36	138	182	40.2336672071549	37.8068759841953	103.585268524	215.46432573314	95.43	UP_pEhEx_DOWN_EhMyb10
EHI_123020A	0.0473914355697518	27.1502261345906	-3.38893461745475	0.999999999999999	-9.1621221355707	18	32	0	0	19.5731353980753	33.6061119859514	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
EHI_126980A	95.586995790587	10.858095908738	0.975186978805153	0.964711144221059	3.13804322670129	6	14	61	127	6.52437846602511	14.7026739938537	45.7876911591596	150.351480044554	96.47	UP_pEhEx_DOWN_EhMyb10
EHI_134810A	971.741516429713	278.237183700321	1.51519188596621	0.985612040561878	1.80425737253509	316	196	1181	923	343.617265877323	205.837435913952	886.479725556843	1092.71193764664	98.56	UP_pEhEx_DOWN_EhMyb10
EHI_144610A	1725.65363793762	449.352752578314	1.5104564565798	0.985031176257084	1.94122258042691	471	356	1654	1930	512.163709582971	373.867995843709	1241.52198651229	2284.86894870858	98.5	UP_pEhEx_DOWN_EhMyb10
EHI_152800A	1095.59417829424	161.412094366018	1.36248964207399	0.99752230635437	2.76289291831289	191	106	755	1419	207.692714501799	111.320245953464	566.716505330582	1679.91141876553	99.75	UP_pEhEx_DOWN_EhMyb10
EHI_155680A	563.081085825918	76.6022653896148	1.64381318534374	0.996486738601861	2.8778837275643	74	67	550	623	80.4673344143097	70.3627969705857	412.839838320291	737.550961163442	99.65	UP_pEhEx_DOWN_EhMyb10
EHI_155900A	118.352720274996	0.054323721961994	3.70826273063504	1	11.0892229171084	0	0	82	153	0.543698205502093	0.52509549978049	61.5506668041161	181.132098006431	100	UP_pEhEx_DOWN_EhMyb10
EHI_169350A	2662.76573495338	200.345665119812	1.5628463266999	0.972703965961389	3.73236230895666	119	250	1248	3834	129.400172909498	262.547749890245	936.771124043133	4538.95727945528	97.27	UP_pEhEx_DOWN_EhMyb10
EHI_172280A	180.605192468407	15.7580346712663	1.33533972068477	0.989466420804345	3.51867985202639	17	12	135	227	18.4857389870711	12.6022919947318	101.333414860435	268.73847220562	98.95	UP_pEhEx_DOWN_EhMyb10
EHI_178340A	3488.05241793654	362.285206556756	1.58715556392145	0.97489731813294	3.26722391934691	301	366	1876	4864	327.30631971226	384.369905839319	1408.15915761612	5758.34329871426	97.49	UP_pEhEx_DOWN_EhMyb10
EHI_178640A	0.0473914355697518	17.930983549746	-3.48371515451972	0.999999999999999	-8.5636125463048	19	14	0	0	20.6605318090795	14.7026739938537	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
EHI_179390A	300.944278380165	46.1909538163893	1.30756419172843	0.979298834690746	2.70381414573715	52	33	300	329	56.5446133722176	34.6563029855124	225.185366356522	389.493204209908	97.93	UP_pEhEx_DOWN_EhMyb10
EHI_181610A	99.1291252696233	403.443251937401	-1.11514112699268	0.965900298782245	-2.02498485414373	262	481	139	82	284.897859683097	505.141870788832	104.335886411855	97.0773335720742	96.59	DOWN_pEhEx_UP_EhMyb10
EHI_183200A	30.3661895864967	0.054323721961994	3.34716292484549	1	9.12666784362772	0	0	26	36	0.543698205502093	0.52509549978049	19.5160650842319	42.6193171779838	100	UP_pEhEx_DOWN_EhMyb10
EHI_188960A	6807.9366796454	1633.2287109194	2.5812818377487	1	2.05949078425483	1658	1348	7493	6979	1802.90324944494	1415.6574674082	5624.37983369808	8262.22818292081	100	UP_pEhEx_DOWN_EhMyb10
EHI_194430A	101.506849173908	13.041017512709	1.18701634257416	0.967104343832724	2.96044873258139	14	10	92	117	15.2235497540586	10.5019099956098	69.0568456826669	138.512780828447	96.71	UP_pEhEx_DOWN_EhMyb10
