pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_033240A	14.8075303908759	0.054323721961994	2.84843935623403	1	8.09053300329467	0	0	12	18	0.543698205502093	0.52509549978049	9.0074146542609	21.3096585889919	100	UP_pEhEx_DOWN_EhMyb10
EHI_083270A	4109.39038975088	1016.31345344199	2.10836363610685	1	2.01557896257319	1538	331	5365	3660	1672.41568012444	347.613220854685	4027.06496834248	4332.96391309502	100	UP_pEhEx_DOWN_EhMyb10
EHI_083410A	4109.39038975088	1016.31345344199	2.10836363610685	1	2.01557896257319	1538	331	5365	3660	1672.41568012444	347.613220854685	4027.06496834248	4332.96391309502	100	UP_pEhEx_DOWN_EhMyb10
EHI_085680A	10.0505514229729	0.054323721961994	3.07387103463456	1	7.53147661314398	0	0	10	11	0.543698205502093	0.52509549978049	7.50617887855075	13.0225691377173	100	UP_pEhEx_DOWN_EhMyb10
EHI_140540A	9580.71536419909	4048.04530227854	2.1252218315717	1	1.24290794629533	4936	2512	12921	8262	5367.38868471666	2638.07979089718	9698.73372897542	9781.13329234728	100	UP_pEhEx_DOWN_EhMyb10
EHI_155900A	118.352720274996	0.054323721961994	3.70826273063504	1	11.0892229171084	0	0	82	153	0.543698205502093	0.52509549978049	61.5506668041161	181.132098006431	100	UP_pEhEx_DOWN_EhMyb10
EHI_183200A	30.3661895864967	0.054323721961994	3.34716292484549	1	9.12666784362772	0	0	26	36	0.543698205502093	0.52509549978049	19.5160650842319	42.6193171779838	100	UP_pEhEx_DOWN_EhMyb10
EHI_188960A	6807.9366796454	1633.2287109194	2.5812818377487	1	2.05949078425483	1658	1348	7493	6979	1802.90324944494	1415.6574674082	5624.37983369808	8262.22818292081	100	UP_pEhEx_DOWN_EhMyb10
EHI_194540A	42862.6611864101	21214.5830024406	2.24148155536263	1	1.01466510343109	21534	17512	50011	42079	23415.9943145641	18390.9447843119	37539.1511895201	49816.062431455	100	UP_pEhEx_DOWN_EhMyb10
EHI_018630A	0.0473914355697518	23.8841543332101	-2.76122807206048	0.999999999999999	-8.97721171744275	11	33	0	0	11.961360521046	34.6563029855124	0.375308943927537	0.591934960805331	100	DOWN_pEhEx_UP_EhMyb10
