pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_004430A	61.2452785659729	0.0579762708474589	5.85321666597689	1	10.0449203755847	0	0	79	61	0.573633966341356	0.579149527131624	56.2643325986988	66.9865203844038	100	UP_pEhEx_DOWN_U2AF84
EHI_007350A	5324.96548005135	7401.53529331666	-2.53749815193003	1	-0.475052385756764	6670	6103	7372	4974	7652.27711099369	7069.0991281686	5250.38810022288	5462.14676052499	100	DOWN_pEhEx_UP_U2AF84
EHI_009870A	7555.69175639685	9350.21329127133	-2.57250898967163	1	-0.307435428806896	8079	8049	10414	7088	9268.77762814363	9323.14908776488	7416.92100864367	7783.61404073204	100	DOWN_pEhEx_UP_U2AF84
EHI_022010A	3917.41021692703	1778.77281229319	1.97377923362505	1	1.13901795091357	1177	1883	5923	3332	1350.33435676755	2181.0771191777	4218.4005314189	3659.00140853825	100	UP_pEhEx_DOWN_U2AF84
EHI_040800A	36481.1696777604	47949.3633772385	-2.58541255574317	1	-0.394359674072515	43108	39637	48897	35130	49456.4260420863	45911.4996138324	34824.7730516276	38577.646903346	100	DOWN_pEhEx_UP_U2AF84
EHI_041880A	17.5865910906198	0.0579762708474589	5.30341251545194	1	8.24479760947042	0	0	25	16	0.573633966341356	0.579149527131624	17.805168543892	17.5702348549256	100	UP_pEhEx_DOWN_U2AF84
EHI_042720A	64813.4768391124	78007.8569794729	-5.88000457422493	1	-0.267325612327421	68802	65784	91671	59270	78934.3283044359	76197.5449856535	65288.7042234851	65086.738740715	100	DOWN_pEhEx_UP_U2AF84
EHI_048990A	46512.8650566763	73620.0517356958	-2.52114397811638	1	-0.66246895515906	69039	58070	61717	45200	79206.2308044817	67262.4260810668	43955.2634809354	49635.9134651648	100	DOWN_pEhEx_UP_U2AF84
EHI_055670A	13605.2409792125	18028.034237928	-2.37771923750322	1	-0.406079584895627	15524	15571	18004	13253	17810.1873869664	18035.874573933	12822.5701785693	14553.6451582706	100	DOWN_pEhEx_UP_U2AF84
EHI_073410A	9.34615430688983	0.0579762708474589	3.70636625252279	1	7.33276650707739	0	0	11	10	0.573633966341356	0.579149527131624	7.8342741593125	10.9813967843285	100	UP_pEhEx_DOWN_U2AF84
