pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1.1	U2AF84_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_000130A	283.883448643301	73.6897652783245	1.04080262845734	0.967623505862521	1.94576257414925	59	68	236	368	67.68880802828	78.7643356899009	168.080791054341	404.115401663288	96.76	UP_pEhEx_DOWN_U2AF84
EHI_001940A	1147.82175157628	479.322556626416	1.31218004822094	0.982051235916369	1.25982988027946	336	489	1316	1251	385.482025381391	566.408237534728	937.264072150477	1373.77273771949	98.21	UP_pEhEx_DOWN_U2AF84
EHI_005020A	1432.67655696516	632.83321606785	1.27099467623114	0.98159608391899	1.17881571063764	478	612	1570	1609	548.394071822336	708.879021209108	1118.16458455642	1766.90674259845	98.16	UP_pEhEx_DOWN_U2AF84
EHI_010020A	903.70612420645	159.401466329372	1.37955675267116	0.996552840704691	2.50318879884654	140	135	610	1264	160.61751057558	156.370372325538	434.446112470966	1388.04855353912	99.66	UP_pEhEx_DOWN_U2AF84
EHI_010030A	668.777878854539	150.231754197426	1.64572805106174	0.998181892201066	2.15433734346355	124	135	704	770	142.261223652656	156.370372325538	501.393546196	845.567552393294	99.82	UP_pEhEx_DOWN_U2AF84
EHI_015310A	10803.4191732335	4777.6829696733	1.83729925210174	0.999999999999997	1.17710495320415	3206	5014	12746	11539	3678.14099218077	5807.71145807593	9077.78713041792	12671.4337494366	100	UP_pEhEx_DOWN_U2AF84
EHI_017750A	816.057606628909	291.240550661083	1.47738152208315	0.987077347888258	1.48645975552761	236	266	950	880	270.75523211312	308.107548434024	676.596404667897	966.362917020907	98.71	UP_pEhEx_DOWN_U2AF84
EHI_020080A	838.630883577036	368.395580789799	1.46564066115469	0.988067529820221	1.18678020490795	299	336	1073	841	343.033111872131	389.188482232451	764.197833903846	923.535469562026	98.81	UP_pEhEx_DOWN_U2AF84
EHI_022010A	3917.41021692703	1778.77281229319	1.97377923362505	1	1.13901795091357	1177	1883	5923	3332	1350.33435676755	2181.0771191777	4218.4005314189	3659.00140853825	100	UP_pEhEx_DOWN_U2AF84
EHI_027610A	839.631711820258	346.683354690066	1.32154001570018	0.982191691136754	1.27613808633496	212	384	1143	797	243.220801728735	444.786836837087	814.052305826744	875.217323710981	98.22	UP_pEhEx_DOWN_U2AF84
EHI_028990A	508.329971434213	127.933826477632	1.17696024249609	0.965074904639195	1.99036752348822	81	139	450	641	92.9287025472996	161.003568542591	320.493033790057	703.907533875456	96.51	UP_pEhEx_DOWN_U2AF84
EHI_035510A	124.418534874288	48.1668947049867	0.931869619116105	0.966843200894004	1.36908760037584	38	45	168	119	43.596181441943	52.1234574418462	119.650732614955	130.678621733509	96.68	UP_pEhEx_DOWN_U2AF84
EHI_035670A	260.759352640928	44.1950798486282	1.41399609221144	0.998223492692741	2.56076132746853	28	48	284	294	32.1235021151159	55.5983546046359	202.266714658614	322.853065459258	99.82	UP_pEhEx_DOWN_U2AF84
EHI_048140A	1666.97312626097	368.793489226196	1.34094471069023	0.985476948189585	2.17634575502187	181	452	1320	2204	207.655495815571	523.551172526988	940.1128991175	2420.299851266	98.55	UP_pEhEx_DOWN_U2AF84
EHI_048300A	78.2738723445912	20.911391706453	0.885567435265271	0.96411276151094	1.90424173911746	15	21	78	93	17.2090189902407	24.3242801395282	55.5521258569432	102.126990094255	96.41	UP_pEhEx_DOWN_U2AF84
EHI_051690A	69.2259110904991	11.0887041635249	0.927652618074053	0.967589216676986	2.64222135555872	4	15	77	77	4.58907173073085	17.3744858139487	54.8399191151875	84.5567552393294	96.76	UP_pEhEx_DOWN_U2AF84
EHI_057550A	206.068502783639	674.619649222592	-1.34432916503146	0.974329332019177	-1.71095033116847	731	436	341	156	838.652858791062	505.018387658776	242.862498938687	171.309789835524	97.43	DOWN_pEhEx_UP_U2AF84
EHI_058090A	2984.9724482671	1236.89342948519	1.53854461564058	0.98459644071415	1.27099641194062	1047	1086	3209	3393	1201.1895255188	1257.91277292989	2285.47143429398	3725.98792892266	98.46	UP_pEhEx_DOWN_U2AF84
EHI_062500A	130.283704336479	40.0502167863424	1.03254704198559	0.966156870408493	1.70177468847672	31	38	157	137	35.5653059131641	44.0153640620034	111.816458455642	150.4451359453	96.62	UP_pEhEx_DOWN_U2AF84
EHI_077770A	116.538332981724	32.9466388796319	0.905403324998149	0.96817182523715	1.82260138067086	36	21	126	132	41.3016455765776	24.3242801395282	89.7380494612159	144.954437553136	96.82	UP_pEhEx_DOWN_U2AF84
EHI_083100A	87.3794167890742	12.8080251882647	1.02841607544759	0.965524154279725	2.77024542642167	7	15	70	115	8.03087552877898	17.3744858139487	49.8544719228977	126.286063019778	96.55	UP_pEhEx_DOWN_U2AF84
EHI_092110A	252.763984367582	83.3793388166931	0.990759331306185	0.961223537962352	1.60002907559231	80	64	260	295	91.7814346146169	74.1311394728479	185.173752856477	323.951205137691	96.12	UP_pEhEx_DOWN_U2AF84
EHI_092170A	154.625585399706	52.7650621714155	1.14856535890195	0.981743396555067	1.55112417160294	45	46	230	134	51.627056970722	53.2817564961094	163.807550603807	147.150716910002	98.17	UP_pEhEx_DOWN_U2AF84
EHI_092930A	631.856646759886	233.929849836421	1.23311474247542	0.959404924020888	1.43352131863218	136	266	814	630	156.028438844849	308.107548434024	579.736287789125	691.827997412695	95.94	UP_pEhEx_DOWN_U2AF84
EHI_095830A	301.769592591608	97.8260998383213	1.00805426263917	0.963086247081938	1.62515611170909	52	116	384	304	59.657932499501	134.362690294537	273.487388834182	333.834462243586	96.31	UP_pEhEx_DOWN_U2AF84
EHI_098470A	4385.90067666195	0.0579762708474589	4.39522551599228	1	16.2070510761879	0	0	486	7755	0.573633966341356	0.579149527131624	346.132476493261	8516.07320624675	100	UP_pEhEx_DOWN_U2AF84
EHI_098800A	563.779300634118	272.701455390352	1.07012386076284	0.973244915975048	1.04780810995226	219	251	699	580	251.251677257514	290.733062620075	497.832512487221	636.921013491053	97.32	UP_pEhEx_DOWN_U2AF84
EHI_103310A	2886.26267604329	1033.10550618032	1.5916013234413	0.984028520961807	1.48221500676921	585	1190	3240	3191	671.151740619386	1378.37587457327	2307.54984328841	3504.16371387922	98.4	UP_pEhEx_DOWN_U2AF84
EHI_103510A	3036.77326016573	734.92326478392	1.58477025787626	0.983373968539775	2.04687366665159	474	790	2698	3823	543.805000091605	915.056252867966	1921.53378925683	4198.18799064878	98.34	UP_pEhEx_DOWN_U2AF84
EHI_105140A	10274.5008844456	3954.06051582707	1.73432367527614	0.999999985027413	1.37766145584381	2523	4277	11325	11496	2894.55699415848	4954.04505508391	8065.74135038309	12624.213743264	100	UP_pEhEx_DOWN_U2AF84
EHI_110570A	336.994539510372	121.150438970505	0.99306521825731	0.961461370970634	1.47592558270485	106	103	341	397	121.610400864367	119.304802589115	242.862498938687	435.961452337841	96.15	UP_pEhEx_DOWN_U2AF84
EHI_111760A	10194.4828844739	4982.65417404146	2.32608261008969	0.999999999999994	1.03280224549405	3491	5085	13331	10035	4005.11235299535	5889.95069092862	9494.42807434499	11019.8316730736	100	UP_pEhEx_DOWN_U2AF84
