pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_004430A	61.2452785659729	0.0579762708474589	5.85321666597689	1	10.0449203755847	0	0	79	61	0.573633966341356	0.579149527131624	56.2643325986988	66.9865203844038	100	UP_pEhEx_DOWN_U2AF84
EHI_022010A	3917.41021692703	1778.77281229319	1.97377923362505	1	1.13901795091357	1177	1883	5923	3332	1350.33435676755	2181.0771191777	4218.4005314189	3659.00140853825	100	UP_pEhEx_DOWN_U2AF84
EHI_041880A	17.5865910906198	0.0579762708474589	5.30341251545194	1	8.24479760947042	0	0	25	16	0.573633966341356	0.579149527131624	17.805168543892	17.5702348549256	100	UP_pEhEx_DOWN_U2AF84
EHI_073410A	9.34615430688983	0.0579762708474589	3.70636625252279	1	7.33276650707739	0	0	11	10	0.573633966341356	0.579149527131624	7.8342741593125	10.9813967843285	100	UP_pEhEx_DOWN_U2AF84
EHI_089770A	37.1587431139726	0.0579762708474589	5.93356274079422	1	9.32402344909423	0	0	51	35	0.573633966341356	0.579149527131624	36.3225438295398	38.4348887451497	100	UP_pEhEx_DOWN_U2AF84
EHI_140640A	39.0911795042916	0.0579762708474589	3.53564048676814	1	9.39716486132748	0	0	32	51	0.573633966341356	0.579149527131624	22.7906157361818	56.0051236000753	100	UP_pEhEx_DOWN_U2AF84
EHI_156660A	8678.50934165624	3997.61910640345	5.60442987921745	1	1.11830624191639	3568	3330	12553	7754	4093.45198381191	3857.13585069662	8940.33122925907	8514.97506656831	100	UP_pEhEx_DOWN_U2AF84
EHI_195110A	0.0449518903185059	419.47152868059	-4.66814521179097	1	-13.1879034864009	559	169	0	0	641.322774369636	195.752540170489	0.356103370877841	0.549069839216425	100	DOWN_pEhEx_UP_U2AF84
EHI_098470A	4385.90067666195	0.0579762708474589	4.39522551599228	1	16.2070510761879	0	0	486	7755	0.573633966341356	0.579149527131624	346.132476493261	8516.07320624675	100	UP_pEhEx_DOWN_U2AF84
EHI_033240A	14.0480230555302	0.0579762708474589	3.01931215659341	1	7.92068886310994	0	0	12	18	0.573633966341356	0.579149527131624	8.54648090106818	19.7665142117913	100	UP_pEhEx_DOWN_U2AF84
EHI_155900A	112.292671108234	0.0579762708474589	3.97226485742681	0.999999999999999	10.9195136121656	0	0	82	153	0.573633966341356	0.579149527131624	58.4009528239659	168.015370800226	100	UP_pEhEx_DOWN_U2AF84
EHI_188960A	6457.25383965602	2292.12166481345	2.08497652584356	0.999999999999999	1.49423711791312	1556	2388	7493	6979	1785.1489032543	2766.01814158064	5336.56511597532	7663.91681578285	100	UP_pEhEx_DOWN_U2AF84
EHI_192030A	0.0449518903185059	12.1284269763705	-3.09957435944637	0.999999999999998	-8.07579494839464	14	7	0	0	16.061751057558	8.10809337984274	0.356103370877841	0.549069839216425	100	DOWN_pEhEx_UP_U2AF84
EHI_186720A	13987.6947793157	5958.4767281916	1.81085496357519	0.999999999999998	1.23114275989833	3225	7009	17410	14346	3699.93908290175	8118.5180713311	12399.5193739664	15753.9118267977	100	UP_pEhEx_DOWN_U2AF84
