edgeR	limma	NOISeq	DESeq2
EHI_000140A	1	1	1	1
EHI_000690A	1	1	1	1
EHI_001940A	1	1	1	1
EHI_005020A	1	1	1	1
EHI_005070A	1	1	1	1
EHI_007510A	1	1	1	1
EHI_007940A	1	1	1	1
EHI_010020A	1	1	1	1
EHI_010030A	1	1	1	1
EHI_013220A	1	1	1	1
EHI_013340A	1	1	1	1
EHI_015310A	1	1	1	1
EHI_015440A	1	1	1	1
EHI_017030A	1	1	1	1
EHI_017660A	1	1	1	1
EHI_017750A	1	1	1	1
EHI_020080A	1	1	1	1
EHI_022010A	1	1	1	1
EHI_023000A	1	1	1	1
EHI_023400A	1	1	1	1
EHI_025360A	1	1	1	1
EHI_027610A	1	1	1	1
EHI_028990A	1	1	1	1
EHI_030070A	1	1	1	1
EHI_035060A	1	1	1	1
EHI_035220A	1	1	1	1
EHI_035510A	1	1	1	1
EHI_035600A	1	1	1	1
EHI_035650A	1	1	1	1
EHI_035670A	1	1	1	1
EHI_036560A	1	1	1	1
EHI_037810A	1	1	1	1
EHI_038300A	1	1	1	1
EHI_044550A	1	1	1	1
EHI_044820A	1	1	1	1
EHI_044830A	1	1	1	1
EHI_045280A	1	1	1	1
EHI_048140A	1	1	1	1
EHI_048300A	1	1	1	1
EHI_049000A	1	1	1	1
EHI_049690A	1	1	1	1
EHI_050520A	1	1	1	1
EHI_052110A	1	1	1	1
EHI_056460A	1	1	1	1
EHI_056690A	1	1	1	1
EHI_057550A	1	1	1	1
EHI_057850A	1	1	1	1
EHI_065340A	1	1	1	1
EHI_066770A	1	1	1	1
EHI_068610A	1	1	1	1
EHI_069280A	1	1	1	1
EHI_073180A	1	1	1	1
EHI_076020A	1	1	1	1
EHI_077770A	1	1	1	1
EHI_083270A	1	1	1	1
EHI_083410A	1	1	1	1
EHI_087410A	1	1	1	1
EHI_087570A	1	1	1	1
EHI_089770A	1	1	1	1
EHI_090020A	1	1	1	1
EHI_092170A	1	1	1	1
EHI_092430A	1	1	1	1
EHI_092470A	1	1	1	1
EHI_092930A	1	1	1	1
EHI_094020A	1	1	1	1
EHI_095830A	1	1	1	1
EHI_097930A	1	1	1	1
EHI_098440A	1	1	1	1
EHI_098800A	1	1	1	1
EHI_099860A	1	1	1	1
EHI_103310A	1	1	1	1
EHI_103510A	1	1	1	1
EHI_103900A	1	1	1	1
EHI_105140A	1	1	1	1
EHI_105280A	1	1	1	1
EHI_111760A	1	1	1	1
EHI_112800A	1	1	1	1
EHI_113900A	1	1	1	1
EHI_114920A	1	1	1	1
EHI_115360A	1	1	1	1
EHI_117850A	1	1	1	1
EHI_118270A	1	1	1	1
EHI_118670A	1	1	1	1
EHI_118750A	1	1	1	1
EHI_119540A	1	1	1	1
EHI_126210A	1	1	1	1
EHI_126870A	1	1	1	1
EHI_131470A	1	1	1	1
EHI_134490A	1	1	1	1
EHI_134810A	1	1	1	1
EHI_135060A	1	1	1	1
EHI_140540A	1	1	1	1
EHI_140550A	1	1	1	1
EHI_140640A	1	1	1	1
EHI_141810A	1	1	1	1
EHI_141890A	1	1	1	1
EHI_143440A	1	1	1	1
EHI_144610A	1	1	1	1
EHI_147570A	1	1	1	1
EHI_148150A	1	1	1	1
EHI_148190A	1	1	1	1
EHI_151350A	1	1	1	1
EHI_151890A	1	1	1	1
EHI_152800A	1	1	1	1
EHI_155420A	1	1	1	1
EHI_155680A	1	1	1	1
EHI_155900A	1	1	1	1
EHI_158570A	1	1	1	1
EHI_159820A	1	1	1	1
EHI_160210A	1	1	1	1
EHI_166030A	1	1	1	1
EHI_166800A	1	1	1	1
EHI_167270A	1	1	1	1
EHI_169350A	1	1	1	1
EHI_170060A	1	1	1	1
EHI_170120A	1	1	1	1
EHI_171280A	1	1	1	1
EHI_172280A	1	1	1	1
EHI_174180A	1	1	1	1
EHI_177520A	1	1	1	1
EHI_178340A	1	1	1	1
EHI_179390A	1	1	1	1
EHI_181610A	1	1	1	1
EHI_182550A	1	1	1	1
EHI_186720A	1	1	1	1
EHI_186950A	1	1	1	1
