edgeR	NOISeq	DESeq2
EHI_006680A	8.73847456874584e-14	4.21884749357559e-15	0.00018150920637188
EHI_006770A	3.42542093263151e-15	7.7715611723761e-16	8.81014062649359e-05
EHI_010020A	0.0368866639779515	0.0317772906210051	0.0318726685303774
EHI_015310A	0.754886950876643	0.0367852263826934	0.981016892626495
EHI_017750A	0.0452745695273965	0.0979085255818595	0.0673297341123346
EHI_019860A	0.0213573460711988	0.0625252818847276	0.581132661622406
EHI_023400A	0.109221700704415	1.66517133415311e-10	0.0365266310646728
EHI_032670A	0.025549392023066	0.0694039047003677	0.208344008324259
EHI_035670A	0.0248298396541003	0.0400441261018623	0.0673297341123346
EHI_036630A	8.8544970230347e-14	0	0.000139310289607852
EHI_048860A	0.0452745695273965	0.0632257324325953	0.632213853428356
EHI_049000A	0.859632149047321	0.0313748764563958	0.999901937681032
EHI_050000A	0.0462712455783303	0.0707501279078978	0.312646539452666
EHI_057550A	0.0243866858383477	0.125502259877902	0.0127051528856762
EHI_058090A	0.274056155967535	0.0269472574262245	0.328523891631469
EHI_062500A	0.00635207114482233	0.0387634366002293	0.041119977496858
EHI_068380A	0.0340042429071371	0.0402636907710576	0.587435869072947
EHI_073540A	0.0198896853465875	0.0864803952600118	0.320975727556764
EHI_075040A	4.9310853542181e-18	0	8.08133768447343e-08
EHI_075530A	0.0243866858383477	0.070452246185553	0.172421644213531
EHI_083100A	0.0464275066718214	0.0687139454281728	0.169591189081242
EHI_087210A	0.309979239096493	0.0429099695460646	0.374422682644695
EHI_087570A	0.580530892916328	0.031611783339269	0.656385858382967
EHI_089770A	2.51011623729413e-11	3.10862446895044e-15	0.00280545735687313
EHI_099860A	0.00635207114482233	0.0544790594283827	0.0127051528856762
EHI_103310A	0.670225794775143	0.0363647722605076	0.841770350023978
EHI_104360A	0.230278818482844	0.0484248506269577	0.416710750486068
EHI_107170A	0.336051619452065	0.042337121066233	0.320975727556764
EHI_114920A	0.516955143023399	0.0231812807861752	0.999901937681032
EHI_116040A	8.30168602032663e-07	0	0.0213537829447188
EHI_117270A	0.340495121000494	0.0468198944755281	0.987644091083142
EHI_118750A	0.811562724924329	0.0467844884776247	0.999901937681032
EHI_123020A	2.66940828926904e-07	3.84465693170633e-07	0.00538925555142399
EHI_135060A	0.195806434854243	0.0305887093696103	0.210356152101119
EHI_140640A	4.84079357097072e-07	1.53210777398272e-14	0.00354286021224595
EHI_141800A	0.220610649440139	0.0259685968287255	0.29679978570895
EHI_142900A	0.025549392023066	0.042466287209304	0.604080430138665
EHI_147570A	0.330222218442332	0.0233740611169493	0.427709749487823
EHI_147990A	0.0198896853465875	0.0804791153259508	0.312646539452666
EHI_150530A	0.0452745695273965	0.0451323290699401	0.632213853428356
EHI_155900A	1.18143637974792e-10	0	3.45635104768725e-05
EHI_158270A	0.507241355652901	4.21884749357559e-15	0.427709749487823
EHI_158570A	0.424043167069612	0.0351427090640621	0.990027056567935
EHI_163670A	0.204764409127562	0.0355034592421756	0.231477103942871
EHI_167310A	0.51335391021925	0.0462570658852859	0.604080430138665
EHI_169350A	0.00697066325446972	0.0547979896736372	0.000588845205588137
EHI_170060A	0.415229512319741	0.0442254703194469	0.587435869072947
EHI_172280A	0.0248298396541003	0.0391645322254026	0.0198189320003533
EHI_174150A	0.0013009401401874	0	0.132241734017736
EHI_178340A	0.0243866858383477	0.0324786522841742	0.00536093904248759
EHI_179390A	0.00635207114482233	0.0525829115536074	0.0127051528856762
EHI_180000A	0.0452745695273965	0.0695610499137659	0.542813557917607
EHI_183560A	0.329305326050024	0.038574436837236	0.990027056567935
EHI_187780A	0.0248298396541003	0.062586644464839	0.150499730847637
EHI_188880A	0.00190696684897708	0.0497880550633762	0.0127051528856762
EHI_188960A	0.230278818482844	0.000321829029540588	0.271952967860389
EHI_194430A	0.0452745695273965	0.0696097635245301	0.151068316527785
EHI_198930A	0.392007061991716	0.0408898743423469	0.587435869072947
