edgeR	NOISeq	DESeq2
EHI_006680A	-8.99386825215779	10.1076153435629	-8.23972954242539
EHI_006770A	8.99659015686514	-10.436509573828	8.58231018931103
EHI_010020A	-2.34121603452954	2.31327594887778	-2.34659111616107
EHI_015310A	-1.20737254243043	1.17397152690712	-1.19536829832346
EHI_017750A	-1.70411850684326	1.67530871725252	-1.69193477535744
EHI_019860A	-2.14880988722214	2.12327729962938	-2.13724902591638
EHI_023400A	2.1438398761467	-2.17128627496905	2.18958310656264
EHI_032670A	-3.63740741259151	3.72033766142678	-3.7174820906298
EHI_035670A	-1.82828463840464	1.80190044322309	-1.81820338834075
EHI_036630A	-9.15087821947667	10.2693926086563	-8.4060705360978
EHI_048860A	-1.95632287385223	1.95522208088945	-1.95564832436944
EHI_049000A	-1.53615519613154	1.50085945630482	-1.52417504849138
EHI_050000A	-2.0904170874514	2.0765268206364	-2.09592755704738
EHI_057550A	1.81701657320986	-1.84768361621987	1.84954489890784
EHI_058090A	-1.29376907846327	1.26393868038621	-1.28413565335471
EHI_062500A	-2.04129284694708	2.0245956844594	-2.0326195818429
EHI_068380A	-4.34461541680403	4.47146807783331	-4.63110841776401
EHI_073540A	1.96662735954069	-2.05634612156548	2.03589007551327
EHI_075040A	7.51974694206559	-7.67909121466519	7.73567970472671
EHI_075530A	-2.23194786422969	2.23036150037277	-2.23171389827443
EHI_083100A	-2.34445798676219	2.3386009502486	-2.35575249012336
EHI_087210A	1.26326030312984	-1.29549521303632	1.30255278614122
EHI_087570A	-1.49884591440972	1.46583686391044	-1.49349627086664
EHI_089770A	-8.28113291641534	9.39129895157484	-7.52198385207833
EHI_099860A	-3.02751478554757	3.023764103301	-3.03639997945251
EHI_103310A	-1.54531564605597	1.51140690385921	-1.53577003296256
EHI_104360A	-1.3598520254954	1.33093505200927	-1.35381563306386
EHI_107170A	1.91363413321997	-1.94901580084207	1.9697072520073
EHI_114920A	-2.45200639443674	2.4174585740619	-2.45026771782102
EHI_116040A	-7.58041335248186	8.69883983404477	-6.83168022036633
EHI_117270A	3.00780807691759	-3.04541256827543	3.08525679402031
EHI_118750A	-1.5530796046675	1.51816662324323	-1.54930732243047
EHI_123020A	7.83687789261537	-9.27791537023616	7.4236249872325
EHI_135060A	-1.97345499631598	1.94159755747407	-1.96815691528327
EHI_140640A	-8.33835231636631	9.46303979101471	-7.605742566523
EHI_141800A	-1.32444196287923	1.29454770561777	-1.31114485473217
EHI_142900A	-2.30372140491606	2.29407386024983	-2.3023178061904
EHI_147570A	-1.24138894284261	1.21131594945825	-1.23050612046867
EHI_147990A	3.87772042337608	-3.74580542634881	3.90372388642762
EHI_150530A	-1.74681403861668	1.72508853719142	-1.73115371812236
EHI_155900A	-9.86767061336372	10.9851649773152	-9.13513126431824
EHI_158270A	0.984503115597263	-1.01282234227586	1.00584846318138
EHI_158570A	-2.66431210030719	2.62962982964579	-2.67641572486221
EHI_163670A	-1.43554716009977	1.40638753265978	-1.42889206256
EHI_167310A	-1.51259322329124	1.48019483148814	-1.51092715617896
EHI_169350A	-3.39173288568045	3.36273533725762	-3.40350566969359
EHI_170060A	-1.63896070314469	1.60768765737925	-1.62429140821298
EHI_172280A	-3.10462102134125	3.09353318958337	-3.11442130518667
EHI_174150A	-7.01392735772206	8.14350560000927	-6.2802457953533
EHI_178340A	-2.90611622738085	2.87606686829782	-2.91527501336799
EHI_179390A	-2.23454944238879	2.21188160327453	-2.22865992951081
EHI_180000A	-1.80364272173942	1.79046525290653	-1.80265015128193
EHI_183560A	-2.07504324389713	2.11871975684131	-2.11934806390775
EHI_187780A	-2.06621178682926	2.05434391519321	-2.06718573642513
EHI_188880A	-3.10129568482167	3.10679429245742	-3.12076488002021
EHI_188960A	-1.58100026171764	1.5492394861622	-1.56906663347457
EHI_194430A	-2.3727836625945	2.36675903662269	-2.37849305660024
EHI_198930A	-1.23830653747344	1.20842292636165	-1.23013637011088
