edgeR	NOISeq	DESeq2
EHI_006680A	1	1	1
EHI_006770A	1	1	1
EHI_010020A	1	1	1
EHI_036630A	1	1	1
EHI_062500A	1	1	1
EHI_075040A	1	1	1
EHI_089770A	1	1	1
EHI_116040A	1	1	1
EHI_123020A	1	1	1
EHI_140640A	1	1	1
EHI_155900A	1	1	1
EHI_172280A	1	1	1
EHI_178340A	1	1	1
EHI_188880A	1	1	1
EHI_023400A	0	1	1
EHI_035670A	1	1	0
EHI_057550A	1	0	1
EHI_068380A	1	1	0
EHI_099860A	1	0	1
EHI_142900A	1	1	0
EHI_150530A	1	1	0
EHI_169350A	1	0	1
EHI_174150A	1	1	0
EHI_179390A	1	0	1
EHI_015310A	0	1	0
EHI_017750A	1	0	0
EHI_019860A	1	0	0
EHI_032670A	1	0	0
EHI_048860A	1	0	0
EHI_049000A	0	1	0
EHI_050000A	1	0	0
EHI_058090A	0	1	0
EHI_073540A	1	0	0
EHI_075530A	1	0	0
EHI_083100A	1	0	0
EHI_087210A	0	1	0
EHI_087570A	0	1	0
EHI_103310A	0	1	0
EHI_104360A	0	1	0
EHI_107170A	0	1	0
EHI_114920A	0	1	0
EHI_117270A	0	1	0
EHI_118750A	0	1	0
EHI_135060A	0	1	0
EHI_141800A	0	1	0
EHI_147570A	0	1	0
EHI_147990A	1	0	0
EHI_158270A	0	1	0
EHI_158570A	0	1	0
EHI_163670A	0	1	0
EHI_167310A	0	1	0
EHI_170060A	0	1	0
EHI_180000A	1	0	0
EHI_183560A	0	1	0
EHI_187780A	1	0	0
EHI_188960A	0	1	0
EHI_194430A	1	0	0
EHI_198930A	0	1	0
