edgeR	NOISeq	DESeq2
EHI_000130A	-1.96565294172358	1.91546401359034	-1.96289197376101
EHI_000690A	-4.72680190211694	4.69117005105176	-4.73996458383196
EHI_001060A	-2.42110858520996	2.4179438273029	-2.44486399600727
EHI_001940A	-1.5997882054458	1.54694513215916	-1.58268729061111
EHI_004430A	-9.05340158806055	10.2152382526605	-8.36596271140048
EHI_004860A	-1.0729037629002	1.01846852643213	-1.0437925182077
EHI_005020A	-1.19721262087825	1.14367284342278	-1.18215864898636
EHI_005030A	-3.49819711543483	3.5702366462308	-3.60513246361055
EHI_005070A	-1.53286283763891	1.48377173900741	-1.51625515547941
EHI_006770A	7.84357452142505	-9.24784521351433	7.37620105096049
EHI_006960A	-2.53374616777407	2.52946413157257	-2.55706339300114
EHI_010020A	-2.2093159351585	2.15688329552066	-2.21123029172273
EHI_010030A	-2.2896422232864	2.23787481151678	-2.27685463045756
EHI_012420A	-2.01643137005713	1.96757920971056	-1.99701124613951
EHI_014110A	-1.07675120049913	1.02635684802599	-1.05545619708291
EHI_015310A	-1.58815783268113	1.53633920333489	-1.56906105722894
EHI_015320A	1.15495935413035	-1.21139213480349	1.17868816238307
EHI_017660A	-2.67052543461188	2.62325956232748	-2.66696393908739
EHI_017750A	-1.94225387574639	1.8878719278537	-1.92537978736806
EHI_018630A	7.57014724213905	-8.97721171744275	7.09909668199574
EHI_020080A	-1.62573314361269	1.57082549516231	-1.60414361914681
EHI_022010A	-2.00584006128518	1.95454301839248	-1.97348531931411
EHI_023400A	1.8166635179128	-1.87520249812715	1.86743021289142
EHI_025830A	-1.11571654888271	1.06328949163036	-1.09378932152401
EHI_027610A	-1.41362712641764	1.36278485985994	-1.38734765134567
EHI_028990A	-2.39551605855461	2.34505129259802	-2.38950282937045
EHI_030070A	-1.46370928917809	1.41308650992023	-1.442493581662
EHI_032670A	-3.25001063609373	3.25273776126423	-3.29398398814346
EHI_032780A	-2.09798086779858	2.05851590102912	-2.10223472114726
EHI_033240A	-6.90857987199921	8.09053300329467	-6.24780145907433
EHI_035060A	-10.2721329103091	11.4284190354283	-9.57118031351798
EHI_035510A	-1.41332723719897	1.36141176248474	-1.3902925181721
EHI_035600A	-1.32230364678153	1.2695739869323	-1.29977705365931
EHI_035670A	-2.43260832345093	2.38311373144298	-2.42088394042349
EHI_036560A	-1.66420546023805	1.61087270929065	-1.63370792273284
EHI_038300A	-2.28470680532041	2.23589787440133	-2.25773388667403
EHI_040310A	-1.62806824523732	1.57266368188343	-1.60357314292473
EHI_044610A	-2.94910933343009	2.96560980925929	-3.00376716785838
