edgeR_U2AF84_1	edgeR_U2AF84_2	edgeR_pEhEx_1	edgeR_pEhEx_2	NOISeq_U2AF84_1	NOISeq_U2AF84_2	NOISeq_pEhEx_1	NOISeq_pEhEx_2	DESeq2_U2AF84_1	DESeq2_U2AF84_2	DESeq2_pEhEx_1	DESeq2_pEhEx_2
EHI_000130A	9.11768026830199	10.6095534887493	22.3421551021147	54.1854734144517	67.68880802828	78.7643356899009	168.080791054341	404.115401663288	66.2642961009377	77.4766476388664	160.438802855515	406.949848216789
EHI_000690A	0	3.27647975387848	17.4193073677504	43.8784540149636	0	24.3242801395282	131.046040483045	327.245624172989	0	23.9266117708264	125.087880192435	329.540909697291
EHI_001940A	51.9244164432113	76.2951714117416	124.585915738911	184.20116098228	385.482025381391	566.408237534728	937.264072150477	1373.77273771949	377.369550676526	557.148245520672	894.650273550244	1383.40831554131
EHI_004400A	12.6720302034028	14.3541017788962	22.0581446559014	33.4241914811971	94.0759704799824	106.563512992219	165.944170829074	249.277707004257	92.0961403436761	104.821346805525	158.399326548029	251.026129198943
EHI_004430A	0	0	7.47894175028416	8.98183119098249	0	0	56.2643325986988	66.9865203844038	0	0	53.7062094304478	67.4563607098481
EHI_004560A	0.463610861100101	0	1.60939252854216	1.91416074561922	3.44180379804813	0	12.1075146098466	14.275815819627	3.36937098818327	0	11.5570324090837	14.3759457250496
EHI_005010A	8.80860636090192	10.9215991795949	18.7446894500793	27.9761955128963	65.3942721629146	81.0809337984274	141.016934867625	208.646538902241	64.0180487754821	79.7553725694213	134.605436294034	210.109975981494
EHI_005020A	73.8686638686161	95.4859813987441	148.632133518305	236.914203053948	548.394071822336	708.879021209108	1118.16458455642	1766.90674259845	536.853110783868	697.289828749798	1067.32593425067	1779.2997439696
EHI_005030A	0.309073907400067	0.780114227113923	1.42005223106661	3.53383522268163	2.29453586536542	5.79149527131624	10.6831011263352	26.3553522823884	2.24624732545551	5.69681232638724	10.1973815374268	26.5402074923993
EHI_005070A	8.80860636090192	9.82943926163543	16.4726058803727	22.6754426788738	65.3942721629146	72.9728404185846	123.923973065489	169.113510478659	64.0180487754821	71.7798353124792	118.289625834151	170.299664742895
EHI_005100A	5.09971947210111	5.30477674437467	10.2243760636796	12.6629095479425	37.8598417785295	39.3821678449504	76.9183281096136	94.440012345225	37.063080870016	38.7383238194332	73.4211470694729	95.1024101810974
EHI_006170A	13.2901780182029	18.2546729144658	23.6675371844435	49.3264499832645	98.6650422107132	135.5209893488	178.05168543892	367.876792275005	96.5886349945871	133.305408437461	169.956358957113	370.45706291474
EHI_006850A	3.09073907400067	2.49636552676455	5.77487907300422	15.4605290992322	22.9453586536542	18.532784868212	43.4446112470966	115.304666235449	22.4624732545551	18.2297994444392	41.4693515855356	116.113407779247
EHI_006960A	0.927221722200202	1.09215991795949	2.36675371844435	3.23934895412483	6.88360759609627	8.10809337984274	17.805168543892	24.1590729255227	6.73874197636654	7.97553725694213	16.9956358957113	24.3285235346993
EHI_007930A	10.1994389442022	9.51739357078986	19.0286998962926	27.3872229757827	75.719683557059	70.6562423100581	143.153555092892	204.25398018851	74.1261617400319	69.5011103819243	136.644912601519	205.686608066094
EHI_008470A	17.4626757681038	22.9353582771493	32.8505416120076	49.9154225203781	129.641276393146	170.269960976697	247.135739389221	372.269350988736	126.912973888237	167.486282395785	235.899426232473	374.88043083014
EHI_010020A	21.6351735180047	21.0630841320759	57.7487907300422	186.115321727899	160.61751057558	156.370372325538	434.446112470966	1388.04855353912	157.237312781886	153.813932812455	414.693515855356	1397.78426126636
EHI_010030A	19.1625822588042	21.0630841320759	66.647784711393	113.377213394369	142.261223652656	156.370372325538	501.393546196	845.567552393294	139.267334178242	153.813932812455	478.597106823231	851.498323714476
EHI_012420A	5.09971947210111	5.14875389895189	10.6977268073685	11.4849644737153	37.8598417785295	38.2238687906872	80.479361818392	85.6548949177622	37.063080870016	37.5989613541558	76.8202742486151	86.2556743502976
EHI_012570A	10.1994389442022	8.73727934367593	18.460679003866	27.0927367072259	75.719683557059	64.8647470387419	138.880314642358	202.057700831644	74.1261617400319	63.804298055537	132.565959986548	203.474924108394
EHI_013340A	6.18147814800135	5.14875389895189	12.8751402283373	15.6077722335106	45.8907173073085	38.2238687906872	96.8601168787727	116.402805913882	44.9249465091103	37.5989613541558	92.4562592726696	117.219249758097
EHI_014400A	43.5794209434095	43.9984424092252	80.469626427108	96.5914960866313	323.529557016525	326.640333302236	605.375730492329	720.379629051949	316.720872889227	321.30021520824	577.851620454185	725.43233812558
EHI_015310A	495.445473562308	782.298546949842	1206.66571581167	1699.03852643847	3678.14099218077	5807.71145807593	9077.78713041792	12671.4337494366	3600.73446270519	5712.76340090112	8665.05500506946	12760.3105939498
EHI_015440A	19.9352670273043	24.6516095768	37.9627296438474	59.6334693827526	147.99756331607	183.011250573593	285.594903444028	444.746569765304	144.882952491881	180.019269513837	272.60999976721	447.866001434238
EHI_017030A	4.63610861100101	7.64511942571644	13.4431611207639	22.9699289474306	34.4180379804814	56.7566536588991	101.133357329307	171.309789835524	33.6937098818327	55.8287607985949	96.5352118876403	172.511348700595
EHI_017450A	4.32703470360094	3.90057113556961	1.23071193359106	1.17794507422721	32.1235021151159	28.9574763565812	9.25868764282386	8.78511742746279	31.4474625563772	28.4840616319362	8.83773066576988	8.84673583079976
EHI_017660A	5.56333033320121	17.3185358419291	27.7383535801678	66.5538966938374	41.3016455765776	128.571195023221	208.676575334415	496.359134651648	40.4324518581992	126.469233645797	199.188852697737	499.840574440186
EHI_017750A	36.4707210732079	41.5020768824607	89.9366413008855	129.573958164993	270.75523211312	308.107548434024	676.596404667897	966.362917020907	265.057184403751	303.070415763801	645.83416403703	973.140941387973
EHI_019860A	1.23629562960027	1.56022845422785	3.88147609824874	3.97556462551684	9.17814346146169	11.5829905426325	29.2004764119829	29.6497713176869	8.98498930182205	11.3936246527745	27.8728428689666	29.8577334289492
EHI_020080A	46.2065491563101	52.4236760620556	101.581069595632	123.831475928136	343.033111872131	389.188482232451	764.197833903846	923.535469562026	335.813975155599	382.825788333222	729.45269264393	930.013104212824
EHI_020990A	0.309073907400067	0.780114227113923	1.60939252854216	4.56453716263044	2.29453586536542	5.79149527131624	12.1075146098466	34.0423300314183	2.24624732545551	5.69681232638724	11.5570324090837	34.281101344349
