edgeR	NOISeq	DESeq2
EHI_000130A	0.00989293367455002	0.0323764941374786	0.0085322610069252
EHI_000690A	0.0570070588198194	0.0223050682545316	0.45527377504194
EHI_001940A	0.0300588662056692	0.0179487640836308	0.0213453139826869
EHI_004400A	0.0914019640946402	0.0478137904150742	0.148541116034436
EHI_005010A	0.0352872752501346	0.0429862405990413	0.0759012137911732
EHI_005020A	0.0446151699471501	0.0184039160810096	0.0313425732648597
EHI_005070A	0.0681580213283181	0.0474101680839041	0.150010412913504
EHI_005100A	0.0602629872404586	0.0486687317700781	0.195091838873847
EHI_006170A	0.140333743098533	0.0467592102194802	0.145446513087338
EHI_006850A	0.0568001664051055	0.0400863055324416	0.0808572307145272
EHI_007930A	0.0270925602203436	0.0401773320040899	0.0661763704577097
EHI_008470A	0.101117757997923	0.0499171053266547	0.123787727487689
EHI_010020A	0.00394421739277064	0.0034471592953087	0.00056024008046734
EHI_010030A	7.85107284327094e-06	0.00181810779893354	1.73499249408733e-05
EHI_012420A	0.0546734866981136	0.0393713414282606	0.197751322771624
EHI_012570A	0.027748364982047	0.0396392200941922	0.0656809590354086
EHI_013340A	0.0134816474517794	0.0427161683539332	0.0759012137911732
EHI_014400A	0.0273426648744909	0.0525724116934356	0.0253879124047876
EHI_015310A	0.0436681106217697	2.88657986402541e-15	0.0298595713318189
EHI_015440A	0.0602629872404586	0.0433219912519824	0.0728712688292582
EHI_017030A	0.0300588662056692	0.0396981440253611	0.0597949383075281
EHI_017660A	0.0707777505606842	0.0396039533927433	0.0298595713318189
EHI_017750A	0.00157470579353239	0.0129226521117425	0.00164780061433069
EHI_020080A	0.00731239065594215	0.0119324701797787	0.00672709081565343
EHI_022010A	0.0416726451472049	0	0.0220507125436283
EHI_023000A	0.0885917747402444	0.0494346626527563	0.119455286351274
EHI_023400A	0.0859239998915292	0.00214080433750841	0.0316537948086834
EHI_025230A	0.261566284548132	0.0320148290723693	0.195084131757184
EHI_027520A	0.0334977413469028	0.049516639251782	0.124641341904742
EHI_027610A	0.0352872752501346	0.0178083088632459	0.0253879124047876
EHI_028990A	0.00935351764252682	0.0349250953608051	0.00540357950799755
EHI_030070A	0.216214642272097	0.0124097744013031	0.153791765483185
EHI_030170A	0.058386143808384	0.0484705575124407	0.111722640551444
EHI_031240A	0.0543242561630745	0.0444726247749363	0.0754336191837315
EHI_032780A	0.082362745022264	0.0469417919013151	0.138093051819834
EHI_035060A	0.459389084536336	0.039958209989752	0.772559485387848
EHI_035510A	0.00544254017589598	0.0331567991059956	0.0447308056364274
EHI_035670A	4.68943725819842e-06	0.0017765073072592	2.53072193903785e-05
EHI_039020A	0.22806798787123	0.0327613335976294	0.429995135764427
EHI_044820A	0.0336437393164302	0.0428501070732514	0.0536258664769144
EHI_045280A	0.076648890804634	0.0467747682668676	0.263238091526096
EHI_048140A	0.0304962349223502	0.0145230518104152	0.00672709081565343
EHI_048300A	0.0117501112278454	0.0358872384890598	0.0496278272573301
EHI_049000A	0.129802665373037	0.000820604577290607	0.0642318319589235
EHI_049660A	0.0270925602203436	0.0390738344824061	0.073388963902649
EHI_051690A	0.0026254304070079	0.0324107833230137	0.0195488102163293
EHI_054940A	0.00544254017589598	0.0649536772361007	0.0754336191837315
EHI_055430A	0.0336437393164302	0.0463810513044138	0.0888070269082194
EHI_056380A	0.236450111895436	0.0402833231709004	0.181996589822409
EHI_056690A	0.0664911272288882	0.0467785525557035	0.0975848239629099
EHI_057550A	0.00257238882688674	0.0256706679808233	0.00154956198266971
EHI_058090A	0.0188771596056708	0.0154035592858499	0.0127632126596072
EHI_058320A	0.0244829079911129	0.0422307162123327	0.0550665807182872
EHI_062500A	0.00124404910225732	0.033843129591507	0.0141175036189798
EHI_064640A	0.0385708868840929	0.0415502864441019	0.111722640551444
EHI_066770A	0.132604869303934	0.0315216583332797	0.096730126756374
EHI_068170A	0.226052049834722	0.0402532426440225	0.181996589822409
EHI_068610A	0.0260880419896746	0.10110536230474	0.096730126756374
EHI_069950A	0.0543242561630745	0.046947966842326	0.195084131757184
EHI_073180A	0.386791839608107	0.047097241015123	0.249033195941595
EHI_075530A	0.0161732883448967	0.0415463015823104	0.10610034151389
EHI_076020A	0.0681580213283181	0.0356474451349837	0.0630682962092136
EHI_077770A	0.008381987023061	0.0318281747628497	0.0253879124047876
EHI_083100A	0.00544254017589598	0.0344758457202753	0.0085322610069252
EHI_083140A	0.008381987023061	0.0480972474972148	0.138056507630076
EHI_083270A	0.117693869683244	2.88657986402541e-15	0.0536258664769144
EHI_083410A	0.117693869683244	2.88657986402541e-15	0.0536258664769144
EHI_086080A	0.0726350568737163	0.0313326613491066	0.0521636581819202
EHI_087570A	0.206350555533062	0.018633237136927	0.134119130799733
EHI_090020A	0.0664911272288882	0.0132288112280647	0.0256045811166386
EHI_092110A	0.008381987023061	0.0387764620376477	0.0161317454476103
EHI_092170A	0.000394822470041832	0.0182566034449326	0.00819531293891292
EHI_092470A	0.10964063893066	5.49888304198776e-05	0.0774932120871861
EHI_092930A	0.0270925602203436	0.0405950759791124	0.0197359441011973
EHI_095830A	0.0213152945214898	0.0369137529180615	0.0206216494842514
EHI_096340A	0.0543242561630745	0.0103761199181007	0.0350942877113186
EHI_096360A	0.142986988513821	0.0498922743843843	0.148851101529786
EHI_096790A	0.207628666990961	0.0441561699447514	0.181996589822409
EHI_097930A	0.0383244798958595	0.0474446111765636	0.101916077133864
EHI_098470A	4.97480089991106e-07	1.11022302462516e-16	0.00540357950799755
EHI_098800A	0.0310941238092634	0.0267550840249516	0.0350942877113186
EHI_100490A	0.0502405147674163	0.0495102051899998	0.239448880256765
EHI_100810A	0.0602629872404586	0.0353354506073078	0.0313425732648597
EHI_103310A	0.0416726451472049	0.0159714790381925	0.0206216494842514
EHI_103510A	0.00544254017589598	0.0166260314602246	0.00131552618423073
EHI_104360A	0.0280055032567651	0.0525393540348238	0.0195978320104576
EHI_105140A	0.0304962349223502	1.49725865039585e-08	0.0195978320104576
EHI_105280A	0.00666831800345103	0.0316813282972889	0.0522316548940604
EHI_107170A	0.155074064108857	0.0187648595907496	0.0620563673634237
EHI_110570A	0.0134816474517794	0.0385386290293662	0.0197359441011973
EHI_111760A	0.0465831304581083	5.88418203051333e-15	0.0313425732648597
EHI_112800A	0.0152453964938479	0.0377771038446724	0.0350942877113186
EHI_114920A	0.0647331562478612	0.0130722484560497	0.249033195941595
EHI_115360A	0.011959898692112	0.0418581008060049	0.0590742023431967
EHI_117270A	0.0932000962110045	0.0268956325387848	0.295097964156104
EHI_117850A	0.0602629872404586	0.0167619613193445	0.0253879124047876
EHI_118270A	0.0195088466287941	0.00513507992958118	0.152204814968297
EHI_118670A	0.0117085935790764	0.0316266752128649	0.0206311869664486
EHI_118750A	0.159600764366777	0.0179854762761062	0.0832321446027236
EHI_119540A	0.00544254017589598	2.27321659940216e-07	0.00283474183994395
