edgeR	NOISeq	DESeq2
EHI_000130A	-1.95029798504781	1.94576257414925	-1.97693572050539
EHI_000690A	-4.21194536813801	4.20312865473806	-4.24806760413409
EHI_001940A	-1.26707593341443	1.25982988027946	-1.28465778234523
EHI_004400A	-1.03184834111178	1.03058466209056	-1.05157412363673
EHI_004430A	-8.95523812708286	10.0449203755847	-8.18262003727146
EHI_004560A	-2.82127534551331	2.90642650526819	-2.93541448064531
EHI_005010A	-1.23698160965743	1.23623638828116	-1.25704993891123
EHI_005020A	-1.18599978194199	1.17881571063764	-1.2048933204702
EHI_005030A	-2.12238080681778	2.17169610739211	-2.19571649884862
EHI_005070A	-1.06352520302182	1.06429005090049	-1.08281742703202
EHI_005100A	-1.12812039851931	1.13196772212819	-1.14802392848472
EHI_006170A	-1.20573458426147	1.20041458542892	-1.22915804589565
EHI_006850A	-1.90851011805754	1.91749499904628	-1.94333079974137
EHI_006960A	-1.43454670081419	1.46646216591364	-1.4818156298493
EHI_007930A	-1.22820037010244	1.22936790962065	-1.24829070959101
EHI_008470A	-1.0310828099451	1.02693915726537	-1.04979439548189
EHI_010020A	-2.51179796760294	2.50318879884654	-2.54132380602288
EHI_010030A	-2.15938654742087	2.15433734346355	-2.18030147087099
EHI_012420A	-1.10901166900138	1.10974158911172	-1.12487276282336
EHI_012570A	-1.25915448424546	1.26083553764675	-1.27974867779479
EHI_013340A	-1.32207470596592	1.32575974163352	-1.34121368778137
EHI_014400A	-1.01434196729778	1.01058771792206	-1.02919405540023
EHI_015310A	-1.1852028765853	1.17710495320415	-1.20184180846544
EHI_015440A	-1.12679565324813	1.12246811296287	-1.14604629441268
EHI_017030A	-1.5596160178475	1.55839474685962	-1.58247672005906
EHI_017450A	1.75338706611407	-1.77521876291079	1.76097100027605
EHI_017660A	-2.03989156368053	2.02874048716489	-2.0645442018515
EHI_017750A	-1.49163531846478	1.48645975552761	-1.5093915479226
EHI_019860A	-1.47820586227697	1.48530728095731	-1.50114910499971
EHI_020080A	-1.19141874983356	1.18678020490795	-1.20636732656102
EHI_020990A	-2.44313240310421	2.48863167976008	-2.5155063273441
EHI_022010A	-1.14421833588283	1.13901795091357	-1.15323988572645
EHI_023000A	-1.38878295928513	1.38469006598573	-1.4080324512954
EHI_023400A	1.46708661461058	-1.46521168931373	1.46849915942157
EHI_025230A	-1.01419920054004	1.00518066784144	-1.03163876805151
EHI_027520A	-1.3229774870129	1.324265129439	-1.34239148648233
EHI_027610A	-1.28286184977855	1.27613808633496	-1.29530698484615
EHI_028920A	2.47546232861165	-2.69182391379707	2.62111571974959
EHI_028930A	1.56532516436901	-1.57991829675026	1.56590690311716
EHI_028990A	-1.99901615296531	1.99036752348822	-2.02299812832728
EHI_029380A	6.41858699356482	-7.86260965242253	5.99835039073576
EHI_030070A	-1.01661305710502	1.00763925185975	-1.03184114984314
EHI_030170A	-1.23956008621244	1.24191426424832	-1.26251622246928
EHI_031240A	-1.35072812512338	1.34870456266163	-1.37361119069977
EHI_032670A	-2.5347070165207	2.57335158764199	-2.59551702893099
EHI_032780A	-1.65244703247003	1.66187312079558	-1.68536180749283
EHI_033240A	-6.81475411085998	7.92068886310994	-6.06382192214592
EHI_033850A	-1.28024901106205	1.28469687313242	-1.30059809599727
EHI_035060A	-2.53339387390329	2.52536657204205	-2.54299797552289
EHI_035510A	-1.36990748673934	1.36908760037584	-1.38556792546627
EHI_035670A	-2.56412842008256	2.56076132746853	-2.58621962006624
EHI_039020A	-2.96096452476045	2.94091435782717	-2.99714999190763
EHI_041880A	-7.16819615196799	8.24479760947042	-6.38059960460528
EHI_044220A	2.49522051869377	-2.57886384359136	2.5416994887785
EHI_044820A	-1.37538123361432	1.37214773615324	-1.39671183574169
EHI_045280A	-1.14784440780741	1.15583164372041	-1.17097956292
EHI_047920A	-2.89210770847716	2.91777850076295	-2.96115750602142
EHI_048140A	-2.18943594115006	2.17634575502187	-2.21442641995258
EHI_048300A	-1.89656020283776	1.90424173911746	-1.92687631493506
EHI_048650A	4.09287007727371	-4.60041552221797	4.43691215730288
EHI_049000A	-1.42854203565873	1.41828971701708	-1.44376583790359
EHI_049660A	-1.3779658797323	1.38174207856644	-1.40139183979297
EHI_050000A	-3.46449004743694	3.47172184986567	-3.51761904097969
EHI_050640A	2.81301612323717	-2.73106278579071	2.76550903253164
EHI_051690A	-2.63609612735597	2.64222135555872	-2.66846674115512
EHI_052120A	-7.33699232071335	8.39629166029329	-6.52965075156234
EHI_052720A	-2.02616341976776	2.04507807176825	-2.06539102060047
EHI_054940A	1.47190308650443	-1.4727498303229	1.46132029607306
