edgeR	NOISeq	DESeq2
EHI_000130A	1	1	1
EHI_001940A	1	1	1
EHI_005020A	1	1	1
EHI_010020A	1	1	1
EHI_010030A	1	1	1
EHI_015310A	1	1	1
EHI_017750A	1	1	1
EHI_020080A	1	1	1
EHI_022010A	1	1	1
EHI_027610A	1	1	1
EHI_028990A	1	1	1
EHI_035510A	1	1	1
EHI_035670A	1	1	1
EHI_048140A	1	1	1
EHI_048300A	1	1	1
EHI_051690A	1	1	1
EHI_057550A	1	1	1
EHI_058090A	1	1	1
EHI_062500A	1	1	1
EHI_077770A	1	1	1
EHI_083100A	1	1	1
EHI_092110A	1	1	1
EHI_092170A	1	1	1
EHI_092930A	1	1	1
EHI_095830A	1	1	1
EHI_098470A	1	1	1
EHI_098800A	1	1	1
EHI_103310A	1	1	1
EHI_103510A	1	1	1
EHI_105140A	1	1	1
EHI_110570A	1	1	1
EHI_111760A	1	1	1
EHI_112800A	1	1	1
EHI_118670A	1	1	1
EHI_119540A	1	1	1
EHI_126210A	1	1	1
EHI_134810A	1	1	1
EHI_134840A	1	1	1
EHI_135060A	1	1	1
EHI_136740A	1	1	1
EHI_141800A	1	1	1
EHI_144610A	1	1	1
EHI_147570A	1	1	1
EHI_148190A	1	1	1
EHI_152800A	1	1	1
EHI_155680A	1	1	1
EHI_155900A	1	1	1
EHI_156660A	1	1	1
EHI_157010A	1	1	1
EHI_161940A	1	1	1
EHI_163670A	1	1	1
EHI_165810.mRNA	1	1	1
EHI_167270A	1	1	1
EHI_170060A	1	1	1
EHI_172280A	1	1	1
EHI_176820A	1	1	1
EHI_177520A	1	1	1
EHI_179390A	1	1	1
EHI_182550A	1	1	1
EHI_187780A	1	1	1
EHI_188170A	1	1	1
EHI_188880A	1	1	1
EHI_188960A	1	1	1
EHI_194430A	1	1	1
EHI_194730A	1	1	1
EHI_195110A	1	1	1
EHI_201940A	1	1	1
EHI_004430A	1	1	0
EHI_004560A	1	1	0
EHI_005010A	1	1	0
EHI_007930A	1	1	0
EHI_012570A	1	1	0
EHI_013340A	1	1	0
EHI_014400A	1	0	1
EHI_017030A	1	1	0
EHI_017450A	1	1	0
EHI_017660A	0	1	1
EHI_019860A	1	1	0
EHI_023400A	0	1	1
EHI_027520A	1	1	0
EHI_029380A	1	1	0
EHI_032670A	1	1	0
EHI_033240A	1	1	0
EHI_041880A	1	1	0
EHI_044220A	1	1	0
EHI_044820A	1	1	0
EHI_047920A	1	1	0
EHI_048650A	1	1	0
EHI_049660A	1	1	0
EHI_050000A	1	1	0
EHI_050640A	1	1	0
EHI_052120A	1	1	0
EHI_052720A	1	1	0
EHI_055430A	1	1	0
EHI_058320A	1	1	0
EHI_064640A	1	1	0
EHI_073410A	1	1	0
EHI_073540A	1	1	0
EHI_075530A	1	1	0
EHI_083140A	1	1	0
EHI_089770A	1	1	0
EHI_090020A	0	1	1
EHI_096340A	0	1	1
EHI_097930A	1	1	0
EHI_100810A	0	1	1
EHI_103400A	1	1	0
EHI_104360A	1	0	1
EHI_105280A	1	1	0
EHI_115360A	1	1	0
EHI_116040A	1	1	0
EHI_117850A	0	1	1
EHI_118270A	1	1	0
EHI_123020A	1	1	0
EHI_127360A	1	1	0
EHI_138470A	0	1	1
EHI_140640A	1	1	0
EHI_148400A	1	1	0
EHI_148470A	0	1	1
EHI_153250A	1	1	0
EHI_155380A	1	1	0
EHI_164840A	1	1	0
EHI_169350A	1	1	0
EHI_170120A	1	1	0
EHI_174880A	1	1	0
EHI_174910A	0	1	1
EHI_178340A	1	1	0
EHI_179990A	1	1	0
EHI_180000A	1	1	0
EHI_186950A	1	1	0
EHI_187800A	1	1	0
EHI_192030A	1	1	0
EHI_199150A	1	1	0
EHI_201200A	1	1	0
EHI_000690A	0	1	0
EHI_004400A	0	1	0
EHI_005030A	0	1	0
EHI_005070A	0	1	0
EHI_005100A	0	1	0
EHI_006170A	0	1	0
EHI_006850A	0	1	0
EHI_006960A	0	1	0
EHI_008470A	0	1	0
EHI_012420A	0	1	0
EHI_015440A	0	1	0
EHI_020990A	0	1	0
EHI_023000A	0	1	0
EHI_025230A	0	1	0
EHI_028920A	1	0	0
EHI_028930A	1	0	0
EHI_030070A	0	1	0
EHI_030170A	0	1	0
EHI_031240A	0	1	0
EHI_032780A	0	1	0
EHI_033850A	0	1	0
EHI_035060A	0	1	0
EHI_039020A	0	1	0
EHI_045280A	0	1	0
EHI_049000A	0	1	0
EHI_054940A	1	0	0
EHI_056380A	0	1	0
EHI_056690A	0	1	0
EHI_066770A	0	1	0
EHI_068170A	0	1	0
EHI_068430A	1	0	0
EHI_068610A	1	0	0
EHI_069950A	0	1	0
EHI_073180A	0	1	0
EHI_076020A	0	1	0
EHI_079260A	0	1	0
EHI_080590A	0	1	0
EHI_083270A	0	1	0
EHI_083410A	0	1	0
EHI_086080A	0	1	0
EHI_087570A	0	1	0
EHI_087650A	0	1	0
EHI_092470A	0	1	0
EHI_094810A	0	1	0
EHI_096200A	0	1	0
EHI_096360A	0	1	0
EHI_096790A	0	1	0
EHI_097650A	0	1	0
EHI_100350A	0	1	0
EHI_100490A	0	1	0
EHI_107170A	0	1	0
EHI_109870A	0	1	0
EHI_114920A	0	1	0
EHI_117270A	0	1	0
EHI_118750A	0	1	0
EHI_120470A	0	1	0
EHI_126130A	0	1	0
EHI_126530A	1	0	0
EHI_126870A	0	1	0
EHI_134490A	0	1	0
EHI_134600A	0	1	0
EHI_139050A	0	1	0
EHI_139060A	0	1	0
EHI_141810A	0	1	0
EHI_143440A	0	1	0
EHI_151350A	1	0	0
EHI_151360A	0	1	0
EHI_152290A	1	0	0
EHI_156310A	0	1	0
EHI_156380A	0	1	0
EHI_157360A	0	1	0
EHI_158570A	0	1	0
EHI_160740A	0	1	0
EHI_162230A	0	1	0
EHI_166370A	1	0	0
EHI_167310A	0	1	0
EHI_172960A	0	1	0
EHI_174180A	0	1	0
EHI_179850A	0	1	0
EHI_180390A	0	1	0
EHI_181610A	1	0	0
EHI_182950A	0	1	0
EHI_183560A	0	1	0
EHI_186720A	0	1	0
EHI_193350A	0	1	0
EHI_193940A	0	1	0
EHI_196370A	0	1	0
EHI_197480A	0	1	0
EHI_198930A	0	1	0
EHI_202460A	0	1	0
