edgeR	NOISeq	DESeq2
EHI_013100A	0.0021152049802029	1.16573417585641e-14	0.587777175865998
EHI_018630A	0.0341872536887557	5.88418203051333e-15	0.99974516567436
EHI_022240A	0.0110332901525757	0.590289012691711	0.691384094900266
EHI_055340A	0.0454391409162638	1.59872115546023e-14	0.99974516567436
EHI_088600A	3.53187932958719e-10	0	2.32323552468117e-06
EHI_112990A	1	8.26668689435373e-06	0.99974516567436
EHI_126240A	1	4.25100848167048e-06	0.99974516567436
EHI_131470A	1	0.0365085979318566	0.99974516567436
EHI_156560A	0.0411580054545974	0.00250959643357729	0.443631633702103
EHI_159450A	0.0173504174557225	0.46261047998724	0.99974516567436
EHI_166800A	0.0411580054545974	0.652164674207806	0.674484106262368
EHI_195110A	8.21700735808628e-05	8.88178419700125e-16	0.585753909397183
