logFC	logCPM	PValue	FDR	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_195110A	12.8975685050093	5.98390561049094	1.00819075216562e-35	4.79293883579536e-32	958	545	0	0	176.005500866845	77.8620308186265	0	0	100	DOWN_pEhEx_UP_CDC5
EHI_094020A	-11.2938903355921	4.4263857904135	5.26681824541428e-27	1.25192269693497e-23	0	0	594	192	0	0	55.7783394836344	27.510317898485	100	UP_pEhEx_DOWN_CDC5
EHI_035060A	-10.1426533676705	3.31300635973914	1.01674333583298e-25	1.61119927285e-22	0	0	228	112	0	0	21.4098676805869	16.0476854407829	100	UP_pEhEx_DOWN_CDC5
EHI_000690A	-10.8134803548161	3.94577115106115	3.74882697577482e-20	4.45548086070838e-17	0	0	184	298	0	0	17.2781388299474	42.6983059049403	100	UP_pEhEx_DOWN_CDC5
EHI_114920A	-4.08012115781511	7.19607581701011	1.77044780901993e-18	1.68334177681615e-15	92	110	1963	2567	16.9024071813672	15.7152722753191	184.33144849558	367.807218986516	100	UP_pEhEx_DOWN_CDC5
EHI_083270A	-2.78953544948007	8.20314835375631	7.47827156890927e-17	5.07881471979924e-14	353	586	5365	3660	64.8538014676372	83.7195413939727	503.789210992758	524.415434939871	100	UP_pEhEx_DOWN_CDC5
EHI_083410A	-2.78953544948007	8.20314835375631	7.47827156890927e-17	5.07881471979924e-14	353	586	5365	3660	64.8538014676372	83.7195413939727	503.789210992758	524.415434939871	100	UP_pEhEx_DOWN_CDC5
EHI_048300A	-6.71766850966476	2.49049052285215	1.36745663054083e-14	8.12611102698886e-12	1	0	78	93	0.183721817188774	0	7.3244284170429	13.3253102320787	100	UP_pEhEx_DOWN_CDC5
EHI_193940A	-5.99703335086688	3.11108908183443	4.11164865093876e-14	2.17186418739587e-11	0	3	108	156	0	0.42859833478143	10.1415162697517	22.3521332925191	100	UP_pEhEx_DOWN_CDC5
EHI_155900A	-9.79337253374839	2.96031660598787	1.2502788887352e-13	5.94382583704716e-11	0	0	82	153	0	0	7.70004013073741	21.9222845753553	100	UP_pEhEx_DOWN_CDC5
EHI_049000A	-2.48800546615161	8.76631486121623	1.50320035138262e-13	6.49655860952087e-11	660	993	6747	5885	121.256399344591	141.866048812653	633.563058074211	843.21990016971	100	UP_pEhEx_DOWN_CDC5
EHI_089770A	-8.20627021556994	1.52666920731138	2.12091753389579e-13	8.40236829678381e-11	0	0	51	35	0	0	4.78904934960497	5.01490170024467	100	UP_pEhEx_DOWN_CDC5
EHI_103900A	2.53897811648714	4.59960714543276	4.27258623656474e-13	1.56245192066375e-10	233	279	79	47	42.8071834049843	39.859645134673	7.41833134546653	6.73429656889998	100	DOWN_pEhEx_UP_CDC5
EHI_188960A	-2.45221379921198	8.97768251497288	7.99281541726384e-13	2.71413174954802e-10	798	1152	7493	6979	146.610010116642	164.581760556069	703.614642678236	999.971399028786	100	UP_pEhEx_DOWN_CDC5
EHI_155680A	-2.98113270761418	5.32559379036891	1.23762270081549e-12	3.92243887978456e-10	47	64	550	623	8.63492540787237	9.14343114200385	51.6466106329948	89.265250264355	100	UP_pEhEx_DOWN_CDC5
EHI_035220A	-3.3920921360157	3.1207287252463	4.62537238713057e-12	1.37431377052617e-09	4	14	166	101	0.734887268755096	2.00012556231334	15.5878861183221	14.4715734778489	100	UP_pEhEx_DOWN_CDC5
EHI_098470A	-15.0861663227157	8.17721139620098	1.09538306828587e-11	3.06320653331236e-09	0	0	486	7755	0	0	45.6368232138827	1111.1589338685	100	UP_pEhEx_DOWN_CDC5
EHI_099860A	-4.12061139951923	3.23708009832358	1.57234730680406e-11	4.15274394252584e-09	5	7	117	162	0.918609085943869	1.00006278115667	10.9866426255643	23.2118307268467	100	UP_pEhEx_DOWN_CDC5
EHI_134810A	-2.16740606345043	6.22413943015136	4.89687733939579e-11	1.22525025639408e-08	149	187	1181	923	27.3745507611273	26.7159628680425	110.899358468303	132.250121980738	100	UP_pEhEx_DOWN_CDC5
EHI_090020A	-2.67477272268105	10.3318440640053	8.02017163546235e-11	1.9063947977494e-08	1723	2668	16174	20499	316.552691016257	381.166785732285	1518.78596432374	2937.15628438044	100	UP_pEhEx_DOWN_CDC5
EHI_117850A	-2.51189812418259	9.01948203542889	1.40070747983949e-10	3.17093493293188e-08	716	1244	7024	7714	131.544821107162	177.7254428227	659.574169247555	1105.28433473392	100	UP_pEhEx_DOWN_CDC5
EHI_126870A	-2.15005798878338	12.1314962669731	1.75857941679827e-10	3.80013024884499e-08	7469	13491	68859	57090	1372.21825258295	1927.40671151209	6466.06174832253	8180.02108762766	100	UP_pEhEx_DOWN_CDC5
EHI_095830A	-2.45097737708711	4.58289662046783	2.32065318250077e-10	4.41567944317301e-08	31	61	384	304	5.69537633285199	8.71483280722242	36.0587245146727	43.558003339268	100	UP_pEhEx_DOWN_CDC5
EHI_172280A	-4.03078357466615	3.62773646988204	2.19514431177768e-10	4.41567944317301e-08	7	10	135	227	1.28605272032142	1.4286611159381	12.6768953371896	32.5252195987297	100	UP_pEhEx_DOWN_CDC5
EHI_197480A	-2.31513387463219	10.6823624244109	2.32208637104176e-10	4.41567944317301e-08	2603	4348	22670	23333	478.227890142378	621.181853209886	2128.77938736362	3343.22003919454	100	UP_pEhEx_DOWN_CDC5
EHI_027610A	-2.04121607211158	6.11459982065758	2.60016623195926e-10	4.75430394874398e-08	153	180	1143	797	28.1094380298824	25.7159000868858	107.331047188206	114.196475859857	100	UP_pEhEx_DOWN_CDC5
EHI_170060A	-2.09373820189191	5.76805711251011	4.44692950093243e-10	7.82988994349362e-08	116	138	839	673	21.3117307938978	19.7155233999458	78.784556947423	96.4293955504189	100	UP_pEhEx_DOWN_CDC5
EHI_186720A	-2.06566111522486	10.1590986097718	4.90318661394648e-10	8.32491041525056e-08	2057	3524	17410	14346	377.915777957308	503.460177256587	1634.84998385534	2055.53656547743	100	UP_pEhEx_DOWN_CDC5
EHI_140640A	-8.26340819888991	1.55055138728207	5.59315897503471e-10	9.16892336803967e-08	0	0	32	51	0	0	3.00489370955606	7.30742819178508	100	UP_pEhEx_DOWN_CDC5
EHI_118220A	8.8952537379688	2.02787749299843	1.08725982338446e-09	1.72294440012324e-07	17	88	0	0	3.12327089220916	12.5722178202553	0	0	100	DOWN_pEhEx_UP_CDC5
EHI_022010A	-1.89995269399659	8.35807890831928	1.16258863381567e-09	1.72717073911241e-07	743	983	5923	3332	136.505310171259	140.437387696715	556.187045053142	477.418641863292	100	UP_pEhEx_DOWN_CDC5
EHI_083100A	-4.51626694923206	2.67277057995013	1.14355886919688e-09	1.72717073911241e-07	3	3	70	115	0.551165451566322	0.42859833478143	6.57320498965388	16.4775341579468	100	UP_pEhEx_DOWN_CDC5
EHI_073180A	-2.04436937465674	5.09627889511288	1.40188292675083e-09	2.01956104053741e-07	75	88	540	405	13.779136289158	12.5722178202553	50.7075813487585	58.0295768171168	100	UP_pEhEx_DOWN_CDC5
EHI_038300A	-2.66875033471912	2.87327990090019	3.07583653612162e-09	4.30074320374182e-07	11	12	138	75	2.02093998907651	1.71439333912572	12.9586041224605	10.7462179290957	100	UP_pEhEx_DOWN_CDC5
EHI_152800A	-3.88180569916365	6.20157196895317	5.5141617868443e-09	7.4898071813308e-07	72	38	755	1419	13.2279708375917	5.42891224056478	70.8967109598383	203.318443218491	100	UP_pEhEx_DOWN_CDC5
