logFC	logCPM	PValue	FDR	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_000140A	-1.42462252570998	4.90689365024606	2.02702198525229e-05	0.000719138993872341	78	124	476	290	14.3303017407244	17.7153978376325	44.6977939296464	41.5520426591701	99.93	UP_pEhEx_DOWN_CDC5
EHI_000690A	-10.8134803548161	3.94577115106115	3.74882697577482e-20	4.45548086070838e-17	0	0	184	298	0	0	17.2781388299474	42.6983059049403	100	UP_pEhEx_DOWN_CDC5
EHI_001940A	-1.7509008381068	6.62341179929328	6.55388648239539e-06	0.000268596347735411	298	247	1316	1251	54.7491015222546	35.2879295636711	123.576253805493	179.246915057316	99.97	UP_pEhEx_DOWN_CDC5
EHI_005020A	-1.46880710531254	7.0109109926941	4.26747782573428e-05	0.00132598624729025	375	473	1570	1609	68.8956814457902	67.5756707838722	147.427597625094	230.542195305533	99.87	UP_pEhEx_DOWN_CDC5
EHI_005070A	-1.56102339139589	3.72310358034985	5.09789769100798e-05	0.00150530469708397	33	48	174	154	6.06281996722954	6.85757335650289	16.3391095457111	22.0655674810765	99.85	UP_pEhEx_DOWN_CDC5
EHI_007510A	1.29754215827861	12.2750293820845	0.000133510804302412	0.00346178793605796	41255	45584	37214	15620	7579.44356812287	6512.40883089224	3494.50357835685	2238.07898736633	99.65	DOWN_pEhEx_UP_CDC5
EHI_007940A	-1.50465036430805	5.88661548773668	1.04220856457097e-05	0.000393226945711936	139	249	884	634	25.5373325892396	35.5736617868587	83.0101887264862	90.8413622272891	99.96	UP_pEhEx_DOWN_CDC5
EHI_010020A	-2.72778028862409	6.10689494908497	1.66308208853858e-06	8.88347443698023e-05	96	128	610	1264	17.6372944501223	18.2868622840077	57.2807863384124	181.109592831693	99.99	UP_pEhEx_DOWN_CDC5
EHI_010030A	-2.30412108082119	5.73999040197479	4.56005016897006e-05	0.0013896460579028	146	63	704	770	26.823385309561	9.00056503041004	66.1076616102334	110.327837405383	99.86	UP_pEhEx_DOWN_CDC5
EHI_013220A	-1.54085888645508	7.10124623920798	1.94597792877502e-05	0.000695577373939581	371	503	1690	1738	68.1607941770351	71.8616541316865	158.695949035929	249.025690143578	99.93	UP_pEhEx_DOWN_CDC5
EHI_013340A	-1.57857282202043	3.27759378231532	4.0599359799623e-05	0.00129536480864032	25	33	136	106	4.59304542971935	4.71458168259573	12.7707982656133	15.1879880064553	99.87	UP_pEhEx_DOWN_CDC5
EHI_015310A	-1.64672036507982	9.87726502897045	5.15394535904938e-07	3.10150078948364e-05	2271	3450	12746	11539	417.232246835705	492.888084998645	1196.88672568755	1653.34144911781	100	UP_pEhEx_DOWN_CDC5
EHI_015440A	-1.58569892428141	5.01081262497145	2.05546374492067e-05	0.00072382775135947	90	107	401	405	16.5349635469897	15.2866739405377	37.6550742978744	58.0295768171168	99.93	UP_pEhEx_DOWN_CDC5
EHI_017030A	-2.2309884599245	3.4834711937491	7.38959083693057e-07	4.2805878414858e-05	20	27	142	156	3.67443634377548	3.85738501303287	13.334215836155	22.3521332925191	100	UP_pEhEx_DOWN_CDC5
EHI_017660A	-2.87193007541186	4.73219720818458	2.45299570964007e-08	2.71198641944858e-06	30	49	293	452	5.51165451566322	7.0004394680967	27.5135580281227	64.7638733860168	100	UP_pEhEx_DOWN_CDC5
EHI_017750A	-2.03860025077748	6.0734931912577	2.48951341454656e-07	1.66692208066963e-05	176	141	950	880	32.3350398252242	20.1441217347272	89.2077820024456	126.088957034723	100	UP_pEhEx_DOWN_CDC5
EHI_020080A	-1.4139456304493	6.25677166701388	3.53651564484183e-05	0.00114653441625842	261	246	1073	841	47.95139428627	35.1450634520773	100.757842198552	120.500923711593	99.89	UP_pEhEx_DOWN_CDC5
EHI_022010A	-1.89995269399659	8.35807890831928	1.16258863381567e-09	1.72717073911241e-07	743	983	5923	3332	136.505310171259	140.437387696715	556.187045053142	477.418641863292	100	UP_pEhEx_DOWN_CDC5
EHI_023000A	-2.33693072721473	3.48538441276605	3.91798633852606e-08	3.72522141067058e-06	20	24	157	149	3.67443634377548	3.42878667825144	14.7427597625094	21.3491529524701	100	UP_pEhEx_DOWN_CDC5
EHI_023400A	2.20631086612168	8.30184487889549	5.250322631855e-06	0.00021998980511865	2623	3888	1723	438	481.902326486154	555.463441876734	161.794745673909	62.757912705919	99.98	DOWN_pEhEx_UP_CDC5
EHI_025360A	-1.23311721247011	5.24680044104067	0.000115330118675002	0.0030630133194467	126	152	545	379	23.1489489657855	21.7156489622591	51.1770959908767	54.3042212683637	99.69	UP_pEhEx_DOWN_CDC5
EHI_027610A	-2.04121607211158	6.11459982065758	2.60016623195926e-10	4.75430394874398e-08	153	180	1143	797	28.1094380298824	25.7159000868858	107.331047188206	114.196475859857	100	UP_pEhEx_DOWN_CDC5
EHI_028990A	-2.78996244705272	5.27622389965774	6.12170589421611e-09	8.08405272808427e-07	58	61	450	641	10.6558653969489	8.71483280722242	42.2563177906321	91.844342567338	100	UP_pEhEx_DOWN_CDC5
