logFC	logCPM	PValue	FDR	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_035060A	-10.2721329103091	3.27633778576467	6.54415151135379e-24	3.07117030427833e-20	0	0	228	112	0	0	21.4356263016379	16.0454185603981	100	UP_pEhEx_DOWN_EhMyb10
EHI_004430A	-9.05340158806055	2.10925117939802	6.14297245925241e-18	1.44144848756358e-14	0	0	79	61	0	0	7.42725648170787	8.73902260878827	100	UP_pEhEx_DOWN_EhMyb10
EHI_049990A	-9.11439830192789	2.16592593005342	9.22435608842083e-18	1.4429967707653e-14	0	0	79	66	0	0	7.42725648170787	9.45533593737747	100	UP_pEhEx_DOWN_EhMyb10
EHI_089770A	-8.33664652611553	1.44919940514605	2.98866854616016e-14	3.5064553717824e-11	0	0	51	35	0	0	4.794811146419	5.01419330012442	100	UP_pEhEx_DOWN_EhMyb10
EHI_155900A	-9.92440443382428	2.92774795207594	1.76774352854758e-13	1.65920407589476e-10	0	0	82	153	0	0	7.7093041962031	21.9191878548296	100	UP_pEhEx_DOWN_EhMyb10
EHI_098470A	-15.215653970642	8.17628574263952	7.16115716220699e-10	5.60121842703957e-07	0	0	486	7755	0	0	45.6917297482281	1111.00197264185	100	UP_pEhEx_DOWN_EhMyb10
EHI_155680A	-2.92944668294752	5.32515373995682	3.99875226633609e-09	2.68087776941647e-06	74	67	550	623	9.73752658207506	8.7225039880276	51.7087476574598	89.2526407422146	100	UP_pEhEx_DOWN_EhMyb10
EHI_123020A	7.75523224534059	0.882354728385372	4.96110041731401e-09	2.91030553230683e-06	18	32	0	0	2.36858754699123	4.16597205398333	0	0	100	DOWN_pEhEx_UP_EhMyb10
EHI_183200A	-7.95302018358758	1.09266496069573	7.63784357893444e-09	3.98271110177103e-06	0	0	26	36	0	0	2.44441352562537	5.15745596584226	100	UP_pEhEx_DOWN_EhMyb10
EHI_172280A	-3.55823836592775	3.63911534586936	5.30950343232442e-08	2.49174996078985e-05	17	12	135	227	2.23699934993616	1.56223952024375	12.6921471522856	32.5206251179498	100	UP_pEhEx_DOWN_EhMyb10
EHI_179390A	-2.75247435731108	4.44994404822573	7.76919684949662e-08	3.31462189224433e-05	52	33	300	329	6.84258624686355	4.29615868067031	28.2047714495235	47.1334170211695	100	UP_pEhEx_DOWN_EhMyb10
EHI_178640A	7.16147946128495	0.372525928838353	1.13975820370264e-07	4.45740437498041e-05	19	14	0	0	2.5001757440463	1.82261277361771	0	0	100	DOWN_pEhEx_UP_EhMyb10
EHI_035670A	-2.43260832345093	4.36596082762074	1.24844409859068e-07	4.50688319591237e-05	51	46	284	294	6.71099804980848	5.98858482760104	26.7005169722156	42.1192237210451	100	UP_pEhEx_DOWN_EhMyb10
EHI_006770A	7.84357452142505	0.959810093564099	2.21489200972668e-07	7.42463442974809e-05	39	14	0	0	5.13193968514766	1.82261277361771	0	0	99.99	DOWN_pEhEx_UP_EhMyb10
EHI_092930A	-2.24911698478059	5.66451615892017	4.67348402112163e-07	0.000134090042412882	112	156	814	630	14.7378780701677	20.3091137631687	76.5289465330405	90.2554794022395	99.99	UP_pEhEx_DOWN_EhMyb10
EHI_099860A	-2.88639686836276	3.30998927034111	4.76193654862222e-07	0.000134090042412882	17	18	117	162	2.23699934993616	2.34335928036562	10.9998608653142	23.2085518462902	99.99	UP_pEhEx_DOWN_EhMyb10
EHI_194430A	-2.99583568858303	2.88101730846869	4.85729963992966e-07	0.000134090042412882	14	10	92	117	1.84223475877096	1.30186626686979	8.64946324452055	16.7617318889873	99.99	UP_pEhEx_DOWN_EhMyb10
EHI_092170A	-2.3030530089085	3.65020528328253	7.36741118855247e-07	0.000192084781710426	40	23	230	134	5.26352788220273	2.99429241380052	21.6236581113014	19.1971972061906	99.98	UP_pEhEx_DOWN_EhMyb10
EHI_187780A	-2.72260642882732	2.9572249050021	7.78071181440319e-07	0.000192183581815759	14	16	99	118	1.84223475877096	2.08298602699167	9.30757457834277	16.9049945547052	99.98	UP_pEhEx_DOWN_EhMyb10
EHI_120950A	-2.83873231168615	1.57867171101139	1.32365976819309e-06	0.00031059676460651	4	6	43	39	0.526352788220273	0.781119760121874	4.04268390776504	5.58724396299578	99.97	UP_pEhEx_DOWN_EhMyb10
EHI_018630A	7.57014724213905	0.720676004054541	1.59339693028082e-06	0.000356086275895614	11	33	0	0	1.44747016760575	4.29615868067031	0	0	99.96	DOWN_pEhEx_UP_EhMyb10
EHI_062500A	-2.09839829269928	3.43896877595935	1.86870468044215e-06	0.000398628684787046	32	29	157	137	4.21082230576219	3.77541217392239	14.760497058584	19.6269852033441	99.96	UP_pEhEx_DOWN_EhMyb10
EHI_195110A	13.2875020027189	6.25116784071156	2.08047505517327e-06	0.000424507366692529	31	2303	0	0	4.07923410870712	299.819801260113	0	0	99.96	DOWN_pEhEx_UP_EhMyb10
EHI_156380A	-3.40835487826156	0.896827284611878	3.2448142851367e-06	0.000634496393339438	2	2	25	25	0.263176394110137	0.260373253373958	2.35039762079363	3.58156664294601	99.94	UP_pEhEx_DOWN_EhMyb10
EHI_083140A	-6.14284196236401	2.43438138000493	5.33782998748267e-06	0.000987166306758935	2	0	27	127	0.263176394110137	0	2.53842943045712	18.1943585461657	99.9	UP_pEhEx_DOWN_EhMyb10
EHI_143440A	-2.2425514202323	4.43965559244896	5.46906541140684e-06	0.000987166306758935	70	44	291	304	9.21117379385478	5.72821157422708	27.3586283060378	43.5518503782235	99.9	UP_pEhEx_DOWN_EhMyb10
EHI_103400A	3.27511464368341	1.84304398685796	8.38008037602925e-06	0.00145658211869279	26	68	7	4	3.42129312343178	8.85269061471458	0.658111333822216	0.573050662871362	99.85	DOWN_pEhEx_UP_EhMyb10
EHI_033240A	-6.90857987199921	0.213972420936866	9.50797301268191e-06	0.00159360419101844	0	0	12	18	0	0	1.12819085798094	2.57872798292113	99.84	UP_pEhEx_DOWN_EhMyb10
EHI_048140A	-2.81104278910345	6.9752495730674	1.05361777998285e-05	0.00170504422119294	288	190	1320	2204	37.8974007518597	24.735459070526	124.100994377904	315.75091524212	99.83	UP_pEhEx_DOWN_EhMyb10
EHI_017750A	-1.94225387574639	6.08940350064306	1.66385687338394e-05	0.00253440239269298	198	230	950	880	26.0544630169035	29.9429241380052	89.3151095901579	126.0711458317	99.75	UP_pEhEx_DOWN_EhMyb10
EHI_178340A	-3.322315372531	7.90860727346053	1.67412048100325e-05	0.00253440239269298	301	366	1876	4864	39.6080473135756	47.6483053674343	176.373837464354	696.829606051576	99.75	UP_pEhEx_DOWN_EhMyb10
EHI_112800A	-1.81095628474838	4.18110490513857	1.81062647685565e-05	0.00265539689246362	58	63	250	225	7.63211542919396	8.20175748127968	23.5039762079363	32.2340997865141	99.73	UP_pEhEx_DOWN_EhMyb10
EHI_146540A	2.21239388087073	1.48263283646634	1.9710543180322e-05	0.00272063468074268	29	36	10	6	3.81605771459698	4.68671856073125	0.940159048317451	0.859575994307043	99.73	DOWN_pEhEx_UP_EhMyb10
EHI_179850A	-6.98150262615619	0.263131589396045	1.94343352534538e-05	0.00272063468074268	0	0	11	20	0	0	1.0341749531492	2.86525331435681	99.73	UP_pEhEx_DOWN_EhMyb10
EHI_169350A	-3.78842212051353	7.48270200683628	2.15522501959306e-05	0.00288984886198578	119	250	1248	3834	15.6589954495531	32.5466566717448	117.331849230018	549.2690603622	99.71	UP_pEhEx_DOWN_EhMyb10
EHI_116040A	-2.88885045714958	0.977605527352801	2.77857619930277e-05	0.00362218280647997	4	2	28	24	0.526352788220273	0.260373253373958	2.63244533528886	3.43830397722817	99.64	UP_pEhEx_DOWN_EhMyb10
EHI_012420A	-2.01643137005713	2.81913931668692	3.26423940986023e-05	0.00403364071197749	15	26	113	78	1.97382295582602	3.38485229386146	10.6237972459872	11.1744879259916	99.6	UP_pEhEx_DOWN_EhMyb10
EHI_083380A	6.44563207418979	-0.19109423519764	3.26610583965788e-05	0.00403364071197749	12	8	0	0	1.57905836466082	1.04149301349583	0	0	99.6	DOWN_pEhEx_UP_EhMyb10
EHI_188960A	-2.11398798909702	9.03544515340676	3.45692865041839e-05	0.00415983747600346	1658	1348	7493	6979	218.173230717303	175.491572774048	704.461174904266	999.830144044808	99.58	UP_pEhEx_DOWN_EhMyb10
EHI_069950A	-2.12798168582898	2.33385490377718	3.69350588722598e-05	0.00422771295823208	15	12	66	66	1.97382295582602	1.56223952024375	6.20504971889518	9.45533593737747	99.58	UP_pEhEx_DOWN_EhMyb10
EHI_152800A	-2.81498589941594	6.29451826295375	3.67688312743144e-05	0.00422771295823208	191	106	755	1419	25.1333456375181	13.7997824288198	70.9820081479676	203.289722653616	99.58	UP_pEhEx_DOWN_EhMyb10
EHI_058320A	-2.3496490312922	2.73873007614237	4.40252060960115e-05	0.00482427427651586	18	14	76	101	2.36858754699123	1.82261277361771	7.14520876721263	14.4695292375019	99.52	UP_pEhEx_DOWN_EhMyb10
EHI_181610A	1.96547875735049	4.93987801759834	4.42028113978653e-05	0.00482427427651586	262	481	139	82	34.4761076284279	62.6197674364369	13.0682107716126	11.7475385888629	99.52	DOWN_pEhEx_UP_EhMyb10
EHI_010030A	-2.2896422232864	5.73805409675978	4.66937992634611e-05	0.00498031818053234	184	91	704	770	24.2122282581326	11.8469830285151	66.1871970015486	110.312252602737	99.5	UP_pEhEx_DOWN_EhMyb10
EHI_126980A	-3.17259764871085	2.77209483390987	5.05461844721067e-05	0.00527140541616881	6	14	61	127	0.78952918233041	1.82261277361771	5.73497019473645	18.1943585461657	99.47	UP_pEhEx_DOWN_EhMyb10
EHI_109930A	3.91592523695955	0.834771690468906	6.08297669030816e-05	0.00607391693779068	14	31	0	3	1.84223475877096	4.03578542729635	0	0.429787997153521	99.39	DOWN_pEhEx_UP_EhMyb10
EHI_159910A	-3.55667164533637	0.242713835202465	6.02511543292076e-05	0.00607391693779068	2	0	18	12	0.263176394110137	0	1.69228628697141	1.71915198861409	99.39	UP_pEhEx_DOWN_EhMyb10
EHI_085680A	-6.35350098878772	-0.192922909875988	6.36048413279069e-05	0.00615883257980964	0	0	10	11	0	0	0.940159048317451	1.57588932289624	99.38	UP_pEhEx_DOWN_EhMyb10
EHI_159450A	3.49859644380999	0.388303171552	6.43048788431009e-05	0.00615883257980964	11	20	3	0	1.44747016760575	2.60373253373958	0.282047714495235	0	99.38	DOWN_pEhEx_UP_EhMyb10
EHI_180000A	-2.1804684363855	2.03546870822672	7.34448357698469e-05	0.00689353228535783	13	8	54	53	1.71064656171589	1.04149301349583	5.07685886091424	7.59292128304554	99.31	UP_pEhEx_DOWN_EhMyb10
EHI_038300A	-2.28470680532041	2.89365994375344	8.13835721207177e-05	0.0073452197665559	27	10	138	75	3.55288132048684	1.30186626686979	12.9741948667808	10.744699928838	99.27	UP_pEhEx_DOWN_EhMyb10
EHI_103370A	-2.05631189189582	2.95163211693104	8.13874766377385e-05	0.0073452197665559	30	14	134	80	3.94764591165205	1.82261277361771	12.5981312474538	11.4610132574272	99.27	UP_pEhEx_DOWN_EhMyb10
EHI_069280A	-1.77819086199966	3.28084272344018	8.84970537334557e-05	0.00783616364473788	40	25	156	102	5.26352788220273	3.25466566717448	14.6664811537522	14.6127919032197	99.22	UP_pEhEx_DOWN_EhMyb10
EHI_118670A	-2.02181528734346	3.62895282494807	9.183477918261e-05	0.00798112256859239	37	36	138	182	4.86876329103753	4.68671856073125	12.9741948667808	26.073805160647	99.2	UP_pEhEx_DOWN_EhMyb10
EHI_134810A	-1.8575150784852	6.28260728514976	9.74148553020226e-05	0.00831214392604349	316	196	1181	923	41.5818702694016	25.5165788306479	111.032783606291	132.231440457567	99.17	UP_pEhEx_DOWN_EhMyb10
EHI_118230A	-2.10946544042149	3.67687366978706	0.000107469074890427	0.00869573049070296	26	46	151	186	3.42129312343178	5.98858482760104	14.1964016295935	26.6468558235183	99.13	UP_pEhEx_DOWN_EhMyb10
EHI_157360A	-1.92365957194204	2.99524615987398	0.000106262579101203	0.00869573049070296	25	24	98	107	3.28970492637671	3.1244790404875	9.21355867351102	15.3291052318089	99.13	UP_pEhEx_DOWN_EhMyb10
EHI_196370A	-2.54537072374618	2.03148833620816	0.000105425129851397	0.00869573049070296	7	10	42	65	0.921117379385478	1.30186626686979	3.9486680029333	9.31207327165963	99.13	UP_pEhEx_DOWN_EhMyb10
EHI_126210A	-1.85686829320034	3.90451022975659	0.00013665951230871	0.0108702218858437	62	35	202	190	8.15846821741424	4.55653193404427	18.9912127760125	27.2199064863897	98.91	UP_pEhEx_DOWN_EhMyb10
EHI_050000A	-2.6992884970104	2.23153771730035	0.00014144122970585	0.0110630615168259	4	14	54	73	0.526352788220273	1.82261277361771	5.07685886091424	10.4581745974024	98.89	UP_pEhEx_DOWN_EhMyb10
EHI_144610A	-1.99500641797984	7.08010315526852	0.000145690913864991	0.0112086468650558	471	356	1654	1930	61.9780408129372	46.3464391005646	155.502306591706	276.496944835432	98.88	UP_pEhEx_DOWN_EhMyb10
EHI_005030A	-3.49819711543483	0.619909752556559	0.000155896294771366	0.011613036688286	2	1	15	24	0.263176394110137	0.130186626686979	1.41023857247618	3.43830397722817	98.84	UP_pEhEx_DOWN_EhMyb10
EHI_134600A	-3.49819711543483	0.619909752556559	0.000155896294771366	0.011613036688286	2	1	15	24	0.263176394110137	0.130186626686979	1.41023857247618	3.43830397722817	98.84	UP_pEhEx_DOWN_EhMyb10
EHI_020080A	-1.62573314361269	6.20006479926458	0.000161113150908102	0.0118141252689332	250	298	1073	841	32.8970492637671	38.7956147527198	100.879065884463	120.483901868704	98.82	UP_pEhEx_DOWN_EhMyb10
EHI_056690A	-1.92085032378457	4.44499700017988	0.000190335496405486	0.0137422228404761	93	44	312	271	12.2377023261214	5.72821157422708	29.3329623075045	38.8241824095348	98.63	UP_pEhEx_DOWN_EhMyb10
EHI_045280A	-1.74499994237355	2.47343285664684	0.000208803532723101	0.0148471966525684	16	21	78	63	2.10541115288109	2.73391916042656	7.33324057687612	9.02554794022395	98.52	UP_pEhEx_DOWN_EhMyb10
EHI_000690A	-4.72680190211694	3.9787008004291	0.000229411171484357	0.015615642168442	17	0	184	298	2.23699934993616	0	17.2989264890411	42.6922743839164	98.44	UP_pEhEx_DOWN_EhMyb10
EHI_151890A	-1.73300014186221	2.18045520928051	0.000229592863759322	0.015615642168442	17	13	64	50	2.23699934993616	1.69242614693073	6.01701790923169	7.16313328589202	98.44	UP_pEhEx_DOWN_EhMyb10
EHI_193940A	-4.22396669444814	3.13301040543384	0.00022364283227337	0.015615642168442	13	0	108	156	1.71064656171589	0	10.1537177218285	22.3489758519831	98.44	UP_pEhEx_DOWN_EhMyb10
EHI_040310A	-1.62806824523732	6.82960750723902	0.000233084701637143	0.0156266643540445	380	468	1757	1241	50.003514880926	60.9273412895062	165.185944789376	177.78896815584	98.44	UP_pEhEx_DOWN_EhMyb10
EHI_095830A	-2.31206143926226	4.59562816559153	0.000265679341554211	0.0175610302804776	94	28	384	304	12.3692905231764	3.64522554723541	36.1021074553901	43.5518503782235	98.24	UP_pEhEx_DOWN_EhMyb10
EHI_165810.mRNA	1.87460812015703	6.84625916032214	0.000313864076788263	0.0204578348939905	1022	1740	627	275	134.48313739028	226.524730435344	58.9479723295042	39.3972330724061	97.95	DOWN_pEhEx_UP_EhMyb10
EHI_036560A	-1.66420546023805	3.71444691711136	0.000335713776523332	0.0215822568934794	60	34	225	125	7.8952918233041	4.42634530735729	21.1535785871427	17.9078332147301	97.84	UP_pEhEx_DOWN_EhMyb10
EHI_000130A	-1.96565294172358	4.56763556047306	0.00034299073957138	0.0217521019028174	78	68	236	368	10.2638793702953	8.85269061471458	22.1877535402919	52.7206609841653	97.82	UP_pEhEx_DOWN_EhMyb10
EHI_028990A	-2.39551605855461	5.32595068222599	0.000355419156729646	0.0222397613670964	141	53	450	641	18.5539357847646	6.89989121440989	42.3071571742853	91.8313687251357	97.78	UP_pEhEx_DOWN_EhMyb10
EHI_005070A	-1.53286283763891	3.71784958532358	0.000361430043907742	0.0223183052113031	56	45	174	154	7.36893903508383	5.85839820091406	16.3587674407237	22.0624505205474	97.77	UP_pEhEx_DOWN_EhMyb10
EHI_035510A	-1.41332723719897	3.52934781973227	0.00039347648984994	0.0239816255437113	45	49	168	119	5.92146886747808	6.37914470766198	15.7946720117332	17.048257220423	97.6	UP_pEhEx_DOWN_EhMyb10
EHI_001060A	-2.42110858520996	0.628644581060444	0.000408358744994747	0.0245695844905173	3	3	22	16	0.394764591165205	0.390559880060937	2.06834990629839	2.29220265148545	97.54	UP_pEhEx_DOWN_EhMyb10
