logFC	logCPM	PValue	FDR	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1.1	EhMyb10_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_004430A	-9.05340158806055	2.10925117939802	6.14297245925241e-18	1.44144848756358e-14	0	0	79	61	0	0	7.42725648170787	8.73902260878827	100	UP_pEhEx_DOWN_EhMyb10
EHI_006770A	7.84357452142505	0.959810093564099	2.21489200972668e-07	7.42463442974809e-05	39	14	0	0	5.13193968514766	1.82261277361771	0	0	99.99	DOWN_pEhEx_UP_EhMyb10
EHI_010030A	-2.2896422232864	5.73805409675978	4.66937992634611e-05	0.00498031818053234	184	91	704	770	24.2122282581326	11.8469830285151	66.1871970015486	110.312252602737	99.5	UP_pEhEx_DOWN_EhMyb10
EHI_017750A	-1.94225387574639	6.08940350064306	1.66385687338394e-05	0.00253440239269298	198	230	950	880	26.0544630169035	29.9429241380052	89.3151095901579	126.0711458317	99.75	UP_pEhEx_DOWN_EhMyb10
EHI_018630A	7.57014724213905	0.720676004054541	1.59339693028082e-06	0.000356086275895614	11	33	0	0	1.44747016760575	4.29615868067031	0	0	99.96	DOWN_pEhEx_UP_EhMyb10
EHI_035060A	-10.2721329103091	3.27633778576467	6.54415151135379e-24	3.07117030427833e-20	0	0	228	112	0	0	21.4356263016379	16.0454185603981	100	UP_pEhEx_DOWN_EhMyb10
EHI_035670A	-2.43260832345093	4.36596082762074	1.24844409859068e-07	4.50688319591237e-05	51	46	284	294	6.71099804980848	5.98858482760104	26.7005169722156	42.1192237210451	100	UP_pEhEx_DOWN_EhMyb10
EHI_038300A	-2.28470680532041	2.89365994375344	8.13835721207177e-05	0.0073452197665559	27	10	138	75	3.55288132048684	1.30186626686979	12.9741948667808	10.744699928838	99.27	UP_pEhEx_DOWN_EhMyb10
EHI_040310A	-1.62806824523732	6.82960750723902	0.000233084701637143	0.0156266643540445	380	468	1757	1241	50.003514880926	60.9273412895062	165.185944789376	177.78896815584	98.44	UP_pEhEx_DOWN_EhMyb10
EHI_048140A	-2.81104278910345	6.9752495730674	1.05361777998285e-05	0.00170504422119294	288	190	1320	2204	37.8974007518597	24.735459070526	124.100994377904	315.75091524212	99.83	UP_pEhEx_DOWN_EhMyb10
EHI_049990A	-9.11439830192789	2.16592593005342	9.22435608842083e-18	1.4429967707653e-14	0	0	79	66	0	0	7.42725648170787	9.45533593737747	100	UP_pEhEx_DOWN_EhMyb10
