logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_195110A	11.7356483760532	4.8174293147877	1.6634468035123e-19	7.87475716782723e-16	559	169	0	0	86.3861571183188	26.3678608764506	0	0	100	DOWN_pEhEx_UP_U2AF84
EHI_004430A	-8.95523812708286	2.18045878364354	3.7671732840593e-19	8.91689916336836e-16	0	0	79	61	0	0	7.47894175028416	8.98183119098249	100	UP_pEhEx_DOWN_U2AF84
EHI_089770A	-8.23822665546557	1.53504931555576	1.00792964505622e-14	1.59051297989871e-11	0	0	51	35	0	0	4.82817758562648	5.15350969974405	100	UP_pEhEx_DOWN_U2AF84
EHI_155900A	-9.83381165648028	2.97977017225621	8.59540341808365e-14	1.0172659945302e-10	0	0	82	153	0	0	7.76295219649748	22.5281995445954	100	UP_pEhEx_DOWN_U2AF84
EHI_123020A	7.90830082291037	1.07383806573611	1.81506916319201e-10	1.7185074837102e-07	32	19	0	0	4.94518251840108	2.96443406303291	0	0	100	DOWN_pEhEx_UP_U2AF84
EHI_179990A	-4.85391286924697	1.55482004482444	4.81761212840039e-10	3.80109596930791e-07	2	0	42	41	0.309073907400067	0	3.97614624698652	6.03696850541446	100	UP_pEhEx_DOWN_U2AF84
EHI_098470A	-15.1322671362909	8.21489707837665	7.35606385707169e-10	4.97480089991106e-07	0	0	486	7755	0	0	46.0096922865582	1141.870506329	100	UP_pEhEx_DOWN_U2AF84
EHI_140640A	-8.30299981065495	1.55973277558368	1.26676312683366e-09	7.04297522197047e-07	0	0	32	51	0	0	3.02944475960877	7.50939984819847	100	UP_pEhEx_DOWN_U2AF84
EHI_148400A	-4.4361424472418	1.20825176079374	1.33896867337842e-09	7.04297522197047e-07	2	0	38	26	0.309073907400067	0	3.59746565203542	3.82832149123844	100	UP_pEhEx_DOWN_U2AF84
EHI_041880A	-7.16819615196799	0.624467895294175	3.4361048540665e-09	1.51624484512005e-06	0	0	25	16	0	0	2.36675371844435	2.35589014845442	100	UP_pEhEx_DOWN_U2AF84
EHI_052120A	-7.33699232071335	0.766997675684993	3.52317137649357e-09	1.51624484512005e-06	0	0	32	15	0	0	3.02944475960877	2.20864701417602	100	UP_pEhEx_DOWN_U2AF84
EHI_035670A	-2.56412842008256	4.38292696870833	1.18870399447362e-08	4.68943725819842e-06	28	48	284	294	4.32703470360094	7.48909658029366	26.8863222415279	43.28948147785	100	UP_pEhEx_DOWN_U2AF84
EHI_010030A	-2.15938654742087	5.79208244148916	2.1559769109109e-08	7.85107284327094e-06	124	135	704	770	19.1625822588042	21.0630841320759	66.647784711393	113.377213394369	100	UP_pEhEx_DOWN_U2AF84
EHI_155680A	-2.18592910495139	5.46517597565375	4.93568116674475e-08	1.66896533166926e-05	95	108	550	623	14.6810106015032	16.8504673056607	52.0685818057758	91.7324726554441	100	UP_pEhEx_DOWN_U2AF84
EHI_188880A	-3.56894789930743	2.68584710751712	1.07672477426316e-07	3.39814338757453e-05	6	6	68	110	0.927221722200202	0.936137072536707	6.43757011416864	16.1967447706242	100	UP_pEhEx_DOWN_U2AF84
EHI_172280A	-3.15888016465155	3.71573140330196	1.33076478514479e-07	3.93740030804715e-05	17	16	135	227	2.62712821290057	2.49636552676455	12.7804700795995	33.4241914811971	100	UP_pEhEx_DOWN_U2AF84
EHI_187780A	-2.50333895382754	3.03256378732737	6.21797304982797e-07	0.00017315226128168	14	16	99	118	2.16351735180047	2.49636552676455	9.37234472503964	17.3746898448514	99.98	UP_pEhEx_DOWN_U2AF84
EHI_199150A	6.99827054954822	0.28571355200318	8.27555227170732e-07	0.000217647024745903	10	17	0	0	1.54536953700034	2.65238837218734	0	0	99.98	DOWN_pEhEx_UP_U2AF84
EHI_050640A	2.81301612323717	1.62117437195456	9.04996654027621e-07	0.000225487061061408	30	36	4	8	4.63610861100101	5.61682243522024	0.378680594951097	1.17794507422721	99.98	DOWN_pEhEx_UP_U2AF84
EHI_092170A	-1.55436662319001	3.83851259580353	1.66802902425784e-06	0.000394822470041832	45	46	230	134	6.95416291650151	7.17705088944809	21.7741342096881	19.7305799933058	99.96	UP_pEhEx_DOWN_U2AF84
EHI_194730A	1.72068009486158	2.59928530702842	3.34480492556236e-06	0.000754014596076772	59	58	31	17	9.11768026830199	9.0493250345215	2.934774610871	2.50313328273282	99.92	DOWN_pEhEx_UP_U2AF84
EHI_062500A	-1.69983890915622	3.5589154240009	5.78138577305896e-06	0.00124404910225732	31	38	157	137	4.79064556470104	5.92886812606581	14.8632133518305	20.172309396141	99.88	UP_pEhEx_DOWN_U2AF84
EHI_126530A	3.0388793288488	0.816911133510624	6.78191988106941e-06	0.00139589603117316	18	19	6	0	2.78166516660061	2.96443406303291	0.568020892426645	0	99.86	DOWN_pEhEx_UP_U2AF84
EHI_017750A	-1.49163531846478	6.22321161457452	7.98329933349754e-06	0.00157470579353239	236	266	950	880	36.4707210732079	41.5020768824607	89.9366413008855	129.573958164993	99.84	UP_pEhEx_DOWN_U2AF84
EHI_033240A	-6.81475411085998	0.310932884026972	1.35858458422976e-05	0.00257238882688674	0	0	12	18	0	0	1.13604178485329	2.65037641701123	99.74	UP_pEhEx_DOWN_U2AF84
EHI_057550A	1.70806587556821	5.88752630200079	1.46714191647533e-05	0.00257238882688674	731	436	341	156	112.966513154725	68.0259606043341	32.282520719581	22.9699289474306	99.74	DOWN_pEhEx_UP_U2AF84
EHI_073540A	2.21513564017592	2.14458403672354	1.46599921927617e-05	0.00257238882688674	35	56	20	7	5.40879337950118	8.73727934367593	1.89340297475548	1.03070193994881	99.74	DOWN_pEhEx_UP_U2AF84
EHI_051690A	-2.63609612735597	2.52243143058773	1.55285279670936e-05	0.0026254304070079	4	15	77	77	0.618147814800135	2.34034268134177	7.28960145280861	11.3377213394369	99.74	UP_pEhEx_DOWN_U2AF84
EHI_192030A	6.63671435964435	0.00109819528903342	1.949843723658e-05	0.00318295178889551	14	7	0	0	2.16351735180047	1.09215991795949	0	0	99.68	DOWN_pEhEx_UP_U2AF84
EHI_010020A	-2.51179796760294	6.16809865860008	2.58282085289163e-05	0.00394421739277064	140	135	610	1264	21.6351735180047	21.0630841320759	57.7487907300422	186.115321727899	99.61	UP_pEhEx_DOWN_U2AF84
EHI_164840A	-3.81097171314018	0.69096412979735	2.56906573703783e-05	0.00394421739277064	1	1	19	21	0.154536953700034	0.156022845422785	1.79873282601771	3.09210581984643	99.61	UP_pEhEx_DOWN_U2AF84
EHI_029380A	6.41858699356482	-0.162542730346605	2.91582994898954e-05	0.0043136059307864	7	11	0	0	1.08175867590024	1.71625129965063	0	0	99.57	DOWN_pEhEx_UP_U2AF84
EHI_073410A	-6.23590518332394	-0.0929242440510637	3.84568858487392e-05	0.00542406224289212	0	0	11	10	0	0	1.04137163611552	1.47243134278401	99.46	UP_pEhEx_DOWN_U2AF84
