logFC	logCPM	PValue	FDR	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1.1	U2AF84_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_000130A	-1.95029798504781	4.60575732068694	0.000123295962568325	0.00989293367455002	59	68	236	368	9.11768026830199	10.6095534887493	22.3421551021147	54.1854734144517	99.01	UP_pEhEx_DOWN_U2AF84
EHI_001940A	-1.26707593341443	6.77573036420816	0.000647656179336346	0.0300588662056692	336	489	1316	1251	51.9244164432113	76.2951714117416	124.585915738911	184.20116098228	96.99	UP_pEhEx_DOWN_U2AF84
EHI_005020A	-1.18599978194199	7.11924741715371	0.00125344689543113	0.0446151699471501	478	612	1570	1609	73.8686638686161	95.4859813987441	148.632133518305	236.914203053948	95.54	UP_pEhEx_DOWN_U2AF84
EHI_010020A	-2.51179796760294	6.16809865860008	2.58282085289163e-05	0.00394421739277064	140	135	610	1264	21.6351735180047	21.0630841320759	57.7487907300422	186.115321727899	99.61	UP_pEhEx_DOWN_U2AF84
EHI_010030A	-2.15938654742087	5.79208244148916	2.1559769109109e-08	7.85107284327094e-06	124	135	704	770	19.1625822588042	21.0630841320759	66.647784711393	113.377213394369	100	UP_pEhEx_DOWN_U2AF84
EHI_015310A	-1.1852028765853	10.0309206072162	0.00119916653587454	0.0436681106217697	3206	5014	12746	11539	495.445473562308	782.298546949842	1206.66571581167	1699.03852643847	95.63	UP_pEhEx_DOWN_U2AF84
EHI_017750A	-1.49163531846478	6.22321161457452	7.98329933349754e-06	0.00157470579353239	236	266	950	880	36.4707210732079	41.5020768824607	89.9366413008855	129.573958164993	99.84	UP_pEhEx_DOWN_U2AF84
EHI_020080A	-1.19141874983356	6.34612507668666	7.56880317154976e-05	0.00731239065594215	299	336	1073	841	46.2065491563101	52.4236760620556	101.581069595632	123.831475928136	99.27	UP_pEhEx_DOWN_U2AF84
EHI_022010A	-1.14421833588283	8.57797625975999	0.00110035501550499	0.0416726451472049	1177	1883	5923	3332	181.88999450494	293.791017931103	560.731290973836	490.614123415634	95.83	UP_pEhEx_DOWN_U2AF84
EHI_027610A	-1.28286184977855	6.32056262213468	0.000864344804364831	0.0352872752501346	212	384	1143	797	32.7618341844071	59.9127726423493	108.207980007276	117.352778019886	96.47	UP_pEhEx_DOWN_U2AF84
EHI_028990A	-1.99901615296531	5.42952193347159	0.000110645751580376	0.00935351764252682	81	139	450	641	12.5174932497027	21.6871755137671	42.6015669319984	94.3828490724553	99.06	UP_pEhEx_DOWN_U2AF84
EHI_035510A	-1.36990748673934	3.57719700436938	4.40196260574482e-05	0.00544254017589598	38	45	168	119	5.87240424060128	7.0210280440253	15.9045849879461	17.5219329791298	99.46	UP_pEhEx_DOWN_U2AF84
EHI_035670A	-2.56412842008256	4.38292696870833	1.18870399447362e-08	4.68943725819842e-06	28	48	284	294	4.32703470360094	7.48909658029366	26.8863222415279	43.28948147785	100	UP_pEhEx_DOWN_U2AF84
