logFC	AveExpr	t	P.Value	adj.P.Val	B	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_083270A	-2.80077954556599	7.60536442010102	-11.3392216253671	5.46897122732414e-06	0.0119363849435814	4.70880904255641	353	586	5365	3660	64.8538014676372	83.7195413939727	503.789210992758	524.415434939871	98.81	UP_pEhEx_DOWN_CDC5
EHI_083410A	-2.80077954556599	7.60536442010102	-11.3392216253671	5.46897122732414e-06	0.0119363849435814	4.70880904255641	353	586	5365	3660	64.8538014676372	83.7195413939727	503.789210992758	524.415434939871	98.81	UP_pEhEx_DOWN_CDC5
EHI_114920A	-3.98227298511381	6.0293066321082	-10.8404508447882	7.53242634218429e-06	0.0119363849435814	4.38732028197028	92	110	1963	2567	16.9024071813672	15.7152722753191	184.33144849558	367.807218986516	98.81	UP_pEhEx_DOWN_CDC5
EHI_035060A	-7.84962517759725	0.295603402732051	-9.52143174608736	1.87925445599908e-05	0.0148899594730327	1.4490259260137	0	0	228	112	0	0	21.4098676805869	16.0476854407829	98.51	UP_pEhEx_DOWN_CDC5
EHI_049000A	-2.47418145059201	8.27486489953577	-9.53285216542533	1.86357382255202e-05	0.0148899594730327	3.55652900405961	660	993	6747	5885	121.256399344591	141.866048812653	633.563058074211	843.21990016971	98.51	UP_pEhEx_DOWN_CDC5
EHI_103900A	2.5316152981162	4.10232596020531	9.60054640012996	1.77359182273317e-05	0.0148899594730327	3.56982077235882	233	279	79	47	42.8071834049843	39.859645134673	7.41833134546653	6.73429656889998	98.51	DOWN_pEhEx_UP_CDC5
EHI_188960A	-2.42801597279333	8.49615341807564	-9.05945756764707	2.65724877491222e-05	0.0171276564470834	3.21223768419323	798	1152	7493	6979	146.610010116642	164.581760556069	703.614642678236	999.971399028786	98.29	UP_pEhEx_DOWN_CDC5
EHI_195110A	10.9790232381308	1.38216301816121	8.95389155738382	2.88223078621513e-05	0.0171276564470834	1.27696892419353	958	545	0	0	176.005500866845	77.8620308186265	0	0	98.29	DOWN_pEhEx_UP_CDC5
EHI_027610A	-2.03888551859151	5.77227832399359	-8.36559272416788	4.60369745109225e-05	0.0182383147354105	2.67520947097151	153	180	1143	797	28.1094380298824	25.7159000868858	107.331047188206	114.196475859857	98.18	UP_pEhEx_DOWN_CDC5
EHI_126870A	-2.15564076248778	11.7478680805771	-8.3915243967057	4.50706917866754e-05	0.0182383147354105	2.67480389688005	7469	13491	68859	57090	1372.21825258295	1927.40671151209	6466.06174832253	8180.02108762766	98.18	UP_pEhEx_DOWN_CDC5
EHI_134810A	-2.15752586241009	5.84117564729768	-8.65519145295337	3.64370395242314e-05	0.0182383147354105	2.9034260859172	149	187	1181	923	27.3745507611273	26.7159628680425	110.899358468303	132.250121980738	98.18	UP_pEhEx_DOWN_CDC5
EHI_155680A	-2.9208669358231	4.62562735795033	-8.42511522575478	4.38526339355021e-05	0.0182383147354105	2.71728414397717	47	64	550	623	8.63492540787237	9.14343114200385	51.6466106329948	89.265250264355	98.18	UP_pEhEx_DOWN_CDC5
EHI_022010A	-1.89687854272653	8.06179388803547	-8.02042995986581	6.1380066078598e-05	0.0184381754628985	2.38565471678741	743	983	5923	3332	136.505310171259	140.437387696715	556.187045053142	477.418641863292	98.16	UP_pEhEx_DOWN_CDC5
EHI_073180A	-2.03904186420272	4.74507531650327	-7.86095457947403	7.03449867757384e-05	0.0184381754628985	2.26183467271252	75	88	540	405	13.779136289158	12.5722178202553	50.7075813487585	58.0295768171168	98.16	UP_pEhEx_DOWN_CDC5
EHI_089770A	-5.93297581595893	-0.657792572164751	-7.72191216801495	7.93689154335857e-05	0.0184381754628985	0.763211221512714	0	0	51	35	0	0	4.78904934960497	5.01490170024467	98.16	UP_pEhEx_DOWN_CDC5
EHI_094020A	-8.92310008351927	0.834207424995254	-7.94281552057472	6.55724665748553e-05	0.0184381754628985	0.899159456485312	0	0	594	192	0	0	55.7783394836344	27.510317898485	98.16	UP_pEhEx_DOWN_CDC5
EHI_095830A	-2.46075286763378	4.0723786748401	-7.8172110107782	7.30538162147286e-05	0.0184381754628985	2.22527815843407	31	61	384	304	5.69537633285199	8.71483280722242	36.0587245146727	43.558003339268	98.16	UP_pEhEx_DOWN_CDC5
EHI_117850A	-2.47366671381136	8.49757305909753	-7.69238825197769	8.14475567355633e-05	0.0184381754628985	2.09996783064539	716	1244	7024	7714	131.544821107162	177.7254428227	659.574169247555	1105.28433473392	98.16	UP_pEhEx_DOWN_CDC5
EHI_170060A	-2.08418790550288	5.40485775643897	-8.09437296239866	5.76633820900788e-05	0.0184381754628985	2.45503671099581	116	138	839	673	21.3117307938978	19.7155233999458	78.784556947423	96.4293955504189	98.16	UP_pEhEx_DOWN_CDC5
EHI_186720A	-2.06608787452669	9.8046357204011	-8.0450026084372	6.01159765740058e-05	0.0184381754628985	2.39649766241908	2057	3524	17410	14346	377.915777957308	503.460177256587	1634.84998385534	2055.53656547743	98.16	UP_pEhEx_DOWN_CDC5
EHI_197480A	-2.28367516999573	10.2359411425982	-7.80696615328753	7.37049766859407e-05	0.0184381754628985	2.18719186124896	2603	4348	22670	23333	478.227890142378	621.181853209886	2128.77938736362	3343.22003919454	98.16	UP_pEhEx_DOWN_CDC5
EHI_090020A	-2.59464071572986	9.74256388495184	-7.55852511066548	9.16686278964634e-05	0.019808757137263	1.97029498438135	1723	2668	16174	20499	316.552691016257	381.166785732285	1518.78596432374	2937.15628438044	98.02	UP_pEhEx_DOWN_CDC5
