logFC	AveExpr	t	P.Value	adj.P.Val	B	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_000140A	-1.42508205896348	4.71648287573182	-5.47177882934021	0.000738589965918773	0.0392504407391788	-0.113419580621473	78	124	476	290	14.3303017407244	17.7153978376325	44.6977939296464	41.5520426591701	96.07	UP_pEhEx_DOWN_CDC5
EHI_000690A	-8.38100078707084	0.570411547994574	-6.45626143250741	0.000259594063382008	0.0287002366818155	0.15890056292215	0	0	184	298	0	0	17.2781388299474	42.6983059049403	97.13	UP_pEhEx_DOWN_CDC5
EHI_001940A	-1.75433637560251	6.33934707065482	-5.50892869561846	0.00070843929185927	0.0391618650406857	-0.0969164767150383	298	247	1316	1251	54.7491015222546	35.2879295636711	123.576253805493	179.246915057316	96.08	UP_pEhEx_DOWN_CDC5
EHI_005020A	-1.4255045621824	6.81046921669135	-4.93954563151847	0.00136986672127996	0.0485037879614367	-0.786388341951131	375	473	1570	1609	68.8956814457902	67.5756707838722	147.427597625094	230.542195305533	95.15	UP_pEhEx_DOWN_CDC5
EHI_005070A	-1.53297080602055	3.47928258785301	-5.00032867924338	0.00127401615620551	0.0462754382532496	-0.615326569200866	33	48	174	154	6.06281996722954	6.85757335650289	16.3391095457111	22.0655674810765	95.37	UP_pEhEx_DOWN_CDC5
EHI_007510A	1.32247373113078	12.1139667215812	4.92272416095159	0.00139777428496357	0.0485037879614367	-0.898360181244239	41255	45584	37214	15620	7579.44356812287	6512.40883089224	3494.50357835685	2238.07898736633	95.15	DOWN_pEhEx_UP_CDC5
EHI_007940A	-1.51951222903351	5.67944851708778	-5.60429955023808	0.000637083584825579	0.0370912263742878	0.0220579077683949	139	249	884	634	25.5373325892396	35.5736617868587	83.0101887264862	90.8413622272891	96.29	UP_pEhEx_DOWN_CDC5
EHI_010020A	-2.48852132940877	5.42221561444142	-4.89974698760913	0.00143690913273727	0.049500478384297	-0.805995951653923	96	128	610	1264	17.6372944501223	18.2868622840077	57.2807863384124	181.109592831693	95.05	UP_pEhEx_DOWN_CDC5
EHI_010030A	-2.47710811274263	5.19153266216798	-4.93175854628667	0.00138270895992256	0.0485037879614367	-0.759340910153281	146	63	704	770	26.823385309561	9.00056503041004	66.1076616102334	110.327837405383	95.15	UP_pEhEx_DOWN_CDC5
EHI_013220A	-1.49769682144948	6.88312752145487	-5.16860509493853	0.0010450504344562	0.0428788537434815	-0.506088901669988	371	503	1690	1738	68.1607941770351	71.8616541316865	158.695949035929	249.025690143578	95.71	UP_pEhEx_DOWN_CDC5
EHI_013340A	-1.55600482197568	3.02464083955701	-5.16782427871921	0.00104600198569738	0.0428788537434815	-0.391001637991492	25	33	136	106	4.59304542971935	4.71458168259573	12.7707982656133	15.1879880064553	95.71	UP_pEhEx_DOWN_CDC5
EHI_015310A	-1.6281778953291	9.64167700110302	-6.30212485552158	0.000303410529262876	0.0290090535609886	0.740844457311379	2271	3450	12746	11539	417.232246835705	492.888084998645	1196.88672568755	1653.34144911781	97.1	UP_pEhEx_DOWN_CDC5
EHI_015440A	-1.55226702190113	4.77335877076509	-5.16024754541426	0.00105528520992582	0.0428788537434815	-0.481122108877791	90	107	401	405	16.5349635469897	15.2866739405377	37.6550742978744	58.0295768171168	95.71	UP_pEhEx_DOWN_CDC5
EHI_017030A	-2.15573095741961	3.02908268469514	-5.69537042114265	0.000576301605910176	0.0363882660921992	0.213844324751352	20	27	142	156	3.67443634377548	3.85738501303287	13.334215836155	22.3521332925191	96.36	UP_pEhEx_DOWN_CDC5
EHI_017660A	-2.73655749436559	4.02791667434405	-5.87745646753154	0.000473113808531203	0.0350493201898209	0.384586334607437	30	49	293	452	5.51165451566322	7.0004394680967	27.5135580281227	64.7638733860168	96.5	UP_pEhEx_DOWN_CDC5
EHI_017750A	-2.05506832171115	5.70387167280898	-6.33722448196368	0.00029275305802081	0.0290090535609886	0.822236830938671	176	141	950	880	32.3350398252242	20.1441217347272	89.2077820024456	126.088957034723	97.1	UP_pEhEx_DOWN_CDC5
EHI_020080A	-1.42265388171112	6.07340474361667	-5.22391662533822	0.000980011135469171	0.0428788537434815	-0.429068985570612	261	246	1073	841	47.95139428627	35.1450634520773	100.757842198552	120.500923711593	95.71	UP_pEhEx_DOWN_CDC5
EHI_022010A	-1.89687854272653	8.06179388803547	-8.02042995986581	6.1380066078598e-05	0.0184381754628985	2.38565471678741	743	983	5923	3332	136.505310171259	140.437387696715	556.187045053142	477.418641863292	98.16	UP_pEhEx_DOWN_CDC5
EHI_023000A	-2.28753342502921	3.00701340149294	-6.6131754568129	0.000222095875630658	0.0287002366818155	1.15108188957165	20	24	157	149	3.67443634377548	3.42878667825144	14.7427597625094	21.3491529524701	97.13	UP_pEhEx_DOWN_CDC5
EHI_023400A	2.35355373901622	7.83560394463865	5.65680992418659	0.000601216732868461	0.0370912263742878	0.058789627956588	2623	3888	1723	438	481.902326486154	555.463441876734	161.794745673909	62.757912705919	96.29	DOWN_pEhEx_UP_CDC5
EHI_025360A	-1.23100759399443	5.10690813338418	-5.02305873960352	0.00124008797797122	0.0462754382532496	-0.65979053874687	126	152	545	379	23.1489489657855	21.7156489622591	51.1770959908767	54.3042212683637	95.37	UP_pEhEx_DOWN_CDC5
EHI_027610A	-2.03888551859151	5.77227832399359	-8.36559272416788	4.60369745109225e-05	0.0182383147354105	2.67520947097151	153	180	1143	797	28.1094380298824	25.7159000868858	107.331047188206	114.196475859857	98.18	UP_pEhEx_DOWN_CDC5
EHI_028990A	-2.69117769262967	4.62153751011974	-6.4723617488279	0.000255439154552304	0.0287002366818155	0.987261969519689	58	61	450	641	10.6558653969489	8.71483280722242	42.2563177906321	91.844342567338	97.13	UP_pEhEx_DOWN_CDC5
EHI_030070A	-1.59397022164819	10.4098113922368	-6.25289311247697	0.000319093129628365	0.0290090535609886	0.677839381207302	3730	6240	22124	18829	685.282378114127	891.484536345375	2077.50838844432	2697.87383182591	97.1	UP_pEhEx_DOWN_CDC5
EHI_035060A	-7.84962517759725	0.295603402732051	-9.52143174608736	1.87925445599908e-05	0.0148899594730327	1.4490259260137	0	0	228	112	0	0	21.4098676805869	16.0476854407829	98.51	UP_pEhEx_DOWN_CDC5
EHI_035220A	-3.43913881441228	2.15130058636985	-6.91880637950549	0.000165170194716551	0.026597947331474	1.32043728191184	4	14	166	101	0.734887268755096	2.00012556231334	15.5878861183221	14.4715734778489	97.34	UP_pEhEx_DOWN_CDC5
EHI_035510A	-1.5224421324118	3.28124038369234	-5.28458741865265	0.000913757717942939	0.0426283624561895	-0.268223356871844	33	37	168	119	6.06281996722954	5.28604612897098	15.7756919751693	17.0506657808319	95.74	UP_pEhEx_DOWN_CDC5
EHI_035600A	-1.19703614473705	8.58153900123704	-5.02720287680187	0.00123401000149418	0.0462754382532496	-0.702332761483972	1435	1697	5632	4443	263.640807665891	242.443791374696	528.861292881867	636.60595011963	95.37	UP_pEhEx_DOWN_CDC5
EHI_035650A	-1.64325750394088	3.41727892866823	-5.74818634979977	0.000544011282152985	0.0363882660921992	0.250327024238302	33	41	187	141	6.06281996722954	5.85751057534622	17.5598476152182	20.2028897066999	96.36	UP_pEhEx_DOWN_CDC5
EHI_035670A	-2.60231653301219	3.77737094575915	-6.65812772346769	0.000212495342898083	0.0287002366818155	1.18621676988813	40	29	284	294	7.34887268755096	4.14311723622049	26.66843167231	42.1251742820552	97.13	UP_pEhEx_DOWN_CDC5
EHI_036560A	-1.74781822890173	3.41167394676746	-5.97320098653426	0.00042720494331951	0.032326290191545	0.494015973484278	29	43	225	125	5.32793269847444	6.14324279853384	21.1281588953161	17.9103632151595	96.77	UP_pEhEx_DOWN_CDC5
EHI_037810A	-1.93402846296147	2.41078178578865	-5.24389702620521	0.000957624713311107	0.0428788537434815	-0.264072504464746	13	20	93	87	2.38838362345406	2.8573222318762	8.7329723433973	12.465612797751	95.71	UP_pEhEx_DOWN_CDC5
EHI_038300A	-2.63304410035097	2.26303677896478	-7.05815196985753	0.000144783234007803	0.026597947331474	1.52441386081845	11	12	138	75	2.02093998907651	1.71439333912572	12.9586041224605	10.7462179290957	97.34	UP_pEhEx_DOWN_CDC5
EHI_044550A	1.10089162987816	13.4479605157577	5.18775717582001	0.00102200661774934	0.0428788537434815	-0.59633860366736	98905	103273	80340	53808	18171.0063290557	14754.2119426276	7544.16126955419	7709.76659105043	95.71	DOWN_pEhEx_UP_CDC5
EHI_044820A	-2.08468823085307	3.80343628284971	-5.2209666186751	0.000983364998105604	0.0428788537434815	-0.357918064409661	27	62	238	262	4.96048906409689	8.85769891881623	22.3488969648232	37.5401212989744	95.71	UP_pEhEx_DOWN_CDC5
EHI_044830A	1.05364365399956	12.3372589391158	5.00883904965683	0.00126119494473084	0.0462754382532496	-0.79455504615365	42177	50178	36062	26602	7748.83508357092	7168.7357475542	3386.32740481283	3811.61185799739	95.37	DOWN_pEhEx_UP_CDC5
EHI_045280A	-1.86627699923291	2.10718899940198	-5.00196861124698	0.00127153442340958	0.0462754382532496	-0.526640737847585	14	13	78	63	2.57210544064283	1.85725945071953	7.3244284170429	9.0268230604404	95.37	UP_pEhEx_DOWN_CDC5
EHI_048140A	-2.41503905753443	6.41469409689206	-5.5306765723799	0.00069142184651203	0.0391311840275975	-0.0736563466620233	227	226	1320	2204	41.7048525018517	32.2877412202011	123.951865519188	315.795524209693	96.09	UP_pEhEx_DOWN_CDC5
EHI_048300A	-6.11660357694695	0.239764943538379	-5.79755709191133	0.000515631238085358	0.0363882660921992	-0.268133272248419	1	0	78	93	0.183721817188774	0	7.3244284170429	13.3253102320787	96.36	UP_pEhEx_DOWN_CDC5
EHI_049000A	-2.47418145059201	8.27486489953577	-9.53285216542533	1.86357382255202e-05	0.0148899594730327	3.55652900405961	660	993	6747	5885	121.256399344591	141.866048812653	633.563058074211	843.21990016971	98.51	UP_pEhEx_DOWN_CDC5
EHI_049690A	-1.30712384310153	8.07395189025159	-5.70913851586555	0.000567684350823222	0.0363882660921992	0.115454783208514	927	1205	4559	2928	170.310124533993	172.153664470541	428.103450683315	419.532347951897	96.36	UP_pEhEx_DOWN_CDC5
EHI_050520A	-1.60687784182926	6.31510943733736	-5.45039999676429	0.000756582074210836	0.0392504407391788	-0.164428189701356	219	359	1211	1190	40.2350779643415	51.2889340621778	113.716446321012	170.506657808319	96.07	UP_pEhEx_DOWN_CDC5
EHI_052110A	-1.93402846296147	2.41078178578865	-5.24389702620521	0.000957624713311107	0.0428788537434815	-0.264072504464746	13	20	93	87	2.38838362345406	2.8573222318762	8.7329723433973	12.465612797751	95.71	UP_pEhEx_DOWN_CDC5
EHI_056460A	-1.5461413044629	4.54056259519926	-5.47054052829058	0.000739619101234267	0.0392504407391788	-0.107727521011717	63	110	387	305	11.5744744828928	15.7152722753191	36.3404332999436	43.7012862449892	96.07	UP_pEhEx_DOWN_CDC5
EHI_056690A	-1.54142347267678	4.30730326067863	-5.51179088383957	0.000706173429253751	0.0391618650406857	-0.0517916890800318	64	79	312	271	11.7581963000815	11.286422815911	29.2977136681716	38.8296674504658	96.08	UP_pEhEx_DOWN_CDC5
EHI_057550A	2.05005561402358	5.77246288774556	6.60213916540134	0.000224526137402866	0.0287002366818155	1.0894255347366	738	640	341	156	135.586701085315	91.4343114200385	32.0208985924568	22.3521332925191	97.13	DOWN_pEhEx_UP_CDC5
EHI_057850A	-1.30044152168963	6.14539222063668	-5.42326271834286	0.000780121561221835	0.0392504407391788	-0.193660091871546	236	327	1149	798	43.3583488565506	46.7172184911759	107.894464758747	114.339758765578	96.07	UP_pEhEx_DOWN_CDC5
EHI_065340A	-2.11925185728762	5.04602757628368	-6.25217490625218	0.000319328482187576	0.0290090535609886	0.745292805137036	62	151	696	511	11.390752665704	21.5727828506653	65.3564381828443	73.2175648235721	97.1	UP_pEhEx_DOWN_CDC5
EHI_066770A	-1.84553982061164	6.25137021153158	-7.16664836358423	0.000130848390684467	0.0259188853880816	1.63324358543991	194	315	1430	1086	35.6420325346221	45.0028251520502	134.281187645786	155.605235613306	97.41	UP_pEhEx_DOWN_CDC5
EHI_068610A	1.53760751619629	4.01417412110626	5.9733431996464	0.000427140539145204	0.032326290191545	0.460630223695257	149	192	96	69	27.3745507611273	27.4302934260115	9.01468112866818	9.88652049476805	96.77	DOWN_pEhEx_UP_CDC5
EHI_069280A	-1.60372863775031	3.07806273718895	-5.44990085786987	0.000757007887704163	0.0392504407391788	-0.0680009670827539	28	31	156	102	5.14421088128567	4.42884945940811	14.6488568340858	14.6148563835702	96.07	UP_pEhEx_DOWN_CDC5
EHI_073180A	-2.03904186420272	4.74507531650327	-7.86095457947403	7.03449867757384e-05	0.0184381754628985	2.26183467271252	75	88	540	405	13.779136289158	12.5722178202553	50.7075813487585	58.0295768171168	98.16	UP_pEhEx_DOWN_CDC5
EHI_076020A	-1.32147271755674	5.76553522366308	-4.99851217203797	0.00127677132416255	0.0462754382532496	-0.699576064230847	191	235	789	696	35.0908670830558	33.5735362245454	74.0894105262416	99.7249023820082	95.37	UP_pEhEx_DOWN_CDC5
EHI_077770A	-2.07153471777102	2.86638406294386	-5.5881856848691	0.000648560005087735	0.0371476417371939	0.101745225423692	19	24	126	132	3.4907145265867	3.42878667825144	11.831768981377	18.9133435552085	96.29	UP_pEhEx_DOWN_CDC5
EHI_083270A	-2.80077954556599	7.60536442010102	-11.3392216253671	5.46897122732414e-06	0.0119363849435814	4.70880904255641	353	586	5365	3660	64.8538014676372	83.7195413939727	503.789210992758	524.415434939871	98.81	UP_pEhEx_DOWN_CDC5
EHI_083410A	-2.80077954556599	7.60536442010102	-11.3392216253671	5.46897122732414e-06	0.0119363849435814	4.70880904255641	353	586	5365	3660	64.8538014676372	83.7195413939727	503.789210992758	524.415434939871	98.81	UP_pEhEx_DOWN_CDC5
EHI_087410A	-1.75264906466517	3.44206818215359	-5.97059298612638	0.000428387943219885	0.032326290191545	0.490420168036499	28	46	203	146	5.14421088128567	6.57184113331527	19.0622944699963	20.9193042353063	96.77	UP_pEhEx_DOWN_CDC5
EHI_087570A	-1.77768518951291	8.48262366851576	-5.4063814615528	0.000795172349878101	0.0393775974095884	-0.240841410408789	978	1445	5229	6267	179.679937210621	206.441531253056	491.018412727145	897.953970155238	96.06	UP_pEhEx_DOWN_CDC5
EHI_089770A	-5.93297581595893	-0.657792572164751	-7.72191216801495	7.93689154335857e-05	0.0184381754628985	0.763211221512714	0	0	51	35	0	0	4.78904934960497	5.01490170024467	98.16	UP_pEhEx_DOWN_CDC5
EHI_090020A	-2.59464071572986	9.74256388495184	-7.55852511066548	9.16686278964634e-05	0.019808757137263	1.97029498438135	1723	2668	16174	20499	316.552691016257	381.166785732285	1518.78596432374	2937.15628438044	98.02	UP_pEhEx_DOWN_CDC5
EHI_092170A	-2.07224709397953	3.31430044265857	-7.01111809934881	0.000151332574373293	0.026597947331474	1.52078825631992	24	36	230	134	4.40932361253057	5.14318001737716	21.5976735374342	19.199909366651	97.34	UP_pEhEx_DOWN_CDC5
EHI_092430A	-1.35553212808132	9.66764480493038	-5.10764059485441	0.00112229990862799	0.0444617813801455	-0.623736161361753	2451	4002	11807	10693	450.302173929685	571.750178598428	1108.71187589776	1532.12411087761	95.55	UP_pEhEx_DOWN_CDC5
EHI_092470A	-1.38386933884372	10.2758590342169	-5.7188392667921	0.000561698485564653	0.0363882660921992	0.0903123193103967	4043	5535	18512	16144	742.787306894213	790.763927671739	1738.33101097818	2313.15922996428	96.36	UP_pEhEx_DOWN_CDC5
EHI_092930A	-2.23406119241135	5.25393091894583	-6.80879803435898	0.000183536254468402	0.0281461727013801	1.30362573207014	71	163	814	630	13.0442490204029	23.2871761897911	76.4369837368323	90.268230604404	97.19	UP_pEhEx_DOWN_CDC5
EHI_094020A	-8.92310008351927	0.834207424995254	-7.94281552057472	6.55724665748553e-05	0.0184381754628985	0.899159456485312	0	0	594	192	0	0	55.7783394836344	27.510317898485	98.16	UP_pEhEx_DOWN_CDC5
EHI_095830A	-2.46075286763378	4.0723786748401	-7.8172110107782	7.30538162147286e-05	0.0184381754628985	2.22527815843407	31	61	384	304	5.69537633285199	8.71483280722242	36.0587245146727	43.558003339268	98.16	UP_pEhEx_DOWN_CDC5
EHI_097930A	-2.14426996460968	2.57779588583332	-5.26691581077759	0.000932530544111709	0.0427993347567856	-0.243549765732961	17	17	103	113	3.12327089220916	2.42872389709477	9.67200162763357	16.1909683465042	95.72	UP_pEhEx_DOWN_CDC5
EHI_098440A	1.48630719738811	6.92666747098294	6.17953637088228	0.000344158977361763	0.0297654727587927	0.646858403255226	1090	1448	726	540	200.256780735764	206.870129587837	68.1735260355531	77.3727690894891	97.02	DOWN_pEhEx_UP_CDC5
EHI_098800A	-1.35348866267721	5.53207232077271	-5.15023520081553	0.00106769214756609	0.0428824235762265	-0.510720364764723	170	187	699	580	31.2327089220916	26.7159628680425	65.6381469681152	83.1040853183402	95.71	UP_pEhEx_DOWN_CDC5
EHI_099860A	-3.91886045377157	2.02992928334493	-5.63869818113582	0.000613328952226413	0.0370912263742878	0.132646075437517	5	7	117	162	0.918609085943869	1.00006278115667	10.9866426255643	23.2118307268467	96.29	UP_pEhEx_DOWN_CDC5
EHI_103310A	-2.54259452971562	7.26905487762573	-6.50400844251025	0.000247486245399823	0.0287002366818155	0.975018673434154	237	652	3240	3191	43.5420706737394	93.1487047591642	304.245488092551	457.215752156592	97.13	UP_pEhEx_DOWN_CDC5
EHI_103510A	-2.38899110856687	7.34206390411429	-6.07187341265142	0.000385002700017063	0.0311807787781016	0.520460527983275	326	582	2698	3823	59.8933124035403	83.1480769475975	253.350100886945	547.770548572439	96.88	UP_pEhEx_DOWN_CDC5
EHI_103900A	2.5316152981162	4.10232596020531	9.60054640012996	1.77359182273317e-05	0.0148899594730327	3.56982077235882	233	279	79	47	42.8071834049843	39.859645134673	7.41833134546653	6.73429656889998	98.51	DOWN_pEhEx_UP_CDC5
EHI_105140A	-1.93671926343416	9.39910675518507	-6.92481568370747	0.000164227654427838	0.026597947331474	1.37759918216239	1784	2532	11325	11496	327.759721864773	361.736994555527	1063.45066439757	1647.18028417179	97.34	UP_pEhEx_DOWN_CDC5
EHI_105280A	-2.20688455012673	2.72174032168429	-6.73321441799091	0.000197472821865981	0.0287002366818155	1.26426561396462	17	20	136	109	3.12327089220916	2.8573222318762	12.7707982656133	15.6178367236191	97.13	UP_pEhEx_DOWN_CDC5
EHI_111760A	-1.45501908654146	9.66160765279867	-6.47361102604834	0.000255119868367739	0.0287002366818155	0.919801365200609	2672	3407	13331	10035	490.904695528404	486.744842200111	1251.81993881537	1437.84395891301	97.13	UP_pEhEx_DOWN_CDC5
EHI_112800A	-1.66364101023571	3.95672346627998	-5.31144141273683	0.000886023526698358	0.042547028746707	-0.266710250104263	55	52	250	225	10.1046999453826	7.42903780287813	23.4757321059067	32.2386537872871	95.75	UP_pEhEx_DOWN_CDC5
EHI_113900A	-1.38921519276444	5.7495913164669	-5.33223623957867	0.00086518505185217	0.0419703034337267	-0.295755270046233	168	249	824	684	30.865265287714	35.5736617868587	77.3760130210686	98.0055075133529	95.8	UP_pEhEx_DOWN_CDC5
EHI_114920A	-3.98227298511381	6.0293066321082	-10.8404508447882	7.53242634218429e-06	0.0119363849435814	4.38732028197028	92	110	1963	2567	16.9024071813672	15.7152722753191	184.33144849558	367.807218986516	98.81	UP_pEhEx_DOWN_CDC5
EHI_115360A	-1.98333988019949	2.57569761594985	-5.62269882023066	0.000624253437367017	0.0370912263742878	0.14965612006433	17	19	107	97	3.12327089220916	2.71445612028239	10.0476133413281	13.8984418549638	96.29	UP_pEhEx_DOWN_CDC5
EHI_117850A	-2.47366671381136	8.49757305909753	-7.69238825197769	8.14475567355633e-05	0.0184381754628985	2.09996783064539	716	1244	7024	7714	131.544821107162	177.7254428227	659.574169247555	1105.28433473392	98.16	UP_pEhEx_DOWN_CDC5
EHI_118270A	-2.7643669765808	10.7246092922117	-5.17032676052636	0.00104295567443858	0.0428788537434815	-0.5650860773711	3612	4396	25137	58145	663.603203685851	628.039426566389	2360.43791178471	8331.1845531636	95.71	UP_pEhEx_DOWN_CDC5
EHI_118670A	-2.87161720728751	2.74416476548763	-5.75942514081254	0.00053740187132988	0.0363882660921992	0.302352745653048	10	21	138	182	1.83721817188774	3.00018834347001	12.9586041224605	26.0774888412723	96.36	UP_pEhEx_DOWN_CDC5
EHI_118750A	-2.07715099277313	10.2668839673162	-6.17896431823048	0.000344362852699537	0.0297654727587927	0.600772299801398	2920	4663	19632	24403	536.46770619122	666.184678361937	1843.50229081264	3496.5327483163	97.02	UP_pEhEx_DOWN_CDC5
EHI_119540A	-2.02822563652375	7.85564055266991	-6.26923967555521	0.000313788232146278	0.0290090535609886	0.729755621286987	716	696	3831	4262	131.544821107162	99.4348136692919	359.742118790915	610.671744184079	97.1	UP_pEhEx_DOWN_CDC5
EHI_126210A	-2.19996367468881	3.39992761228318	-6.37123250188747	0.000282822714904376	0.0290090535609886	0.908526860468787	22	40	202	190	4.04187997815303	5.71464446375241	18.9683915415726	27.2237520870425	97.1	UP_pEhEx_DOWN_CDC5
EHI_126870A	-2.15564076248778	11.7478680805771	-8.3915243967057	4.50706917866754e-05	0.0182383147354105	2.67480389688005	7469	13491	68859	57090	1372.21825258295	1927.40671151209	6466.06174832253	8180.02108762766	98.18	UP_pEhEx_DOWN_CDC5
EHI_131470A	-1.48448612154601	8.3953688664104	-6.23981956692613	0.00032340762278763	0.0290090535609886	0.692906920240471	1205	1281	5832	4039	221.384789712473	183.011488951671	547.641878566592	578.719656208234	97.1	UP_pEhEx_DOWN_CDC5
EHI_134490A	-1.52568854131198	5.65979286218094	-5.75448330655002	0.000540297089386382	0.0363882660921992	0.192199162239689	157	214	789	693	28.8443252986375	30.5733478810754	74.0894105262416	99.2950536648444	96.36	UP_pEhEx_DOWN_CDC5
EHI_134810A	-2.15752586241009	5.84117564729768	-8.65519145295337	3.64370395242314e-05	0.0182383147354105	2.9034260859172	149	187	1181	923	27.3745507611273	26.7159628680425	110.899358468303	132.250121980738	98.18	UP_pEhEx_DOWN_CDC5
EHI_135060A	-2.55046343886289	6.57444749995346	-6.67103497242034	0.000209824808151624	0.0287002366818155	1.15035833508537	279	210	1817	2184	51.2583869956679	30.0018834347001	170.62162094573	312.929866095267	97.13	UP_pEhEx_DOWN_CDC5
EHI_140540A	-1.35193095460383	9.551494249969	-6.12679937722325	0.000363530494682307	0.0308611423521372	0.55428099096705	2646	3177	12921	8262	486.127928281496	453.885636533535	1213.31973816168	1183.80336706918	96.91	UP_pEhEx_DOWN_CDC5
EHI_140550A	-1.6257896772735	8.01266083016652	-5.86550521460133	0.000479218723672351	0.0350493201898209	0.291763310343031	687	1193	4183	3669	126.216888408688	170.439271131415	392.795949596031	525.704981091362	96.5	UP_pEhEx_DOWN_CDC5
