logFC	AveExpr	t	P.Value	adj.P.Val	B	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_006680A	-6.82039897722154	-0.377859592655711	-7.97832854781565	0.000122786563623133	0.26784259012434	-1.25533810469781	0	0	80	60	0	0	7.62180723710099	8.68586161134736	73.22	UP_pEhEx_DOWN_CmasM
EHI_006770A	7.12925118027518	-0.525222065584079	8.37589321789201	9.12369042672924e-05	0.26784259012434	-1.19904306097608	53	60	0	0	8.23871466113261	8.06229545246291	0	0	73.22	DOWN_pEhEx_UP_CmasM
EHI_036630A	-6.94279621295185	-0.311610700156688	-7.18779899103086	0.000230303172935804	0.26784259012434	-1.39980526050035	0	0	76	76	0	0	7.24071687524594	11.0020913743733	73.22	UP_pEhEx_DOWN_CmasM
EHI_089770A	-6.11659273284369	-0.731242709831039	-7.22192661792114	0.000223880099296059	0.26784259012434	-1.40848220427626	0	0	51	35	0	0	4.85890211365188	5.0667526066193	73.22	UP_pEhEx_DOWN_CmasM
EHI_075040A	7.05718347019185	1.02233862079464	6.80640904210766	0.000318300058443927	0.29614637437623	-1.47326763833625	117	223	1	1	18.1873512330663	29.9648647649871	0.0952725904637623	0.144764360189123	70.39	DOWN_pEhEx_UP_CmasM
EHI_123020A	5.95248212198585	-1.10911884387941	6.36510645207648	0.000471326728456425	0.365435323463215	-1.62934926460237	28	22	0	0	4.352528500221	2.9561749992364	0	0	63.46	DOWN_pEhEx_UP_CmasM
EHI_116040A	-5.40627329386789	-1.07840465693303	-6.07635584410434	0.000616276206277631	0.409559558800505	-1.70685790101019	0	0	28	24	0	0	2.66763253298535	3.47434464453895	59.04	UP_pEhEx_DOWN_CmasM
EHI_000130A	-2.03815292993072	4.09049706003704	-3.65074896464118	0.00895943255731641	0.605148668703839	-2.27027859050925	35	94	236	368	5.44066062527625	12.6309295421919	22.4843313494479	53.2732845495972	39.49	UP_pEhEx_DOWN_CmasM
EHI_000620A	-1.96975031025405	0.653615397426896	-2.94217591959469	0.0229980470273732	0.605148668703839	-3.04346853097208	4	6	25	28	0.621789785745857	0.806229545246291	2.38181476159406	4.05340208529544	39.49	UP_pEhEx_DOWN_CmasM
EHI_000690A	-4.45440802162654	2.40247436519238	-2.53976210053589	0.0404276666609293	0.605148668703839	-3.48553821179755	0	98	184	298	0	13.1684159056894	17.5301566453323	43.1397793363586	39.49	UP_pEhEx_DOWN_CmasM
EHI_000730A	-0.726504516587485	6.32039260542772	-2.3952309295967	0.0496933128315875	0.605148668703839	-3.94588445489173	409	451	916	835	63.5780055925139	60.6015874843462	87.2696928648063	120.878240757917	39.49	UP_pEhEx_DOWN_CmasM
EHI_001060A	-3.22879600392693	-0.441384912921658	-2.8264418050807	0.0269994422848651	0.605148668703839	-3.34801671808768	5	0	22	16	0.777237232182322	0	2.09599699020277	2.31622976302596	39.49	UP_pEhEx_DOWN_CmasM
EHI_001940A	-1.44137942494759	6.51487087165439	-2.69461363467734	0.0324730137332584	0.605148668703839	-3.53858979853114	206	713	1316	1251	32.0221739659116	95.8069442934342	125.378729050311	181.100214596593	39.49	UP_pEhEx_DOWN_CmasM
EHI_004400A	-1.00924468627078	4.24887691969182	-2.35343230814896	0.0527636258003662	0.605148668703839	-3.99024009463624	59	143	233	227	9.1713993397514	19.2151374950366	22.1985135780566	32.8615097629309	39.49	UP_pEhEx_DOWN_CmasM
EHI_004430A	1.15462828088144	3.61008284114028	3.24943483855379	0.0151485315870772	0.605148668703839	-2.77455557381178	91	172	79	61	14.1457176257183	23.1119136303937	7.52653464663722	8.83062597153649	39.49	DOWN_pEhEx_UP_CmasM
EHI_004440A	-4.72513247812005	1.77275826704736	-3.06159056916218	0.0195241501936538	0.605148668703839	-2.92098333345772	51	0	188	97	7.92781976825968	0	17.9112470071873	14.0421429383449	39.49	UP_pEhEx_DOWN_CmasM
EHI_004530A	0.706077201002838	3.64717798050079	2.4253016760859	0.0475989001707168	0.605148668703839	-3.87642743476433	106	115	109	63	16.4774293222652	15.4527329505539	10.3847123605501	9.12015469191473	39.49	DOWN_pEhEx_UP_CmasM
EHI_004840A	-0.83821016569789	7.01975611129669	-2.40767371099563	0.0488153676913776	0.605148668703839	-3.92704116230695	533	843	1463	1494	82.8534889506355	113.275251107104	139.383799848484	216.277954122549	39.49	UP_pEhEx_DOWN_CmasM
EHI_004880A	-0.83689255510363	5.41609682226	-2.52949208771912	0.0410226070481348	0.605148668703839	-3.76653070152177	195	250	474	496	30.3122520551105	33.5928977185954	45.1592078798233	71.8031226538049	39.49	UP_pEhEx_DOWN_CmasM
EHI_005010A	-1.0571934352318	3.97849607670019	-2.53035693168895	0.0409721568267578	0.605148668703839	-3.73931107283451	49	114	198	190	7.61692487538675	15.3183613596795	18.8639729118249	27.5052284359333	39.49	UP_pEhEx_DOWN_CmasM
EHI_005020A	-0.983882328559923	7.05150383178558	-2.61190608189322	0.0364941761776254	0.605148668703839	-3.64872799169601	477	890	1570	1609	74.1484319501935	119.5907158782	149.577967028107	232.925855544299	39.49	UP_pEhEx_DOWN_CmasM
EHI_005070A	-1.00383116264599	3.76254186962262	-2.90347886641489	0.0242608251448901	0.605148668703839	-3.22915514165861	50	86	174	154	7.77237232182322	11.5559568151968	16.5774307406946	22.2937114691249	39.49	UP_pEhEx_DOWN_CmasM
EHI_005100A	-1.03066200812574	2.98784992716927	-3.14486927898158	0.0174363898888	0.605148668703839	-2.88318772793827	31	46	108	86	4.81887083953039	6.18109318022156	10.2894397700863	12.4497349762646	39.49	UP_pEhEx_DOWN_CmasM
EHI_005960A	-1.21484075194814	1.73875722401213	-2.36065995336128	0.0522190733057825	0.605148668703839	-3.80996164497873	14	15	36	52	2.1762642501105	2.01557386311573	3.42981325669544	7.52774672983438	39.49	UP_pEhEx_DOWN_CmasM
EHI_006160A	-1.19867516453537	3.17623214470669	-3.61981698648726	0.00932163769176423	0.605148668703839	-2.29414720136076	34	49	164	82	5.28521317883979	6.58420795284471	15.624704836057	11.8706775355081	39.49	UP_pEhEx_DOWN_CmasM
EHI_006170A	-1.28595205679491	4.4417975003385	-2.48716199178084	0.0435726397296115	0.605148668703839	-3.80976503321742	58	157	250	335	9.01595189331493	21.0963397672779	23.8181476159406	48.4960606633561	39.49	UP_pEhEx_DOWN_CmasM
