logFC	AveExpr	t	P.Value	adj.P.Val	B	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_004430A	-6.94839122107691	-0.456516213493005	-9.43142059759439	6.93422156544218e-05	0.12245228397959	0.549926397008296	0	0	79	61	0	0	7.42725648170787	8.73902260878827	87.75	UP_pEhEx_DOWN_EhMyb10
EHI_035060A	-8.15358788378578	0.142092307919873	-10.4996292918536	3.70602304000323e-05	0.12245228397959	0.783345849795381	0	0	228	112	0	0	21.4356263016379	16.0454185603981	87.75	UP_pEhEx_DOWN_EhMyb10
EHI_049990A	-7.00229953299744	-0.428324230952517	-9.23634221380604	7.82776160108183e-05	0.12245228397959	0.505297450304852	0	0	79	66	0	0	7.42725648170787	9.45533593737747	87.75	UP_pEhEx_DOWN_EhMyb10
EHI_089770A	-6.24212486547121	-0.811303666976928	-8.62153966538553	0.000116461288657777	0.136638206917737	0.328294750769526	0	0	51	35	0	0	4.794811146419	5.01419330012442	86.34	UP_pEhEx_DOWN_EhMyb10
EHI_155680A	-2.8794469258532	4.65084157657785	-7.76836435364008	0.000210929745534996	0.197978659159147	1.3165584423077	74	67	550	623	9.73752658207506	8.7225039880276	51.7087476574598	89.2526407422146	80.2	UP_pEhEx_DOWN_EhMyb10
EHI_035670A	-2.39269375995251	3.87465142245817	-6.71030064649173	0.000477676797695932	0.248413859904113	0.541065044335889	51	46	284	294	6.71099804980848	5.98858482760104	26.7005169722156	42.1192237210451	75.16	UP_pEhEx_DOWN_EhMyb10
EHI_092930A	-2.26124536221359	5.24811529310194	-7.08953816968645	0.000352347944654535	0.248413859904113	0.834223676528741	112	156	814	630	14.7378780701677	20.3091137631687	76.5289465330405	90.2554794022395	75.16	UP_pEhEx_DOWN_EhMyb10
EHI_123020A	5.79034567411804	-1.21241028398455	6.5860542564635	0.000529328489034972	0.248413859904113	-0.417792206739155	18	32	0	0	2.36858754699123	4.16597205398333	0	0	75.16	DOWN_pEhEx_UP_EhMyb10
EHI_178640A	5.2443772409197	-1.48451977515145	6.64441495302682	0.000504310814020121	0.248413859904113	-0.417464081914472	19	14	0	0	2.5001757440463	1.82261277361771	0	0	75.16	DOWN_pEhEx_UP_EhMyb10
EHI_179390A	-2.73719210042949	3.82355705731188	-6.61609255726355	0.000516278996545298	0.248413859904113	0.466341634272461	52	33	300	329	6.84258624686355	4.29615868067031	28.2047714495235	47.1334170211695	75.16	UP_pEhEx_DOWN_EhMyb10
