logFC	AveExpr	t	P.Value	adj.P.Val	B	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_000130A	-1.80357609132927	4.21631121609479	-3.93182333637255	0.0078247154966008	0.277819085702849	-2.26675415908325	59	68	236	368	9.11768026830199	10.6095534887493	22.3421551021147	54.1854734144517	72.22	UP_pEhEx_DOWN_U2AF84
EHI_001940A	-1.26051754047608	6.61068499040616	-4.25627396718486	0.0054442904655276	0.277819085702849	-1.95256530767253	336	489	1316	1251	51.9244164432113	76.2951714117416	124.585915738911	184.20116098228	72.22	UP_pEhEx_DOWN_U2AF84
EHI_002200A	0.816274662329984	4.80206094483634	3.64689568277335	0.0109033632905326	0.277819085702849	-2.66120822947431	234	243	253	124	36.1616471658079	37.9135514377366	23.9515476306569	18.2581486505218	72.22	DOWN_pEhEx_UP_U2AF84
EHI_004400A	-0.996491006186977	4.26397074630852	-3.60546903288519	0.0114541698126318	0.277819085702849	-2.68257375685252	82	92	233	227	12.6720302034028	14.3541017788962	22.0581446559014	33.4241914811971	72.22	UP_pEhEx_DOWN_U2AF84
EHI_004430A	-6.72102532955556	-0.320856175925047	-8.83298090304662	0.000122489574545051	0.277819085702849	-0.69360816300528	0	0	79	61	0	0	7.47894175028416	8.98183119098249	72.22	UP_pEhEx_DOWN_U2AF84
EHI_005010A	-1.20661991906345	3.91321540591392	-4.17452585791916	0.00595639252683255	0.277819085702849	-1.97788509049343	57	70	198	190	8.80860636090192	10.9215991795949	18.7446894500793	27.9761955128963	72.22	UP_pEhEx_DOWN_U2AF84
EHI_005020A	-1.15173795858425	6.97288101829545	-3.95164293148752	0.00764974721032116	0.277819085702849	-2.31198824362358	478	612	1570	1609	73.8686638686161	95.4859813987441	148.632133518305	236.914203053948	72.22	UP_pEhEx_DOWN_U2AF84
EHI_005070A	-1.03870044805692	3.7534747068767	-3.99751708523252	0.0072612993713985	0.277819085702849	-2.17601163568554	57	63	174	154	8.80860636090192	9.82943926163543	16.4726058803727	22.6754426788738	72.22	UP_pEhEx_DOWN_U2AF84
EHI_005100A	-1.10552085350691	2.95799273574834	-4.33814651234893	0.00498048048501599	0.277819085702849	-1.73749748814655	33	34	108	86	5.09971947210111	5.30477674437467	10.2243760636796	12.6629095479425	72.22	UP_pEhEx_DOWN_U2AF84
EHI_006810A	-0.86005453378394	5.82697885258003	-3.71181676768603	0.0100983558745681	0.277819085702849	-2.59501558621163	254	289	699	599	39.2523862398085	45.0906023271847	66.1744339677041	88.1986374327625	72.22	UP_pEhEx_DOWN_U2AF84
