logFC	AveExpr	t	P.Value	adj.P.Val	B	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_000010A	0.994482240295589	-0.0226594584066955	1.23509080942641	0.259596897766336	0.999154291130592	-4.59166778371987	6	19	11	2	0.950397661183746	1.91394745118851	1.12730563496395	0.315195629875179	0.08	DOWN_pEhEx_UP_UmasM
EHI_000130A	-0.815037109382636	4.81747561535201	-0.801074073165894	0.45138900853098	0.999154291130592	-4.6034092543355	44	632	236	368	6.9695828486808	63.6639362711124	24.1858299864992	57.9959958970329	0.08	UP_pEhEx_DOWN_UmasM
EHI_000140A	-0.683705010719705	5.21888097742122	-1.08654237740673	0.315905280790746	0.999154291130592	-4.59197479800507	98	547	476	290	15.5231617993345	55.1015397789533	48.7815892948035	45.703366331901	0.08	UP_pEhEx_DOWN_UmasM
EHI_000240A	-0.668937786065135	7.35408405407507	-1.36370225816329	0.218029955594901	0.999154291130592	-4.58103369824703	620	1719	1584	1644	98.2077583223204	173.161877294371	162.332011434808	259.090807757397	0.08	UP_pEhEx_DOWN_UmasM
EHI_000250A	0.302785951254828	5.61783949413548	0.53127390187243	0.612900349202729	0.999154291130592	-4.61190929234378	587	314	438	278	92.9805711858098	31.6304999827995	44.8872607376553	43.8121925526499	0.08	DOWN_pEhEx_UP_UmasM
EHI_000260A	0.351392595794337	3.72988352580371	0.814252625717208	0.444319365806419	0.999154291130592	-4.60267219093988	99	142	147	57	15.6815614095318	14.3042388457246	15.0649025763364	8.9830754514426	0.08	DOWN_pEhEx_UP_UmasM
EHI_000280A	-0.148705002894115	3.13114710698404	-0.351087656276727	0.736631622855728	0.999154291130592	-4.61441314803672	48	88	74	71	7.60318128946996	8.86459872129413	7.58369245339382	11.1894448605689	0.08	UP_pEhEx_DOWN_UmasM
EHI_000290A	0.494657932633288	1.44220196396581	1.06781693603209	0.323671597615194	0.999154291130592	-4.59334193559994	22	29	25	12	3.4847914243404	2.92128821497193	2.5620582612817	1.89117377925107	0.08	DOWN_pEhEx_UP_UmasM
EHI_000300A	-0.317368494269419	3.92159513771101	-0.742972869290893	0.483494034252466	0.999154291130592	-4.60526189824031	67	170	180	98	10.6127738832185	17.1247929843182	18.4468194812282	15.4445858638838	0.08	UP_pEhEx_DOWN_UmasM
EHI_000410A	-0.189720602122976	1.77254726241187	-0.425021390022024	0.684543059186132	0.999154291130592	-4.6099880527438	17	36	38	21	2.69279337335395	3.62642674962033	3.89432855714818	3.30955411368938	0.08	UP_pEhEx_DOWN_UmasM
EHI_000430A	0.808471746067036	1.83525523216731	1.61748265669652	0.153120978679354	0.999154291130592	-4.57426292114033	26	53	35	12	4.11838986512956	5.33890604805215	3.58688156579437	1.89117377925107	0.08	DOWN_pEhEx_UP_UmasM
EHI_000440A	0.311504371541559	5.66646895454773	0.692345724101112	0.512699479309627	0.999154291130592	-4.6070879597198	282	711	545	235	44.668690075636	71.6219283050014	55.852870095941	37.0354865103335	0.08	DOWN_pEhEx_UP_UmasM
EHI_000470A	0.541285117451942	0.169293253431174	0.904971751656942	0.397801443932476	0.999154291130592	-4.59676485077815	9	12	9	5	1.42559649177562	1.20880891654011	0.92234097406141	0.787989074687948	0.08	DOWN_pEhEx_UP_UmasM
EHI_000480A	-0.353486465755205	1.54719407884897	-0.801260029938519	0.451288703244182	0.999154291130592	-4.60110018038382	16	25	34	19	2.53439376315665	2.51835190945856	3.48439923534311	2.9943584838142	0.08	UP_pEhEx_DOWN_UmasM
EHI_000510A	-0.246452015469128	10.373285091591	-0.512054666911543	0.625554148015407	0.999154291130592	-4.60718917740977	9230	10046	12568	10304	1462.028402121	1011.97453129683	1287.99792911153	1623.88788511692	0.08	UP_pEhEx_DOWN_UmasM
EHI_000520A	0.322624089124185	1.52418349379153	0.730457121143803	0.490608294470206	0.999154291130592	-4.6029086991076	20	31	23	17	3.16799220394582	3.12275636772861	2.35709360037916	2.67916285393902	0.08	DOWN_pEhEx_UP_UmasM
EHI_000540A	0.52551680532019	1.81236012449551	0.908608313194189	0.396015057991775	0.999154291130592	-4.59825459762641	32	35	44	11	5.06878752631331	3.52569267324198	4.50922253985578	1.73357596431348	0.08	DOWN_pEhEx_UP_UmasM
EHI_000550A	-0.0676458532717085	5.19914907216869	-0.175870483356486	0.865751582439286	0.999154291130592	-4.61868745132993	252	319	388	225	39.9167017697173	32.1341703646912	39.7631442150919	35.4595083609576	0.08	UP_pEhEx_DOWN_UmasM
EHI_000560A	0.260394076556646	2.83999133548008	0.635211237783768	0.547003240372348	0.999154291130592	-4.60742117034306	56	68	63	41	8.87037817104829	6.84991719372728	6.45638681842987	6.46151041244117	0.08	DOWN_pEhEx_UP_UmasM
EHI_000570A	0.442521157801991	2.97413723194188	1.11041720735242	0.306224666795122	0.999154291130592	-4.59130782304033	62	84	67	41	9.82077583223204	8.46166241578076	6.86631614023494	6.46151041244117	0.08	DOWN_pEhEx_UP_UmasM
EHI_000580A	0.22843828232257	4.23972752223346	0.596416021731014	0.57108560924569	0.999154291130592	-4.61006492017168	133	196	187	100	21.0671481562397	19.7438789701551	19.1641957943871	15.759781493759	0.08	DOWN_pEhEx_UP_UmasM
EHI_000590A	0.00211280854911759	10.5375285680222	0.00413413644417833	0.996825515036437	0.999154291130592	-4.61177894316433	12570	10945	13989	9838	1991.08310017995	1102.53446596096	1433.62532068279	1550.44730335601	0.08	DOWN_pEhEx_UP_UmasM
EHI_000610A	-0.870701638924628	7.63644792713532	-1.89467386615604	0.103235944765975	0.999154291130592	-4.55997266721527	967	1412	1952	2279	153.17242306078	142.236515846219	200.045509040875	359.165420242767	0.08	UP_pEhEx_DOWN_UmasM
EHI_000620A	-0.372863509858645	1.51905003868412	-0.40177105933745	0.700740326926273	0.999154291130592	-4.60956122252224	5	65	25	28	0.791998050986455	6.54771496459226	2.5620582612817	4.41273881825251	0.08	UP_pEhEx_DOWN_UmasM
EHI_000650A	0.101926228554982	3.29711125833056	0.255297368341636	0.806386502683905	0.999154291130592	-4.61621193558304	68	95	103	53	10.7711734934158	9.56973725594253	10.5556800364806	8.35268419169225	0.08	DOWN_pEhEx_UP_UmasM
EHI_000660A	0.347320830789098	1.39033639452993	0.603440535385121	0.566678744808683	0.999154291130592	-4.60553093375398	23	24	33	9	3.64319103453769	2.41761783308022	3.38191690489184	1.41838033443831	0.08	DOWN_pEhEx_UP_UmasM
EHI_000670A	0.8028466985197	0.872191285438118	1.49214088910515	0.182550928199919	0.999154291130592	-4.58261189599879	18	19	11	10	2.85119298355124	1.91394745118851	1.12730563496395	1.5759781493759	0.08	DOWN_pEhEx_UP_UmasM
EHI_000690A	-3.51508045424143	2.74230034076331	-1.66397239099645	0.143385629391751	0.999154291130592	-4.57471364614474	0	282	184	298	0	28.4070095386926	18.8567488030333	46.9641488514017	0.08	UP_pEhEx_DOWN_UmasM
EHI_000700A	-0.0129174011198407	3.03574074034352	-0.0314282884775534	0.975871621582645	0.999154291130592	-4.61719866586344	60	69	79	52	9.50397661183746	6.95065127010563	8.09610410565016	8.19508637675466	0.08	UP_pEhEx_DOWN_UmasM
EHI_000710A	0.443446319007959	2.37272060338646	0.936437358878423	0.382544198517979	0.999154291130592	-4.59763645938033	28	79	46	26	4.43518908552415	7.95799203388905	4.71418720075832	4.09754318837733	0.08	DOWN_pEhEx_UP_UmasM
EHI_000720A	0.210728314990633	4.39047103008025	0.520444796683259	0.620012877700584	0.999154291130592	-4.61223719063269	163	195	218	107	25.8191364621584	19.6431448937768	22.3411480383764	16.8629661983221	0.08	DOWN_pEhEx_UP_UmasM
EHI_000730A	-0.814277601960589	6.39815784224047	-1.46855110021785	0.188644328922205	0.999154291130592	-4.57566170287598	252	1015	916	835	39.9167017697173	102.245087524018	93.8738146933613	131.594175472887	0.08	UP_pEhEx_DOWN_UmasM
EHI_000740A	0.0381121531296404	3.68425332844063	0.0826762914678403	0.936598368050747	0.999154291130592	-4.61848000558905	114	93	124	79	18.0575555624912	9.36826910318584	12.7078089759572	12.4502273800696	0.08	DOWN_pEhEx_UP_UmasM
EHI_000770A	0.713659313864597	0.0628243499884818	1.06591580844146	0.324468673107505	0.999154291130592	-4.59415511238092	11	10	8	4	1.7423957121702	1.00734076378342	0.819858643610142	0.630391259750358	0.08	DOWN_pEhEx_UP_UmasM
EHI_000780A	0.0389882972241418	1.89689322174326	0.0829003362012286	0.936427008578951	0.999154291130592	-4.61392760272139	26	33	28	29	4.11838986512956	3.3242245204853	2.8695052526355	4.5703366331901	0.08	DOWN_pEhEx_UP_UmasM
EHI_000790A	0.207930391409591	2.87617401522181	0.508248371224402	0.628076764175836	0.999154291130592	-4.61070434355742	44	87	71	40	6.9695828486808	8.76386464491579	7.27624546204001	6.30391259750358	0.08	DOWN_pEhEx_UP_UmasM
EHI_000800A	0.134799525146463	5.16675651262432	0.289598000191453	0.781147272648535	0.999154291130592	-4.61725667244364	336	263	344	211	53.2222690262898	26.4930620875041	35.2539216752361	33.2531389518314	0.08	DOWN_pEhEx_UP_UmasM
EHI_000900A	-0.618072070581386	1.64021131826888	-0.963947921243471	0.369573679983028	0.999154291130592	-4.59649197622472	9	39	27	35	1.42559649177562	3.92862897875535	2.76702292218423	5.51592352281563	0.08	UP_pEhEx_DOWN_UmasM
EHI_000910A	0.7155279137021	-0.218083487303612	0.884242036768531	0.408099772185282	0.999154291130592	-4.59660878188572	10	8	9	2	1.58399610197291	0.805872611026739	0.92234097406141	0.315195629875179	0.08	DOWN_pEhEx_UP_UmasM
EHI_001050A	-0.127146456063934	6.2348773912214	-0.328691632901105	0.752729137490567	0.999154291130592	-4.61579165239515	414	786	774	494	65.5774386216784	79.1769840333771	79.3213237692813	77.8533205791692	0.08	UP_pEhEx_DOWN_UmasM
EHI_001060A	-0.295430567024512	1.10741517248179	-0.551005116474188	0.600057296487176	0.999154291130592	-4.60571222192285	8	26	22	16	1.26719688157833	2.6190859858369	2.25461126992789	2.52156503900143	0.08	UP_pEhEx_DOWN_UmasM
EHI_001070A	-0.243273206095547	6.4797726619956	-0.593024244186831	0.573220713307722	0.999154291130592	-4.60957162369163	434	974	892	651	68.7454308256243	98.1149903925055	91.4142387625309	102.596177524371	0.08	UP_pEhEx_DOWN_UmasM
EHI_001100A	0.48844609592014	1.74137150557095	1.11784370969191	0.303263648108784	0.999154291130592	-4.59160947887767	23	41	25	19	3.64319103453769	4.13009713151204	2.5620582612817	2.9943584838142	0.08	DOWN_pEhEx_UP_UmasM
EHI_001120A	-0.87860927481778	3.19065683479285	-2.14760501642781	0.0718781725851678	0.999154291130592	-4.54882695849781	39	71	105	90	6.17758479769435	7.15211942286231	10.7606446973831	14.1838033443831	0.08	UP_pEhEx_DOWN_UmasM
EHI_001130A	0.085196366352422	7.77011239474415	0.147048194479278	0.887552888720272	0.999154291130592	-4.61598789241512	2185	1443	1537	1816	346.103148281081	145.359272213948	157.515341903599	286.197631926663	0.08	DOWN_pEhEx_UP_UmasM
EHI_001140A	0.266382950344499	2.53357583205829	0.468782752714628	0.654547190665988	0.999154291130592	-4.61085374512198	24	101	57	30	3.80159064473498	10.1741417142126	5.84149283572227	4.72793444812769	0.08	DOWN_pEhEx_UP_UmasM
EHI_001150A	0.404822831920512	3.44525539236814	0.935862662352749	0.382818818587467	0.999154291130592	-4.59805167820556	88	112	115	47	13.9391656973616	11.2822165543743	11.7854680018958	7.40709730206671	0.08	DOWN_pEhEx_UP_UmasM
EHI_001180A	-0.116840688074104	-0.0613723223452156	-0.143481130680077	0.890258849351432	0.999154291130592	-4.6035531274409	11	5	11	4	1.7423957121702	0.503670381891712	1.12730563496395	0.630391259750358	0.08	UP_pEhEx_DOWN_UmasM
EHI_001400A	-0.257118188192087	7.95433474796219	-0.566503690485827	0.590076405371029	0.999154291130592	-4.60890299996317	1824	1761	2391	1910	288.920888999859	177.392708502261	245.035252108981	301.011826530796	0.08	UP_pEhEx_DOWN_UmasM
EHI_001410A	0.266819604630661	1.6715339615414	0.568636477982642	0.58871038997917	0.999154291130592	-4.60697731581611	22	34	35	14	3.4847914243404	3.42495859686364	3.58688156579437	2.20636940912625	0.08	DOWN_pEhEx_UP_UmasM
EHI_001420A	-0.415160149127956	10.2938315182813	-0.896264753271721	0.402103101720435	0.999154291130592	-4.59831186981606	6940	10714	12112	10697	1099.2932947692	1079.26489431756	1241.26598642576	1685.8238263874	0.08	UP_pEhEx_DOWN_UmasM
EHI_001430A	0.0747888611480675	0.861000032299922	0.132604193629831	0.898519726887983	0.999154291130592	-4.60935171726666	10	19	12	16	1.58399610197291	1.91394745118851	1.22978796541521	2.52156503900143	0.08	DOWN_pEhEx_UP_UmasM
